#,Player,Pos,HT,WT,Age,Teams,YOS,Pre-Draft Team,Draft Status,Nationality,Title
40,Harrison Barnes,SF,6-8,225,31,Sacramento Kings,11,North Carolina,2012 Rnd 1 Pick 7,United States,NBA 2023-2024 Players Information
4,Scottie Barnes,SF,6-7,237,22,Toronto Raptors,2,Florida State,2021 Rnd 1 Pick 4,United States,NBA 2023-2024 Players Information
9,R.J. Barrett,SG,6-6,214,23,Toronto Raptors,4,Duke,2019 Rnd 1 Pick 3,Canada,NBA 2023-2024 Players Information
28,Charles Bassey,PF,6-10,230,23,San Antonio Spurs,2,Western Kentucky,2021 Rnd 2 Pick 23,NigeriaUnited States,NBA 2023-2024 Players Information
21,Emoni Bates,SF,6-8,170,20,Cleveland Cavaliers,0,Eastern Michigan,2023 Rnd 2 Pick 19,United States,NBA 2023-2024 Players Information
13,Keita Bates-Diop,SF,6-8,229,28,Brooklyn Nets,5,Ohio State,2018 Rnd 2 Pick 18,United States,NBA 2023-2024 Players Information
40,Nicolas Batum,F,6-8,230,35,Philadelphia Sixers,15,Le Mans Sarthe Basket (France),2008 Rnd 1 Pick 25,France,NBA 2023-2024 Players Information
21,Darius Bazley,PF,6-9,216,23,Utah Jazz,4, ,2019 Rnd 1 Pick 23,United States,NBA 2023-2024 Players Information
3,Bradley Beal,SG,6-4,207,30,Phoenix Suns,11,Florida,2012 Rnd 1 Pick 3,United States,NBA 2023-2024 Players Information
5,Malik Beasley,SG,6-4,187,27,Milwaukee Bucks,7,Florida State,2016 Rnd 1 Pick 19,United States,NBA 2023-2024 Players Information
3,MarJon Beauchamp,SG,6-7,199,23,Milwaukee Bucks,1,NBA G League Ignite,2022 Rnd 1 Pick 24,United States,NBA 2023-2024 Players Information
14,Jules Bernard,SG,6-6,210,24,Washington Wizards,0,UCLA,"2022 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
9,Davis Bertans,SF,6-10,225,31,Charlotte Hornets,7,Union Olimpija (Slovenia),2011 Rnd 2 Pick 12,Latvia,NBA 2023-2024 Players Information
21,Patrick Beverley,PG,6-2,180,35,Milwaukee Bucks,11,Dnipro Dnipropetrovsk (Ukraine),2009 Rnd 2 Pick 12,United States,NBA 2023-2024 Players Information
41,Saddiq Bey,F,6-7,215,24,Atlanta Hawks,3,Villanova,2020 Rnd 1 Pick 19,United States,NBA 2023-2024 Players Information
35,Goga Bitadze,C,6-10,250,24,Orlando Magic,4,KK Mega Bemax (Serbia),2019 Rnd 1 Pick 18,Georgia,NBA 2023-2024 Players Information
17,Onuralp Bitim,SG,6-6,215,24,Chicago Bulls,0,Pinar Karsiyaka (Turkey),"2021 NBA Draft, Undrafted",Turkey,NBA 2023-2024 Players Information
15,Bismack Biyombo,PF,6-8,255,31,Oklahoma City Thunder,12,Urbas Fuenlabrada (Spain),2011 Rnd 1 Pick 7,Democratic Republic of the Congo,NBA 2023-2024 Players Information
0,Anthony Black,G,6-7,200,20,Orlando Magic,0,Arkansas,2023 Rnd 1 Pick 6,United States,NBA 2023-2024 Players Information
12,Leaky Black,SF,6-6,209,26,Charlotte Hornets,0,North Carolina,"2023 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
27,Buddy Boeheim,SG,6-5,205,24,Detroit Pistons,1,Syracuse,"2022 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
13,Bogdan Bogdanovic,SG,6-5,225,31,Atlanta Hawks,6,KK Partizan (Serbia),2014 Rnd 1 Pick 27,Serbia,NBA 2023-2024 Players Information
44,Bojan Bogdanovic,F,6-7,226,34,New York Knicks,9,KK Cibona (Croatia),2011 Rnd 2 Pick 1,Bosnia and HerzegovinaCroatia,NBA 2023-2024 Players Information
11,Bol Bol,C,7-3,220,24,Phoenix Suns,4,Oregon,2019 Rnd 2 Pick 14,United States,NBA 2023-2024 Players Information
3,Marques Bolden,C,6-10,249,25,Charlotte Hornets,2,Duke,"2019 NBA Draft, Undrafted",United StatesIndonesia,NBA 2023-2024 Players Information
1,Devin Booker,SG,6-6,206,27,Phoenix Suns,8,Kentucky,2015 Rnd 1 Pick 13,United States,NBA 2023-2024 Players Information
4,"B.J. Boston, Jr.",SG,6-6,188,22,Los Angeles Clippers,2,Kentucky,2021 Rnd 2 Pick 21,United States,NBA 2023-2024 Players Information
25,Chris Boucher,PF,6-9,200,31,Toronto Raptors,6,Oregon,"2017 NBA Draft, Undrafted",Saint LuciaCanada,NBA 2023-2024 Players Information
15,Jamaree Bouyea,G,6-2,180,24,San Antonio Spurs,1,San Francisco,"2022 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
22,Malaki Branham,GF,6-4,180,20,San Antonio Spurs,1,Ohio State,2022 Rnd 1 Pick 20,United States,NBA 2023-2024 Players Information
0,Christian Braun,SF,6-6,220,22,Denver Nuggets,1,Kansas,2022 Rnd 1 Pick 21,United States,NBA 2023-2024 Players Information
1,Mikal Bridges,SG,6-6,209,27,Brooklyn Nets,5,Villanova,2018 Rnd 1 Pick 10,United States,NBA 2023-2024 Players Information
0,Miles Bridges,SF,6-7,225,26,Charlotte Hornets,4,Michigan State,2018 Rnd 1 Pick 12,United States,NBA 2023-2024 Players Information
12,Oshae Brissett,PF,6-7,210,25,Boston Celtics,4,Syracuse,"2019 NBA Draft, Undrafted",Canada,NBA 2023-2024 Players Information
11,Malcolm Brogdon,SG,6-4,229,31,Portland Trail Blazers,7,Virginia,2016 Rnd 2 Pick 6,United States,NBA 2023-2024 Players Information
9,Dillon Brooks,F,6-6,225,28,Houston Rockets,6,Oregon,2017 Rnd 2 Pick 15,Canada,NBA 2023-2024 Players Information
36,Greg Brown III,SF,6-7,206,22,Dallas Mavericks,2,Texas,2021 Rnd 2 Pick 13,United States,NBA 2023-2024 Players Information
7,Jaylen Brown,SF,6-6,223,27,Boston Celtics,7,California,2016 Rnd 1 Pick 3,United States,NBA 2023-2024 Players Information
11,"Bruce Brown, Jr.",SG,6-4,202,27,Toronto Raptors,5,Miami (FL),2018 Rnd 2 Pick 12,United States,NBA 2023-2024 Players Information
4,"Charlie Brown, Jr.",SG,6-6,199,27,New York Knicks,3,Saint Joseph's,"2019 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
7,"Troy Brown, Jr.",SF,6-7,215,24,Detroit Pistons,5,Oregon,2018 Rnd 1 Pick 15,United States,NBA 2023-2024 Players Information
10,Kendall Brown,G,6-7,205,20,Indiana Pacers,1,Baylor,2022 Rnd 2 Pick 18,United States,NBA 2023-2024 Players Information
21,Kobe Brown,GF,6-7,250,24,Los Angeles Clippers,0,Missouri,2023 Rnd 1 Pick 30,United States,NBA 2023-2024 Players Information
10,Moses Brown,C,7-2,258,24,Portland Trail Blazers,4,UCLA,"2019 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
11,Jalen Brunson,PG,6-2,190,27,New York Knicks,5,Villanova,2018 Rnd 2 Pick 3,United States,NBA 2023-2024 Players Information
31,Thomas Bryant,C,6-10,248,26,Miami Heat,6,Indiana,2017 Rnd 2 Pick 12,United States,NBA 2023-2024 Players Information
4,Kobe Bufkin,G,6-5,195,20,Atlanta Hawks,0,Michigan,2023 Rnd 1 Pick 15,United States,NBA 2023-2024 Players Information
25,Reggie Bullock,SG,6-6,205,33,Houston Rockets,10,North Carolina,2013 Rnd 1 Pick 25,United States,NBA 2023-2024 Players Information
18,Alec Burks,SG,6-5,214,32,New York Knicks,12,Colorado,2011 Rnd 1 Pick 12,United States,NBA 2023-2024 Players Information
4,Jared Butler,PG,6-3,193,23,Washington Wizards,2,Baylor,2021 Rnd 2 Pick 10,United States,NBA 2023-2024 Players Information
22,Jimmy Butler,GF,6-7,230,34,Miami Heat,12,Marquette,2011 Rnd 1 Pick 30,United States,NBA 2023-2024 Players Information
8,Jamal Cain,F,6-6,191,25,Miami Heat,1,Oakland,"2022 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
5,Kentavious Caldwell-Pope,SG,6-5,204,31,Denver Nuggets,10,Georgia,2013 Rnd 1 Pick 8,United States,NBA 2023-2024 Players Information
33,Toumani Camara,SF,6-7,226,23,Portland Trail Blazers,0,Dayton,2023 Rnd 2 Pick 22,Belgium,NBA 2023-2024 Players Information
31,Vlatko Cancar,SF,6-8,236,26,Denver Nuggets,4,KK Mega Bemax (Serbia),2017 Rnd 2 Pick 19,Slovenia,NBA 2023-2024 Players Information
15,Clint Capela,PF,6-10,256,29,Atlanta Hawks,9,Chalon-Sur-Saone (France),2014 Rnd 1 Pick 25,Switzerland,NBA 2023-2024 Players Information
5,Jevon Carter,PG,6-1,200,28,Chicago Bulls,5,West Virginia,2018 Rnd 2 Pick 2,United States,NBA 2023-2024 Players Information
34,"Wendell Carter, Jr.",PF,6-10,270,24,Orlando Magic,5,Duke,2018 Rnd 1 Pick 7,United States,NBA 2023-2024 Players Information
3,D.J. Carton,PG,6-3,200,23,Toronto Raptors,0,Marquette,"2021 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
6,Alex Caruso,G,6-5,186,30,Chicago Bulls,6,Texas A&M,"2016 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
14,Colin Castleton,PF,6-10,250,24,Los Angeles Lakers,0,Florida,"2023 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
30,Julian Champagnie,F,6-7,217,22,San Antonio Spurs,1,St. John's,"2022 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
9,Justin Champagnie,F,6-6,206,22,Washington Wizards,2,Pittsburgh,"2021 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
10,Max Christie,F,6-5,190,21,Los Angeles Lakers,1,Michigan State,2022 Rnd 2 Pick 5,United States,NBA 2023-2024 Players Information
25,Sidy Cissoko,GF,6-6,200,19,San Antonio Spurs,0,NBA G League Ignite,2023 Rnd 2 Pick 14,France,NBA 2023-2024 Players Information
0,Jaylen Clark,G,6-4,205,23,Minnesota Timberwolves,0,UCLA,2023 Rnd 2 Pick 23,United States,NBA 2023-2024 Players Information
15,Brandon Clarke,PF,6-8,215,27,Memphis Grizzlies,4,Gonzaga,2019 Rnd 1 Pick 21,Canada,NBA 2023-2024 Players Information
00,Jordan Clarkson,G,6-3,194,31,Utah Jazz,9,Missouri,2014 Rnd 2 Pick 16,United StatesPhilippines,NBA 2023-2024 Players Information
33,Nicolas Claxton,C,6-11,215,24,Brooklyn Nets,4,Georgia,2019 Rnd 2 Pick 1,United StatesU.S. Virgin Islands,NBA 2023-2024 Players Information
21,Noah Clowney,F,6-9,210,19,Brooklyn Nets,0,Alabama,2023 Rnd 1 Pick 21,United States,NBA 2023-2024 Players Information
7,Amir Coffey,SF,6-7,210,26,Los Angeles Clippers,4,Minnesota,"2019 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
20,John Collins,PF,6-9,226,26,Utah Jazz,6,Wake Forest,2017 Rnd 1 Pick 19,United States,NBA 2023-2024 Players Information
23,Zach Collins,C,6-11,250,26,San Antonio Spurs,6,Gonzaga,2017 Rnd 1 Pick 10,United States,NBA 2023-2024 Players Information
10,Mike Conley,PG,6-0,175,36,Minnesota Timberwolves,16,Ohio State,2007 Rnd 1 Pick 4,United States,NBA 2023-2024 Players Information
24,Pat Connaughton,SF,6-5,209,31,Milwaukee Bucks,8,Notre Dame,2015 Rnd 2 Pick 11,United States,NBA 2023-2024 Players Information
0,Bilal Coulibaly,GF,6-8,195,19,Washington Wizards,0,Espoirs Boulogne-Levallois (France),2023 Rnd 1 Pick 7,France,NBA 2023-2024 Players Information
16,Ricky Council IV,G,6-6,207,22,Philadelphia Sixers,0,Arkansas,"2023 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
33,Robert Covington,F,6-7,209,33,Philadelphia Sixers,10,Tennessee State,"2013 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
13,Torrey Craig,GF,6-5,221,33,Chicago Bulls,6,USC Upstate,"2014 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
99,Jae Crowder,SF,6-6,235,33,Milwaukee Bucks,11,Marquette,2012 Rnd 2 Pick 4,United States,NBA 2023-2024 Players Information
2,Cade Cunningham,SF,6-6,220,22,Detroit Pistons,2,Oklahoma State,2021 Rnd 1 Pick 1,United States,NBA 2023-2024 Players Information
30,Seth Curry,G,6-1,185,33,Charlotte Hornets,10,Duke,"2013 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
30,Stephen Curry,G,6-2,185,36,Golden State Warriors,14,Davidson,2009 Rnd 1 Pick 7,United States,NBA 2023-2024 Players Information
11,Dyson Daniels,GF,6-7,199,21,New Orleans Pelicans,1,NBA G League Ignite,2022 Rnd 1 Pick 8,Australia,NBA 2023-2024 Players Information
3,Anthony Davis,PF,6-10,253,31,Los Angeles Lakers,11,Kentucky,2012 Rnd 1 Pick 1,United States,NBA 2023-2024 Players Information
1,Johnny Davis,F,6-4,195,22,Washington Wizards,1,Wisconsin,2022 Rnd 1 Pick 10,United States,NBA 2023-2024 Players Information
20,J.D. Davison,F,6-1,195,21,Boston Celtics,1,Alabama,2022 Rnd 2 Pick 23,United States,NBA 2023-2024 Players Information
11,DeMar DeRozan,GF,6-6,220,34,Chicago Bulls,14,USC,2009 Rnd 1 Pick 9,United States,NBA 2023-2024 Players Information
0,Donte DiVincenzo,SG,6-4,203,27,New York Knicks,5,Villanova,2018 Rnd 1 Pick 17,United States,NBA 2023-2024 Players Information
25,Moussa Diabate,PF,6-9,210,22,Los Angeles Clippers,1,Michigan,2022 Rnd 2 Pick 13,France,NBA 2023-2024 Players Information
25,Mamadi Diakite,PF,6-9,228,27,New York Knicks,3,Virginia,"2020 NBA Draft, Undrafted",Guinea,NBA 2023-2024 Players Information
1,Gradey Dick,GF,6-6,200,20,Toronto Raptors,0,Kansas,2023 Rnd 1 Pick 13,United States,NBA 2023-2024 Players Information
13,Ousmane Dieng,SG,6-9,185,20,Oklahoma City Thunder,1,New Zealand (New Zealand),2022 Rnd 1 Pick 11,France,NBA 2023-2024 Players Information
26,Spencer Dinwiddie,PG,6-5,215,30,Los Angeles Lakers,9,Colorado,2014 Rnd 2 Pick 8,United States,NBA 2023-2024 Players Information
77,Luka Doncic,SF,6-7,230,25,Dallas Mavericks,5,Real Madrid (Spain),2018 Rnd 1 Pick 3,Slovenia,NBA 2023-2024 Players Information
5,Luguentz Dort,PG,6-4,220,24,Oklahoma City Thunder,4,Arizona State,"2019 NBA Draft, Undrafted",Canada,NBA 2023-2024 Players Information
12,Ayo Dosunmu,PG,6-5,200,24,Chicago Bulls,2,Illinois,2021 Rnd 2 Pick 8,United States,NBA 2023-2024 Players Information
11,Jeff Dowtin,PG,6-3,177,26,Philadelphia Sixers,2,Rhode Island,"2020 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
77,Henri Drell,SF,6-9,220,23,Chicago Bulls,0,Windy City Bulls,"2022 NBA Draft, Undrafted",Estonia,NBA 2023-2024 Players Information
3,Andre Drummond,C,6-11,279,30,Chicago Bulls,11,UConn,2012 Rnd 1 Pick 9,United States,NBA 2023-2024 Players Information
3,Chris Duarte,PG,6-5,190,26,Sacramento Kings,2,Oregon,2021 Rnd 1 Pick 13,CanadaDominican Republic,NBA 2023-2024 Players Information
7,David Duke,SG,6-4,204,24,San Antonio Spurs,2,Providence,"2021 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
11,Kris Dunn,SG,6-3,205,30,Utah Jazz,7,Providence,2016 Rnd 1 Pick 5,United States,NBA 2023-2024 Players Information
35,Kevin Durant,SF,6-11,240,35,Phoenix Suns,16,Texas,2007 Rnd 1 Pick 2,United States,NBA 2023-2024 Players Information
0,Jalen Duren,PF,6-10,250,20,Detroit Pistons,1,Memphis,2022 Rnd 1 Pick 13,United States,NBA 2023-2024 Players Information
17,Tari Eason,F,6-8,215,22,Houston Rockets,1,LSU,2022 Rnd 1 Pick 17,United States,NBA 2023-2024 Players Information
5,Anthony Edwards,SF,6-4,225,22,Minnesota Timberwolves,3,Georgia,2020 Rnd 1 Pick 1,United States,NBA 2023-2024 Players Information
17,Kessler Edwards,SG,6-7,203,23,Sacramento Kings,2,Pepperdine,2021 Rnd 2 Pick 14,United States,NBA 2023-2024 Players Information
23,Keon Ellis,F,6-3,175,24,Sacramento Kings,1,Alabama,"2022 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
21,Joel Embiid,C,7-0,280,30,Philadelphia Sixers,9,Kansas,2014 Rnd 1 Pick 3,Cameroon,NBA 2023-2024 Players Information
14,Drew Eubanks,C,6-10,245,27,Phoenix Suns,5,Oregon State,"2018 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
18,Tosan Evbuomwan,SF,6-7,217,23,Detroit Pistons,0,Princeton,"2023 NBA Draft, Undrafted",England,NBA 2023-2024 Players Information
0,Dante Exum,PG,6-5,214,28,Dallas Mavericks,7,Australian Institute of Sport (Australian Capital Territory),2014 Rnd 1 Pick 5,Australia,NBA 2023-2024 Players Information
24,Bruno Fernando,C,6-9,240,25,Atlanta Hawks,4,Maryland,2019 Rnd 2 Pick 4,Angola,NBA 2023-2024 Players Information
28,Dorian Finney-Smith,SF,6-7,220,30,Brooklyn Nets,7,Florida,"2016 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
14,Adam Flagler,G,6-3,180,24,Oklahoma City Thunder,0,Baylor,"2023 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
18,Malachi Flynn,PG,6-1,185,25,Detroit Pistons,3,San Diego State,2020 Rnd 1 Pick 29,United States,NBA 2023-2024 Players Information
19,Simone Fontecchio,SF,6-7,209,28,Detroit Pistons,1,AX Armani Exchange Milan (Italy),"2017 NBA Draft, Undrafted",Italy,NBA 2023-2024 Players Information
31,Jordan Ford,PG,6-1,175,25,Sacramento Kings,0,Saint Mary's,"2020 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
2,Trent Forrest,SG,6-4,210,25,Atlanta Hawks,3,Florida State,"2020 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
31,Evan Fournier,SG,6-6,205,31,Detroit Pistons,11,Poitiers Basket 86 (France),2012 Rnd 1 Pick 20,France,NBA 2023-2024 Players Information
5,De'Aaron Fox,PG,6-3,185,26,Sacramento Kings,6,Kentucky,2017 Rnd 1 Pick 5,United States,NBA 2023-2024 Players Information
0,Javon Freeman-Liberty,G,6-3,190,24,Toronto Raptors,0,DePaul,"2022 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
3,Alex Fudge,F,6-8,200,22,Dallas Mavericks,0,Florida,"2023 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
20,Markelle Fultz,PG,6-4,209,25,Orlando Magic,6,Washington,2017 Rnd 1 Pick 1,United States,NBA 2023-2024 Players Information
30,Andrew Funk,SG,6-5,200,24,Chicago Bulls,0,Penn State,"2023 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
21,Daniel Gafford,C,6-10,234,25,Dallas Mavericks,4,Arkansas,2019 Rnd 2 Pick 8,United States,NBA 2023-2024 Players Information
12,Danilo Gallinari,SF,6-10,236,35,Milwaukee Bucks,15,AX Armani Exchange Milan (Italy),2008 Rnd 1 Pick 6,Italy,NBA 2023-2024 Players Information
00,Jaylin Galloway,F,6-6,190,22,Milwaukee Bucks,0, ,"2022 NBA Draft, Undrafted",United StatesAustralia,NBA 2023-2024 Players Information
10,Darius Garland,G,6-1,192,24,Cleveland Cavaliers,4,Vanderbilt,2019 Rnd 1 Pick 5,United States,NBA 2023-2024 Players Information
12,Usman Garuba,C,6-8,229,22,Golden State Warriors,2,Real Madrid (Spain),2021 Rnd 1 Pick 23,Spain,NBA 2023-2024 Players Information
55,Luka Garza,C,6-10,243,25,Minnesota Timberwolves,2,Iowa,2021 Rnd 2 Pick 22,United StatesBosnia and Herzegovina,NBA 2023-2024 Players Information
3,Keyonte George,G,6-4,185,20,Utah Jazz,0,Baylor,2023 Rnd 1 Pick 16,United States,NBA 2023-2024 Players Information
13,Paul George,GF,6-8,220,33,Los Angeles Clippers,13,Fresno State,2010 Rnd 1 Pick 10,United States,NBA 2023-2024 Players Information
67,Taj Gibson,F,6-9,232,38,Detroit Pistons,14,USC,2009 Rnd 1 Pick 26,United States,NBA 2023-2024 Players Information
3,Josh Giddey,G,6-8,216,21,Oklahoma City Thunder,2,Adelaide (Australia),2021 Rnd 1 Pick 6,Australia,NBA 2023-2024 Players Information
20,Harry Giles,PF,6-10,240,25,Los Angeles Lakers,4,Duke,2017 Rnd 1 Pick 20,United States,NBA 2023-2024 Players Information
2,Shai Gilgeous-Alexander,PG,6-6,195,25,Oklahoma City Thunder,5,Kentucky,2018 Rnd 1 Pick 11,Canada,NBA 2023-2024 Players Information
16,Anthony Gill,PF,6-8,230,31,Washington Wizards,3,Virginia,"2016 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
21,Collin Gillespie,PG,6-1,195,25,Denver Nuggets,1,Villanova,"2022 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
14,Jacob Gilyard,PG,5-8,160,25,Brooklyn Nets,1,Richmond,"2022 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
27,Rudy Gobert,C,7-1,258,31,Minnesota Timberwolves,10,Cholet Basket (France),2013 Rnd 1 Pick 27,France,NBA 2023-2024 Players Information
4,Jordan Goodwin,SG,6-4,200,25,Memphis Grizzlies,2,Saint Louis,"2021 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
50,Aaron Gordon,F,6-8,235,28,Denver Nuggets,9,Arizona,2014 Rnd 1 Pick 4,United States,NBA 2023-2024 Players Information
23,Eric Gordon,G,6-3,215,35,Phoenix Suns,15,Indiana,2008 Rnd 1 Pick 7,United StatesBahamas,NBA 2023-2024 Players Information
4,Devonte' Graham,PG,6-1,195,29,San Antonio Spurs,5,Kansas,2018 Rnd 2 Pick 4,United States,NBA 2023-2024 Players Information
9,Jerami Grant,F,6-7,210,30,Portland Trail Blazers,9,Syracuse,2014 Rnd 2 Pick 9,United States,NBA 2023-2024 Players Information
41,Raiquan Gray,PF,6-7,269,24,San Antonio Spurs,1,Florida State,2021 Rnd 2 Pick 29,United States,NBA 2023-2024 Players Information
20,A.J. Green,PG,6-4,190,24,Milwaukee Bucks,1,Northern Iowa,"2022 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
23,Draymond Green,F,6-6,230,34,Golden State Warriors,11,Michigan State,2012 Rnd 2 Pick 5,United States,NBA 2023-2024 Players Information
4,Jalen Green,SG,6-4,186,22,Houston Rockets,2,NBA G League Ignite,2021 Rnd 1 Pick 2,United States,NBA 2023-2024 Players Information
24,Javonte Green,G,6-5,205,30,Chicago Bulls,4,Radford,"2015 NBA Draft, Undrafted",United StatesMontenegro,NBA 2023-2024 Players Information
32,Jeff Green,F,6-8,235,37,Houston Rockets,15,Georgetown,2007 Rnd 1 Pick 5,United States,NBA 2023-2024 Players Information
8,Josh Green,SG,6-5,200,23,Dallas Mavericks,3,Arizona,2020 Rnd 1 Pick 18,United StatesAustralia,NBA 2023-2024 Players Information
14,"A.J. Griffin, Jr.",SG,6-6,220,20,Atlanta Hawks,1,Duke,2022 Rnd 1 Pick 16,United States,NBA 2023-2024 Players Information
24,Quentin Grimes,SG,6-5,210,23,Detroit Pistons,2,Houston,2021 Rnd 1 Pick 25,United States,NBA 2023-2024 Players Information
15,Mouhamadou Gueye,F,6-9,210,25,Toronto Raptors,0,Pittsburgh,"2022 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
18,Mouhamed Gueye,F,6-10,210,21,Atlanta Hawks,0,Washington State,2023 Rnd 2 Pick 9,Senegal,NBA 2023-2024 Players Information
28,Rui Hachimura,F,6-8,230,26,Los Angeles Lakers,4,Gonzaga,2019 Rnd 1 Pick 9,Japan,NBA 2023-2024 Players Information
22,Ashton Hagans,PG,6-3,190,24,Portland Trail Blazers,1,Kentucky,"2020 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
0,Tyrese Haliburton,PG,6-5,185,24,Indiana Pacers,3,Iowa State,2020 Rnd 1 Pick 12,United States,NBA 2023-2024 Players Information
10,Tim Hardaway Jr.,SG,6-5,205,32,Dallas Mavericks,10,Michigan,2013 Rnd 1 Pick 24,United States,NBA 2023-2024 Players Information
1,James Harden,SG,6-5,220,34,Los Angeles Clippers,14,Arizona State,2009 Rnd 1 Pick 3,United States,NBA 2023-2024 Players Information
1,Jaden Hardy,SG,6-3,198,21,Dallas Mavericks,1,NBA G League Ignite,2022 Rnd 2 Pick 7,United States,NBA 2023-2024 Players Information
14,Gary Harris,SG,6-4,210,29,Orlando Magic,9,Michigan State,2014 Rnd 1 Pick 19,United States,NBA 2023-2024 Players Information
8,Kevon Harris,SF,6-5,216,26,Orlando Magic,1,Stephen F. Austin,"2020 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
12,Tobias Harris,F,6-8,226,31,Philadelphia Sixers,12,Tennessee,2011 Rnd 1 Pick 19,United States,NBA 2023-2024 Players Information
3,Josh Hart,SG,6-4,215,29,New York Knicks,6,Villanova,2017 Rnd 1 Pick 30,United States,NBA 2023-2024 Players Information
55,Isaiah Hartenstein,PF,7-0,250,25,New York Knicks,5,Zalgiris (Lithuania),2017 Rnd 2 Pick 13,United StatesGermany,NBA 2023-2024 Players Information
30,Sam Hauser,SF,6-7,217,26,Boston Celtics,2,Virginia,"2021 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
24,Jordan Hawkins,G,6-5,190,21,New Orleans Pelicans,0,UConn,2023 Rnd 1 Pick 14,United States,NBA 2023-2024 Players Information
11,Jaxson Hayes,PF,7-0,220,23,Los Angeles Lakers,4,Texas,2019 Rnd 1 Pick 8,United States,NBA 2023-2024 Players Information
33,Gordon Hayward,GF,6-7,225,34,Oklahoma City Thunder,13,Butler,2010 Rnd 1 Pick 9,United States,NBA 2023-2024 Players Information
00,Scoot Henderson,G,6-3,202,20,Portland Trail Blazers,0,NBA G League Ignite,2023 Rnd 1 Pick 3,United States,NBA 2023-2024 Players Information
0,Taylor Hendricks,F,6-9,215,20,Utah Jazz,0,UCF,2023 Rnd 1 Pick 9,United States,NBA 2023-2024 Players Information
14,Tyler Herro,SG,6-5,195,24,Miami Heat,4,Kentucky,2019 Rnd 1 Pick 13,United States,NBA 2023-2024 Players Information
17,Buddy Hield,G,6-4,220,31,Philadelphia Sixers,7,Oklahoma,2016 Rnd 1 Pick 6,Bahamas,NBA 2023-2024 Players Information
24,Haywood Highsmith,F,6-5,220,27,Miami Heat,3,Wheeling Jesuit,"2018 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
33,Malcolm Hill,G,6-6,220,28,New Orleans Pelicans,2,Illinois,"2017 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
14,Nathaniel Hinton,SF,6-5,210,24,Houston Rockets,2,Houston,"2020 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
0,Aaron Holiday,PG,6-0,185,27,Houston Rockets,5,UCLA,2018 Rnd 1 Pick 23,United States,NBA 2023-2024 Players Information
4,Jrue Holiday,G,6-4,205,33,Boston Celtics,14,UCLA,2009 Rnd 1 Pick 17,United States,NBA 2023-2024 Players Information
9,Justin Holiday,SF,6-6,180,34,Denver Nuggets,10,Washington,"2011 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
22,Richaun Holmes,F,6-9,235,30,Washington Wizards,8,Bowling Green,2015 Rnd 2 Pick 7,United States,NBA 2023-2024 Players Information
7,Chet Holmgren,C,7-1,208,21,Oklahoma City Thunder,1,Gonzaga,2022 Rnd 1 Pick 2,United States,NBA 2023-2024 Players Information
0,Jalen Hood-Schifino,PG,6-5,215,20,Los Angeles Lakers,0,Indiana,2023 Rnd 1 Pick 17,United States,NBA 2023-2024 Players Information
