Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Shareef Abdur-Rahim,F,6-9,225,27,"ATL, POR",85,7,California,1996 Rnd 1 Pick 3,United States,NBA 2003-2004 Players Information
Malik Allen,F,6-10,255,25,MIA,45,3,Villanova,"2000 NBA Draft, Undrafted",United States,NBA 2003-2004 Players Information
Ray Allen,SG,6-5,205,28,SEA,56,7,UConn,1996 Rnd 1 Pick 5,United States,NBA 2003-2004 Players Information
Rafer Alston,G,6-2,175,27,MIA,82,4,Fresno State,1998 Rnd 2 Pick 10,United States,NBA 2003-2004 Players Information
Chris Andersen,FC,6-10,245,25,DEN,71,2,Blinn,"1999 NBA Draft, Undrafted",United States,NBA 2003-2004 Players Information
Derek Anderson,G,6-5,194,29,POR,51,6,Kentucky,1997 Rnd 1 Pick 13,United States,NBA 2003-2004 Players Information
Kenny Anderson,PG,6-0,168,33,IND,44,12,Georgia Tech,1991 Rnd 1 Pick 2,United States,NBA 2003-2004 Players Information
Shandon Anderson,GF,6-6,208,30,NYK,80,7,Georgia,1996 Rnd 2 Pick 25,United States,NBA 2003-2004 Players Information
Carmelo Anthony,F,6-8,240,19,DEN,82,0,Syracuse,2003 Rnd 1 Pick 3,United States,NBA 2003-2004 Players Information
Robert Archibald,PF,6-11,250,23,"ORL, PHX, TOR",32,1,Illinois,2002 Rnd 2 Pick 3,Scotland,NBA 2003-2004 Players Information
Gilbert Arenas,G,6-3,191,22,WAS,56,2,Arizona,2001 Rnd 2 Pick 2,United States,NBA 2003-2004 Players Information
Brandon Armstrong,SG,6-5,185,23,NJN,56,2,Pepperdine,2001 Rnd 1 Pick 23,United States,NBA 2003-2004 Players Information
Darrell Armstrong,PG,6-0,170,35,NOP,79,9,Fayetteville State,"1991 NBA Draft, Undrafted",United States,NBA 2003-2004 Players Information
Carlos Arroyo,PG,6-2,202,24,UTA,71,2,Florida International,"2001 NBA Draft, Undrafted",Puerto RicoUnited States,NBA 2003-2004 Players Information
Chucky Atkins,G,5-11,185,29,"BOS, DET",64,5,South Florida,"1996 NBA Draft, Undrafted",United States,NBA 2003-2004 Players Information
Stacey Augmon,SF,6-6,205,35,NOP,69,12,UNLV,1991 Rnd 1 Pick 9,United States,NBA 2003-2004 Players Information
Vin Baker,PF,6-11,240,32,"BOS, NYK",54,10,Hartford,1993 Rnd 1 Pick 8,United States,NBA 2003-2004 Players Information
Marcus Banks,G,6-2,200,22,BOS,81,0,UNLV,2003 Rnd 1 Pick 13,United States,NBA 2003-2004 Players Information
