Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Alaa Abdelnaby,PF,6-10,240,24,"BOS, MIL",75,2,Duke,1990 Rnd 1 Pick 25,Egypt,NBA 1992-1993 Players Information
Mahmoud Abdul-Rauf,PG,6-0,162,23,DEN,81,2,LSU,1990 Rnd 1 Pick 3,United States,NBA 1992-1993 Players Information
Mark Acres,FC,6-11,220,30,"HOU, WAS",18,5,Oral Roberts,1985 Rnd 2 Pick 16,United States,NBA 1992-1993 Players Information
Michael Adams,PG,5-10,163,30,WAS,70,7,Boston College,1985 Rnd 3 Pick 19,United States,NBA 1992-1993 Players Information
Rafael Addison,SF,6-7,215,28,NJN,68,2,Syracuse,1986 Rnd 2 Pick 15,United States,NBA 1992-1993 Players Information
Mark Aguirre,SF,6-6,232,33,DET,51,11,DePaul,1981 Rnd 1 Pick 1,United States,NBA 1992-1993 Players Information
Danny Ainge,G,6-4,175,33,PHX,80,11,Brigham Young,1981 Rnd 2 Pick 8,United States,NBA 1992-1993 Players Information
Victor Alexander,PF,6-9,265,23,GSW,72,1,Iowa State,1991 Rnd 1 Pick 17,United States,NBA 1992-1993 Players Information
Eric Anderson,F,6-9,220,22,NYK,16,0,Indiana,"1992 NBA Draft, Undrafted",United States,NBA 1992-1993 Players Information
Kenny Anderson,PG,6-0,168,22,NJN,55,1,Georgia Tech,1991 Rnd 1 Pick 2,United States,NBA 1992-1993 Players Information
Nick Anderson,GF,6-6,228,25,ORL,79,3,Illinois,1989 Rnd 1 Pick 11,United States,NBA 1992-1993 Players Information
Ron Anderson,GF,6-7,215,34,PHI,69,8,Fresno State,1984 Rnd 2 Pick 3,United States,NBA 1992-1993 Players Information
Willie Anderson,SF,6-7,190,26,SAS,38,4,Georgia,1988 Rnd 1 Pick 10,United States,NBA 1992-1993 Players Information
Greg Anthony,PG,6-0,176,25,NYK,70,1,UNLV,1991 Rnd 1 Pick 12,United States,NBA 1992-1993 Players Information
B.J. Armstrong,G,6-2,175,25,CHI,82,3,Iowa,1989 Rnd 1 Pick 18,United States,NBA 1992-1993 Players Information
Vincent Askew,GF,6-6,210,27,"SAC, SEA",73,4,Memphis,1987 Rnd 2 Pick 16,United States,NBA 1992-1993 Players Information
Keith Askins,F,6-7,197,25,MIA,69,2,Alabama,"1990 NBA Draft, Undrafted",United States,NBA 1992-1993 Players Information
Stacey Augmon,SF,6-6,205,24,ATL,73,1,UNLV,1991 Rnd 1 Pick 9,United States,NBA 1992-1993 Players Information
