Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Steven Adams,C,6-11,265,26,OKC,63,6,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand,NBA 2019-2020 Players Information
Bam Adebayo,C,6-9,255,22,MIA,72,2,Kentucky,2017 Rnd 1 Pick 14,United States,NBA 2019-2020 Players Information
LaMarcus Aldridge,FC,6-11,265,34,SAS,53,13,Texas,2006 Rnd 1 Pick 2,United States,NBA 2019-2020 Players Information
Kyle Alexander,PF,6-10,216,23,MIA,2,0,Tennessee,"2019 NBA Draft, Undrafted",Canada,NBA 2019-2020 Players Information
Nickeil Alexander-Walker,SG,6-5,205,21,NOP,47,0,Virginia Tech,2019 Rnd 1 Pick 17,Canada,NBA 2019-2020 Players Information
Grayson Allen,SG,6-4,198,24,MEM,38,1,Duke,2018 Rnd 1 Pick 21,United States,NBA 2019-2020 Players Information
Jarrett Allen,C,6-9,243,21,BRK,70,2,Texas,2017 Rnd 1 Pick 22,United States,NBA 2019-2020 Players Information
Kadeem Allen,G,6-3,200,27,NYK,10,2,Arizona,2017 Rnd 2 Pick 23,United States,NBA 2019-2020 Players Information
Al-Farouq Aminu,F,6-9,220,29,ORL,18,9,Wake Forest,2010 Rnd 1 Pick 8,United StatesNigeria,NBA 2019-2020 Players Information
Justin Anderson,F,6-6,230,26,BRK,10,4,Virginia,2015 Rnd 1 Pick 21,United States,NBA 2019-2020 Players Information
Kyle Anderson,PF,6-9,230,26,MEM,67,5,UCLA,2014 Rnd 1 Pick 30,United StatesChina,NBA 2019-2020 Players Information
Ryan Anderson,PF,6-10,240,31,HOU,2,11,California,2008 Rnd 1 Pick 21,United States,NBA 2019-2020 Players Information
Giannis Antetokounmpo,F,6-11,243,25,MIL,63,6,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,GreeceNigeria,NBA 2019-2020 Players Information
Kostas Antetokounmpo,PF,6-10,200,22,LAL,5,1,Dayton,2018 Rnd 2 Pick 30,GreeceUnited States,NBA 2019-2020 Players Information
Thanasis Antetokounmpo,SF,6-7,219,27,MIL,20,1,Delaware 87ers,2014 Rnd 2 Pick 21,GreeceNigeria,NBA 2019-2020 Players Information
Carmelo Anthony,F,6-8,240,35,POR,58,16,Syracuse,2003 Rnd 1 Pick 3,United States,NBA 2019-2020 Players Information
OG Anunoby,SF,6-7,240,22,TOR,69,2,Indiana,2017 Rnd 1 Pick 23,EnglandUnited States,NBA 2019-2020 Players Information
