Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Shareef Abdur-Rahim,F,6-9,225,29,SAC,72,9,California,1996 Rnd 1 Pick 3,United States,NBA 2005-2006 Players Information
Alex Acker,SG,6-5,185,23,DET,5,0,Pepperdine,2005 Rnd 2 Pick 30,United States,NBA 2005-2006 Players Information
Malik Allen,F,6-10,255,27,CHI,54,5,Villanova,"2000 NBA Draft, Undrafted",United States,NBA 2005-2006 Players Information
Ray Allen,SG,6-5,205,30,SEA,78,9,UConn,1996 Rnd 1 Pick 5,United States,NBA 2005-2006 Players Information
Tony Allen,SG,6-4,213,24,BOS,51,1,Oklahoma State,2004 Rnd 1 Pick 25,United States,NBA 2005-2006 Players Information
Rafer Alston,G,6-2,175,29,HOU,63,6,Fresno State,1998 Rnd 2 Pick 10,United States,NBA 2005-2006 Players Information
Chris Andersen,FC,6-10,245,27,NOP,32,4,Blinn,"1999 NBA Draft, Undrafted",United States,NBA 2005-2006 Players Information
Alan Anderson,GF,6-6,220,23,CHA,36,0,Michigan State,"2005 NBA Draft, Undrafted",United States,NBA 2005-2006 Players Information
Derek Anderson,G,6-5,194,31,"HOU, MIA",43,8,Kentucky,1997 Rnd 1 Pick 13,United States,NBA 2005-2006 Players Information
Shandon Anderson,GF,6-6,208,32,MIA,48,9,Georgia,1996 Rnd 2 Pick 25,United States,NBA 2005-2006 Players Information
Martynas Andriuskevicius,C,7-2,240,19,CLE,6,0,Zalgiris (Lithuania),2005 Rnd 2 Pick 14,Lithuania,NBA 2005-2006 Players Information
Carmelo Anthony,F,6-8,240,21,DEN,80,2,Syracuse,2003 Rnd 1 Pick 3,United States,NBA 2005-2006 Players Information
Babby Araujo,C,6-11,280,25,TOR,52,1,Brigham Young,2004 Rnd 1 Pick 8,Brazil,NBA 2005-2006 Players Information
Gilbert Arenas,G,6-3,191,24,WAS,80,4,Arizona,2001 Rnd 2 Pick 2,United States,NBA 2005-2006 Players Information
Trevor Ariza,SF,6-8,215,20,"NYK, ORL",57,1,UCLA,2004 Rnd 2 Pick 14,United States,NBA 2005-2006 Players Information
Darrell Armstrong,PG,6-0,170,37,DAL,62,11,Fayetteville State,"1991 NBA Draft, Undrafted",United States,NBA 2005-2006 Players Information
Carlos Arroyo,PG,6-2,202,26,"DET, ORL",77,4,Florida International,"2001 NBA Draft, Undrafted",Puerto RicoUnited States,NBA 2005-2006 Players Information
Chucky Atkins,G,5-11,185,31,"MEM, WAS",71,7,South Florida,"1996 NBA Draft, Undrafted",United States,NBA 2005-2006 Players Information
Stacey Augmon,SF,6-6,205,37,ORL,36,14,UNLV,1991 Rnd 1 Pick 9,United States,NBA 2005-2006 Players Information
