Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
John Abramovic,G,6-3,195,29,"BAL, STB",6,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Hank Beenders,GF,6-6,185,31,"PHI, PRO",40,1,," NBA Draft, Undrafted",Netherlands,NBA 1947-1948 Players Information
Mike Bloom,F,6-6,190,33,"BAL, BOS",45,0,Temple,"1947 NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Carl Braun,SG,6-5,180,20,NYK,44,0,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Stan Brown,GF,6-3,200,18,PHI,17,0, ,"1947 NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Tommy Byrnes,GF,6-3,175,25,NYK,44,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Ernie Calverley,PG,5-10,145,24,PRO,44,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Chuck Connors,F,6-6,200,26,BOS,4,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Chink Crossin,G,6-1,165,23,PHI,37,0,Pennsylvania,1947 Rnd 1 Pick 6,United States,NBA 1947-1948 Players Information
Howie Dallmar,SG,6-4,200,25,PHI,47,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Bob Doll,F,6-5,195,28,STB,42,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Bill Downey,GF,6-6,210,24,PRO,3,0,Marquette,"1947 NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Bulbs Ehlers,G,6-3,198,24,BOS,40,0,Purdue,1947 Rnd 1 Pick 3,United States,NBA 1947-1948 Players Information
Johnny Ezersky,GF,6-3,185,-,PRO,25,0,Rhode Island,1947 Rnd 4 Pick 3,United States,NBA 1947-1948 Players Information
Bob Feerick,GF,6-3,190,28,WAS,47,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Dick Fitzgerald,F,6-2,185,27,PRO,1,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Jerry Fleishman,G,6-2,190,26,PHI,44,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Herm Fuetsch,G,6-0,170,29,BAL,38,0, ,"1947 NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Joe Fulks,SF,6-5,190,26,PHI,42,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Elmer Gainer,GF,6-6,195,29,BAL,5,0,DePaul,1947 Rnd 8 Pick 6,United States,NBA 1947-1948 Players Information
Jack Garfinkel,G,6-0,190,29,BOS,43,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Chuck Gilmur,FC,6-4,225,25,CHI,46,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Pop Goodwin,FC,6-2,203,27,PRO,20,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Leo Gottlieb,G,5-11,170,27,NYK,24,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Wyndol Gray,GF,6-1,175,25,"PRO, STB",12,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Chick Halbert,PF,6-9,225,29,"CHI, PHI",45,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Cecil Hankins,G,6-1,174,26,BOS,25,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Kleggie Hermsen,FC,6-9,225,24,BAL,45,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Sonny Hertzberg,G,5-10,180,25,"NYK, WAS",39,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Jack Hewson,F,6-6,195,23,BOS,22,0,Temple,1947 Rnd 5 Pick 3,United States,NBA 1947-1948 Players Information
Nat Hickey,G,5-11,175,46,PRO,2,0, ,"1947 NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Art Hillhouse,C,6-7,220,31,PHI,10,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Charlie Hoefer,G,5-9,158,30,BOS,7,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Paul Hoffman,GF,6-2,195,22,BAL,37,0,Purdue,1947 Rnd 5 Pick 2,United States,NBA 1947-1948 Players Information
Dick Holub,FC,6-6,205,26,NYK,45,0,Long Island,1947 Rnd 1 Pick 5,United States,NBA 1947-1948 Players Information
Bob Hubbard,F,6-6,215,25,PRO,27,0,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Paul Huston,G,6-3,175,22,CHI,44,0,Ohio State,1947 Rnd 1 Pick 8,United States,NBA 1947-1948 Players Information
John Janisch,G,6-3,200,27,"BOS, PRO",9,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Buddy Jeannette,PG,5-11,175,30,BAL,43,0,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Johnny Jorgensen,G,6-2,185,26,"BAL, CHI",3,0,DePaul,"1947 NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Ralph Kaplowitz,G,6-2,170,28,PHI,47,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Jerry Kelly,G,6-2,174,29,PRO,3,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Herm Klotz,G,5-7,150,26,BAL,10,0,Villanova,"1947 NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Lee Knorek,F,6-7,216,26,NYK,45,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Ray Kuka,G,6-3,200,26,NYK,42,0,Montana State,"1947 NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Grady Lewis,C,6-7,215,30,"BAL, STB",45,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Johnny Logan,G,6-2,175,27,STB,48,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
John Mahnken,C,6-8,220,25,WAS,47,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Saul Mariaschin,G,5-11,165,23,BOS,43,0,Harvard,1947 Rnd 7 Pick 6,United States,NBA 1947-1948 Players Information
Dino Martin,G,5-8,160,27,PRO,27,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Don Martin,FC,6-7,210,28,STB,39,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Ariel Maughan,G,6-4,188,24,"PRO, STB",41,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
Bones McKinney,FC,6-6,185,29,WAS,42,1,," NBA Draft, Undrafted",United States,NBA 1947-1948 Players Information
