Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Kareem Abdul-Jabbar,C,7-2,225,38,LAL,79,16,UCLA,1969 Rnd 1 Pick 1,United States,NBA 1985-1986 Players Information
Alvan Adams,FC,6-9,210,31,PHX,78,10,Oklahoma,1975 Rnd 1 Pick 4,United States,NBA 1985-1986 Players Information
Michael Adams,PG,5-10,163,23,SAC,18,0,Boston College,1985 Rnd 3 Pick 19,United States,NBA 1985-1986 Players Information
Mark Aguirre,SF,6-6,232,26,DAL,74,4,DePaul,1981 Rnd 1 Pick 1,United States,NBA 1985-1986 Players Information
Danny Ainge,G,6-4,175,26,BOS,80,4,Brigham Young,1981 Rnd 2 Pick 8,United States,NBA 1985-1986 Players Information
Ron Anderson,GF,6-7,215,27,"CLE, IND",77,1,Fresno State,1984 Rnd 2 Pick 3,United States,NBA 1985-1986 Players Information
John Bagley,G,6-0,185,25,CLE,78,3,Boston College,1982 Rnd 1 Pick 12,United States,NBA 1985-1986 Players Information
James Bailey,FC,6-9,220,28,NYK,48,6,Rutgers,1979 Rnd 1 Pick 6,United States,NBA 1985-1986 Players Information
Thurl Bailey,PF,6-11,215,24,UTA,82,2,NC State,1983 Rnd 1 Pick 7,United States,NBA 1985-1986 Players Information
Greg Ballard,F,6-7,215,31,GSW,75,8,Oregon,1977 Rnd 1 Pick 4,United States,NBA 1985-1986 Players Information
Gene Banks,GF,6-7,215,26,CHI,82,4,Duke,1981 Rnd 2 Pick 5,United States,NBA 1985-1986 Players Information
Ken Bannister,FC,6-9,235,25,NYK,70,1,St. Augustine's,1984 Rnd 7 Pick 17,United States,NBA 1985-1986 Players Information
Charles Barkley,PF,6-6,252,23,PHI,80,1,Auburn,1984 Rnd 1 Pick 5,United States,NBA 1985-1986 Players Information
John Battle,G,6-2,175,23,ATL,64,0,Rutgers,1985 Rnd 4 Pick 14,United States,NBA 1985-1986 Players Information
Benoit Benjamin,C,7-0,250,21,LAC,79,0,Creighton,1985 Rnd 1 Pick 3,United States,NBA 1985-1986 Players Information
Kent Benson,C,6-10,235,31,DET,72,8,Indiana,1977 Rnd 1 Pick 1,United States,NBA 1985-1986 Players Information
Larry Bird,SF,6-9,220,29,BOS,82,6,Indiana State,1978 Rnd 1 Pick 6,United States,NBA 1985-1986 Players Information
Otis Birdsong,GF,6-3,190,30,NJN,77,8,Houston,1977 Rnd 1 Pick 2,United States,NBA 1985-1986 Players Information
Uwe Blab,C,7-2,243,23,DAL,48,0,Indiana,1985 Rnd 1 Pick 17,Germany,NBA 1985-1986 Players Information
Rolando Blackman,G,6-6,190,27,DAL,82,4,Kansas State,1981 Rnd 1 Pick 9,PanamaUnited States,NBA 1985-1986 Players Information
Manute Bol,C,7-7,200,23,WAS,80,0,Bridgeport,1983 Rnd 5 Pick 4,South Sudan,NBA 1985-1986 Players Information
Sam Bowie,C,7-1,235,24,POR,38,1,Kentucky,1984 Rnd 1 Pick 2,United States,NBA 1985-1986 Players Information
Dudley Bradley,GF,6-6,195,28,WAS,70,6,North Carolina,1979 Rnd 1 Pick 13,United States,NBA 1985-1986 Players Information
Mike Bratz,G,6-2,185,30,SAC,33,8,Stanford,1977 Rnd 3 Pick 22,United States,NBA 1985-1986 Players Information
Randy Breuer,C,7-3,230,25,MIL,82,2,Minnesota,1983 Rnd 1 Pick 18,United States,NBA 1985-1986 Players Information
Ron Brewer,G,6-4,180,30,"CHI, CLE",44,7,Arkansas,1978 Rnd 1 Pick 7,United States,NBA 1985-1986 Players Information
Frank Brickowski,PF,6-9,240,26,SEA,40,1,Penn State,1981 Rnd 3 Pick 11,United States,NBA 1985-1986 Players Information
Junior Bridgeman,GF,6-5,210,32,LAC,58,10,Louisville,1975 Rnd 1 Pick 8,United States,NBA 1985-1986 Players Information
Mike Brittain,C,7-0,235,22,SAS,32,0,South Carolina,1985 Rnd 2 Pick 5,United States,NBA 1985-1986 Players Information
Tony Brown,GF,6-6,185,25,CHI,10,3,Arkansas,1982 Rnd 4 Pick 13,United States,NBA 1985-1986 Players Information
Wallace Bryant,C,7-0,245,26,"DAL, LAC",17,2,San Francisco,1982 Rnd 2 Pick 7,United States,NBA 1985-1986 Players Information
Quinn Buckner,G,6-3,190,31,IND,32,9,Indiana,1976 Rnd 1 Pick 7,United States,NBA 1985-1986 Players Information
Michael Cage,PF,6-9,224,24,LAC,78,1,San Diego State,1984 Rnd 1 Pick 14,United States,NBA 1985-1986 Players Information
Tony Campbell,GF,6-7,215,23,DET,82,1,Ohio State,1984 Rnd 1 Pick 20,United States,NBA 1985-1986 Players Information
Rick Carlisle,G,6-5,210,26,BOS,77,1,Virginia,1984 Rnd 3 Pick 23,United States,NBA 1985-1986 Players Information
Antoine Carr,PF,6-9,225,24,ATL,17,1,Wichita State,1983 Rnd 1 Pick 8,United States,NBA 1985-1986 Players Information
Kenny Carr,GF,6-7,220,30,POR,55,8,NC State,1977 Rnd 1 Pick 6,United States,NBA 1985-1986 Players Information
Joe Barry Carroll,FC,7-0,225,27,GSW,79,4,Purdue,1980 Rnd 1 Pick 1,United States,NBA 1985-1986 Players Information
Butch Carter,G,6-5,180,27,"NYK, PHL",9,5,Indiana,1980 Rnd 2 Pick 14,United States,NBA 1985-1986 Players Information
Bill Cartwright,C,7-1,245,28,NYK,2,6,San Francisco,1979 Rnd 1 Pick 3,United States,NBA 1985-1986 Players Information
Terry Catledge,F,6-8,220,22,PHI,64,0,South Alabama,1985 Rnd 1 Pick 21,United States,NBA 1985-1986 Players Information
Bobby Cattage,PF,6-9,250,27,NJN,29,2,Auburn,1981 Rnd 8 Pick 4,United States,NBA 1985-1986 Players Information
Tom Chambers,PF,6-10,220,26,SEA,66,4,Utah,1981 Rnd 1 Pick 8,United States,NBA 1985-1986 Players Information
Lorenzo Charles,F,6-7,225,22,ATL,36,0,NC State,1985 Rnd 2 Pick 17,United States,NBA 1985-1986 Players Information
Mo Cheeks,PG,6-1,180,29,PHI,82,7,West Texas A&M,1978 Rnd 2 Pick 14,United States,NBA 1985-1986 Players Information
