Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
John Abramovic,G,6-3,195,28,PIT,47,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Chet Aubuchon,G,5-10,137,30,DTF,29,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Norm Baker,G,6-0,180,24,CHI,4,0,," NBA Draft, Undrafted",Canada,NBA 1946-1947 Players Information
Herschel Baltimore,GF,6-4,195,25,STB,58,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
John Barr,G,6-3,205,28,STB,57,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Frankie Baumholtz,PG,5-10,170,28,CLR,45,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Moe Becker,G,6-1,185,30,"BOS, DTF, PIT",42,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Hank Beenders,GF,6-6,185,30,PRO,58,0,," NBA Draft, Undrafted",Netherlands,NBA 1946-1947 Players Information
Hank Biasatti,G,5-11,175,25,TRH,6,0,," NBA Draft, Undrafted",Italy,NBA 1946-1947 Players Information
Al Brightman,G,6-2,195,23,BOS,57,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Aud Brindley,GF,6-4,175,23,NYK,9,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Harold Brown,G,6-0,155,23,DTF,52,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Leon Brown,G,6-3,190,27,CLR,4,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Tommy Byrnes,GF,6-3,175,24,NYK,59,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Michael Bytzura,G,6-1,170,24,PIT,59,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Tom Callahan,G,6-1,180,25,PRO,11,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Ernie Calverley,PG,5-10,145,23,PRO,59,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Chet Carlisle,F,6-5,195,30,CHI,51,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Don Carlson,G,6-0,170,27,CHI,60,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Bob Cluggish,C,6-10,235,29,NYK,51,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Chuck Connors,F,6-6,200,25,BOS,49,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Hal Crisler,GF,6-3,215,23,BOS,5,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Armand Cure,G,6-0,198,27,PRO,10,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Howie Dallmar,SG,6-4,200,24,PHI,60,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Aubrey Davis,GF,6-2,175,25,STB,58,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Bill Davis,GF,6-3,215,25,CHI,46,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Red Dehnert,GF,6-3,175,-,PRO,9,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Bob Dille,GF,6-3,190,29,DTF,55,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Bob Doll,F,6-5,195,27,STB,60,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Bob Duffy,GF,6-4,175,24,"BOS, CHI",16,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Don Eliason,GF,6-2,210,28,BOS,1,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Ned Endress,G,6-2,200,28,CLR,13,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Joe Fabel,GF,6-1,190,33,PIT,30,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Bob Faught,GF,6-5,190,25,CLR,51,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Bob Feerick,GF,6-3,190,27,WAS,56,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Warren Fenley,GF,6-3,190,25,BOS,31,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Bob Fitzgerald,GF,6-5,190,23,"NYK, TRH",60,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Dick Fitzgerald,F,6-2,185,26,TRH,58,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Jerry Fleishman,G,6-2,190,25,PHI,59,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Nat Frankel,GF,6-0,195,33,PIT,6,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Frido Frey,F,6-2,-,25,NYK,23,0,," NBA Draft, Undrafted",Germany,NBA 1946-1947 Players Information
Frank Fucarino,G,6-2,175,26,TRH,27,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Joe Fulks,SF,6-5,190,25,PHI,60,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Bob Gantt,GF,6-4,205,24,WAS,22,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Jack Garfinkel,G,6-0,190,28,BOS,39,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Gorham Getchell,C,6-4,205,26,PIT,11,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Gene Gillette,F,6-2,205,-,WAS,13,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Chuck Gilmur,FC,6-4,225,24,CHI,48,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Ben Goldfaden,G,6-1,185,33,WAS,2,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Pop Goodwin,FC,6-2,203,26,PRO,55,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Leo Gottlieb,G,5-11,170,26,NYK,54,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Wyndol Gray,GF,6-1,175,24,BOS,52,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Woody Grimshaw,G,6-1,185,27,PRO,21,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Coulby Gunther,GF,6-4,180,24,PIT,52,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
"Matt Guokas, Sr.",G,6-3,195,31,PHI,45,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Chick Halbert,PF,6-9,225,28,CHI,61,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Cecil Hankins,G,6-1,174,25,STB,55,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Kleggie Hermsen,FC,6-9,225,23,"CLR, TRH",31,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Sonny Hertzberg,G,5-10,180,24,NYK,58,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Art Hillhouse,C,6-7,220,30,PHI,60,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Mel Hirsch,PG,5-6,165,25,BOS,13,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Charlie Hoefer,G,5-9,158,29,"BOS, TRH",58,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Roy Hurley,G,6-2,170,24,TRH,45,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Fred Jacobs,GF,6-3,175,24,STB,17,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
John Janisch,G,6-3,200,26,DTF,60,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Tony Jaros,G,6-3,185,27,CHI,60,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Harold Johnson,F,6-6,240,27,DTF,22,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Noble Jorgensen,FC,6-9,228,21,PIT,23,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Roger Jorgensen,F,6-5,200,26,PIT,15,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Ralph Kaplowitz,G,6-2,170,27,"NYK, PHI",57,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Tony Kappen,G,5-10,175,27,"BOS, PIT",58,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
Ed Kasid,G,5-11,170,23,TRH,6,0,," NBA Draft, Undrafted",United States,NBA 1946-1947 Players Information
