Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Kareem Abdul-Jabbar,C,7-2,225,33,LAL,80,11,UCLA,1969 Rnd 1 Pick 1,United States,NBA 1980-1981 Players Information
Tom Abernethy,PF,6-7,220,26,"GOS, IND",39,4,Indiana,1976 Rnd 3 Pick 9,United States,NBA 1980-1981 Players Information
Alvan Adams,FC,6-9,210,26,PHX,75,5,Oklahoma,1975 Rnd 1 Pick 4,United States,NBA 1980-1981 Players Information
Darrell Allums,F,6-9,220,22,DAL,21,0,UCLA,1980 Rnd 5 Pick 11,United States,NBA 1980-1981 Players Information
Tiny Archibald,PG,6-1,150,32,BOS,80,10,UTEP,1970 Rnd 2 Pick 2,United States,NBA 1980-1981 Players Information
Dennis Awtrey,C,6-10,235,33,SEA,47,10,Santa Clara,1970 Rnd 3 Pick 12,United States,NBA 1980-1981 Players Information
James Bailey,FC,6-9,220,23,SEA,82,1,Rutgers,1979 Rnd 1 Pick 6,United States,NBA 1980-1981 Players Information
Greg Ballard,F,6-7,215,26,WAS,82,3,Oregon,1977 Rnd 1 Pick 4,United States,NBA 1980-1981 Players Information
Mike Bantom,FC,6-9,200,29,IND,76,7,Saint Francis of Assisi College,1973 Rnd 1 Pick 8,United States,NBA 1980-1981 Players Information
Billy Ray Bates,SG,6-4,210,24,POR,77,2,Kentucky State,1978 Rnd 3 Pick 3,United States,NBA 1980-1981 Players Information
Mel Bennett,F,6-7,200,26,UTA,27,3,Pittsburgh,"1975 NBA Draft, Undrafted",United States,NBA 1980-1981 Players Information
Kent Benson,C,6-10,235,26,DET,59,3,Indiana,1977 Rnd 1 Pick 1,United States,NBA 1980-1981 Players Information
Henry Bibby,G,6-1,185,31,SDC,73,8,UCLA,1972 Rnd 4 Pick 11,United States,NBA 1980-1981 Players Information
Larry Bird,SF,6-9,220,24,BOS,82,1,Indiana State,1978 Rnd 1 Pick 6,United States,NBA 1980-1981 Players Information
