Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Mahdi Abdul-Rahman,G,6-2,185,25,SEA,79,3,UCLA,"1964 NBA Draft, Undrafted",United States,NBA 1967-1968 Players Information
Bud Acton,SF,6-6,210,26,SDR,23,0,Hillsdale (MI),"1966 NBA Draft, Undrafted",United States,NBA 1967-1968 Players Information
Henry Akin,FC,6-10,225,23,SEA,35,1,Morehead State,1966 Rnd 2 Pick 1,United States,NBA 1967-1968 Players Information
Cliff Anderson,G,6-2,200,23,LAL,18,0,Saint Joseph's,1967 Rnd 4 Pick 4,United States,NBA 1967-1968 Players Information
Al Attles,PG,6-0,175,31,GSW,67,7,North Carolina A&T,1960 Rnd 5 Pick 7,United States,NBA 1967-1968 Players Information
Jim Barnes,FC,6-8,210,26,"CHI, LAL",79,3,UTEP,1964 Rnd 1 Pick 1,United States,NBA 1967-1968 Players Information
Dick Barnett,SG,6-4,190,31,NYK,81,7,Tennessee State,1959 Rnd 1 Pick 4,United States,NBA 1967-1968 Players Information
Jim Barnett,GF,6-4,170,23,SDR,47,1,Oregon,1966 Rnd 1 Pick 8,United States,NBA 1967-1968 Players Information
John Barnhill,G,6-1,180,29,SDR,73,5,Tennessee State,1959 Rnd 11 Pick 6,United States,NBA 1967-1968 Players Information
Elgin Baylor,F,6-5,225,33,LAL,77,9,Seattle,1956 Rnd 14 Pick 2,United States,NBA 1967-1968 Players Information
Zelmo Beaty,FC,6-9,225,28,STH,82,5,Prairie View A&M,1962 Rnd 1 Pick 3,United States,NBA 1967-1968 Players Information
Walt Bellamy,C,6-11,225,28,NYK,82,6,Indiana,1961 Rnd 1 Pick 1,United States,NBA 1967-1968 Players Information
Dave Bing,G,6-3,180,24,DET,79,1,Syracuse,1966 Rnd 1 Pick 2,United States,NBA 1967-1968 Players Information
John Block,FC,6-9,207,23,SDR,52,1,USC,1966 Rnd 3 Pick 7,United States,NBA 1967-1968 Players Information
Bob Boozer,PF,6-8,215,30,CHI,77,7,Kansas State,1959 Rnd 1 Pick 1,United States,NBA 1967-1968 Players Information
Nate Bowman,C,6-10,230,24,NYK,42,1,Wichita State,1965 Rnd 1 Pick 7,United States,NBA 1967-1968 Players Information
Bill Bradley,GF,6-5,205,24,NYK,45,0,Princeton,"1965 NBA Draft, Undrafted",United States,NBA 1967-1968 Players Information
Bill Bridges,FC,6-6,228,28,STH,82,5,Kansas,1961 Rnd 3 Pick 9,United States,NBA 1967-1968 Players Information
Tyrone Britt,G,6-4,190,23,SDR,11,0,Johnson C. Smith,"1967 NBA Draft, Undrafted",United States,NBA 1967-1968 Players Information
Emmette Bryant,PG,6-1,175,29,NYK,77,3,DePaul,1964 Rnd 7 Pick 1,United States,NBA 1967-1968 Players Information
Jim Burns,G,6-3,195,22,CHI,3,0,Northwestern,1967 Rnd 4 Pick 3,United States,NBA 1967-1968 Players Information
Jim Caldwell,C,6-10,240,25,NYK,2,0,Georgia Tech,1965 Rnd 3 Pick 8,United States,NBA 1967-1968 Players Information
