Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Zaid Abdul-Aziz,FC,6-9,235,29,SEA,27,7,Iowa State,1968 Rnd 1 Pick 5,United States,NBA 1975-1976 Players Information
Kareem Abdul-Jabbar,C,7-2,225,28,LAL,82,6,UCLA,1969 Rnd 1 Pick 1,United States,NBA 1975-1976 Players Information
Alvan Adams,FC,6-9,210,21,PHX,80,0,Oklahoma,1975 Rnd 1 Pick 4,United States,NBA 1975-1976 Players Information
Don Adams,SF,6-6,210,28,BUF,56,5,Northwestern,1970 Rnd 8 Pick 1,United States,NBA 1975-1976 Players Information
Lucius Allen,PG,6-2,175,28,LAL,76,6,UCLA,1969 Rnd 1 Pick 3,United States,NBA 1975-1976 Players Information
Dan Anderson,PG,6-2,185,25,POR,52,1,USC,1974 Rnd 6 Pick 2,United States,NBA 1975-1976 Players Information
Jerome Anderson,SG,6-5,195,22,BOS,22,0,West Virginia,1975 Rnd 3 Pick 17,United States,NBA 1975-1976 Players Information
Tiny Archibald,PG,6-1,150,27,KCK,78,5,UTEP,1970 Rnd 2 Pick 2,United States,NBA 1975-1976 Players Information
Jim Ard,PF,6-8,215,27,BOS,81,1,Cincinnati,1970 Rnd 1 Pick 6,United States,NBA 1975-1976 Players Information
Dennis Awtrey,C,6-10,235,28,PHX,74,5,Santa Clara,1970 Rnd 3 Pick 12,United States,NBA 1975-1976 Players Information
Gus Bailey,GF,6-5,185,25,HOU,30,1,UTEP,1974 Rnd 2 Pick 5,United States,NBA 1975-1976 Players Information
Mike Bantom,FC,6-9,200,24,"PHX, SEA",74,2,Saint Francis of Assisi College,1973 Rnd 1 Pick 8,United States,NBA 1975-1976 Players Information
Jim Barnett,GF,6-4,170,31,NYK,71,9,Oregon,1966 Rnd 1 Pick 8,United States,NBA 1975-1976 Players Information
Rick Barry,F,6-7,205,31,GSW,81,5,Miami (FL),1965 Rnd 1 Pick 2,United States,NBA 1975-1976 Players Information
Jerry Baskerville,F,6-7,190,24,PHI,21,0,Temple,"1975 NBA Draft, Undrafted",United States,NBA 1975-1976 Players Information
Butch Beard,G,6-3,185,28,"CLE, NYK",75,5,Louisville,1969 Rnd 1 Pick 10,United States,NBA 1975-1976 Players Information
Ron Behagen,FC,6-9,185,25,NOJ,66,2,Minnesota,1973 Rnd 1 Pick 7,United States,NBA 1975-1976 Players Information
Dennis Bell,SF,6-5,185,24,NYK,10,2,Drake,1973 Rnd 5 Pick 14,United States,NBA 1975-1976 Players Information
Leon Benbow,SG,6-4,185,25,CHI,76,1,Jacksonville,1974 Rnd 2 Pick 9,United States,NBA 1975-1976 Players Information
Henry Bibby,G,6-1,185,26,NOJ,79,3,UCLA,1972 Rnd 4 Pick 11,United States,NBA 1975-1976 Players Information
Bob Bigelow,GF,6-7,215,22,KCK,31,0,Pennsylvania,1975 Rnd 1 Pick 13,United States,NBA 1975-1976 Players Information
Dave Bing,G,6-3,180,32,WAS,82,9,Syracuse,1966 Rnd 1 Pick 2,United States,NBA 1975-1976 Players Information
John Block,FC,6-9,207,31,CHI,2,9,USC,1966 Rnd 3 Pick 7,United States,NBA 1975-1976 Players Information
Tom Boerwinkle,C,7-0,265,30,CHI,74,7,Tennessee,1968 Rnd 1 Pick 4,United States,NBA 1975-1976 Players Information
Tom Boswell,FC,6-9,220,22,BOS,34,0,South Carolina,1975 Rnd 1 Pick 17,United States,NBA 1975-1976 Players Information
Freddie Boyd,G,6-2,180,25,"NOJ, PHL",36,3,Oregon State,1972 Rnd 1 Pick 5,United States,NBA 1975-1976 Players Information
Bill Bradley,GF,6-5,205,32,NYK,82,8,Princeton,"1965 NBA Draft, Undrafted",United States,NBA 1975-1976 Players Information
Jim Brewer,PF,6-9,210,24,CLE,82,2,Minnesota,1973 Rnd 1 Pick 2,United States,NBA 1975-1976 Players Information
Junior Bridgeman,GF,6-5,210,22,MIL,81,0,Louisville,1975 Rnd 1 Pick 8,United States,NBA 1975-1976 Players Information
Gary Brokaw,G,6-4,178,22,MIL,75,1,Notre Dame,1974 Rnd 1 Pick 18,United States,NBA 1975-1976 Players Information
Fred Brown,G,6-3,182,27,SEA,76,4,Iowa,1971 Rnd 1 Pick 6,United States,NBA 1975-1976 Players Information
John Brown,SF,6-7,220,24,ATL,74,2,Missouri,1973 Rnd 1 Pick 10,GermanyUnited States,NBA 1975-1976 Players Information
Roger Brown,C,6-11,225,26,DET,30,1,Kansas,1971 Rnd 4 Pick 13,United States,NBA 1975-1976 Players Information
Joe Bryant,PF,6-9,185,21,PHI,74,0,La Salle,1975 Rnd 1 Pick 14,United States,NBA 1975-1976 Players Information
Tom Burleson,C,7-2,225,24,SEA,82,1,NC State,1974 Rnd 1 Pick 3,United States,NBA 1975-1976 Players Information
Corky Calhoun,F,6-7,210,25,LAL,76,3,Pennsylvania,1972 Rnd 1 Pick 4,United States,NBA 1975-1976 Players Information
Al Carlson,C,6-11,235,24,SEA,27,0,Oregon,"1974 NBA Draft, Undrafted",United States,NBA 1975-1976 Players Information
Austin Carr,G,6-4,200,27,CLE,65,4,Notre Dame,1971 Rnd 1 Pick 1,United States,NBA 1975-1976 Players Information
Fred Carter,G,6-3,185,31,PHI,82,6,Mount St. Mary's,1969 Rnd 3 Pick 14,United States,NBA 1975-1976 Players Information
Harvey Catchings,FC,6-9,218,24,PHI,75,1,Hardin-Simmons,1973 Rnd 9 Pick 1,United States,NBA 1975-1976 Players Information
Kenny Charles,SG,6-3,180,24,BUF,81,2,Fordham,1973 Rnd 3 Pick 3,Trinidad and Tobago,NBA 1975-1976 Players Information
Phil Chenier,PG,6-3,180,25,WAS,80,4,California,"1971 NBA Draft, Undrafted",United States,NBA 1975-1976 Players Information
Jim Chones,FC,6-11,220,26,CLE,82,1,Marquette,1973 Rnd 2 Pick 13,United States,NBA 1975-1976 Players Information
Archie Clark,G,6-2,175,34,DET,79,9,Minnesota,1966 Rnd 4 Pick 7,United States,NBA 1975-1976 Players Information
Jim Cleamons,SG,6-3,185,26,CLE,82,4,Ohio State,1971 Rnd 1 Pick 13,United States,NBA 1975-1976 Players Information
Barry Clemens,PF,6-6,210,32,POR,48,10,Ohio Wesleyan,1965 Rnd 3 Pick 2,United States,NBA 1975-1976 Players Information
E.C. Coleman,PF,6-8,225,25,NOJ,67,2,Houston Christian,1973 Rnd 3 Pick 16,United States,NBA 1975-1976 Players Information
Doug Collins,GF,6-6,180,24,PHI,77,2,Illinois State,1973 Rnd 1 Pick 1,United States,NBA 1975-1976 Players Information
Mel Counts,FC,7-0,230,34,NOJ,30,11,Oregon State,1964 Rnd 1 Pick 7,United States,NBA 1975-1976 Players Information
Dave Cowens,FC,6-9,230,27,BOS,78,5,Florida State,1970 Rnd 1 Pick 4,United States,NBA 1975-1976 Players Information
Jim Creighton,PF,6-8,200,25,ATL,32,0,Colorado,1972 Rnd 3 Pick 10,United States,NBA 1975-1976 Players Information
Billy Cunningham,FC,6-7,210,32,PHI,20,8,North Carolina,1965 Rnd 1 Pick 5,United States,NBA 1975-1976 Players Information
Mike D'Antoni,SG,6-3,185,24,KCK,9,2,Marshall,1973 Rnd 2 Pick 2,United States,NBA 1975-1976 Players Information
Bob Dandridge,SF,6-6,195,28,MIL,73,6,Norfolk State,1969 Rnd 4 Pick 2,United States,NBA 1975-1976 Players Information
Dwight Davis,PF,6-8,220,26,GSW,72,3,Houston,1972 Rnd 1 Pick 3,United States,NBA 1975-1976 Players Information
Mel Davis,F,6-6,220,25,NYK,42,2,St. John's,1973 Rnd 1 Pick 14,United States,NBA 1975-1976 Players Information
Mickey Davis,GF,6-7,195,25,MIL,44,3,Duquesne,1972 Rnd 7 Pick 16,United States,NBA 1975-1976 Players Information
Darryl Dawkins,C,6-11,251,19,PHI,37,0,Evans High School (Florida),1975 Rnd 1 Pick 5,United States,NBA 1975-1976 Players Information
Rod Derline,G,6-0,175,23,SEA,49,1,Seattle,1974 Rnd 10 Pick 8,United States,NBA 1975-1976 Players Information
Ernie DiGregorio,PG,6-0,180,25,BUF,67,2,Providence,1973 Rnd 1 Pick 3,United States,NBA 1975-1976 Players Information
Henry Dickerson,G,6-4,190,24,DET,17,0,University of Charleston,"1973 NBA Draft, Undrafted",United States,NBA 1975-1976 Players Information
Derrek Dickey,F,6-7,218,24,GSW,79,2,Cincinnati,1973 Rnd 2 Pick 11,United States,NBA 1975-1976 Players Information
John Drew,GF,6-6,205,21,ATL,77,1,Gardner-Webb,1974 Rnd 2 Pick 7,United States,NBA 1975-1976 Players Information
Dennis DuVal,G,6-3,175,23,ATL,13,1,Syracuse,1974 Rnd 2 Pick 12,United States,NBA 1975-1976 Players Information
Charles Dudley,PG,6-2,180,25,GSW,82,3,Washington,1972 Rnd 5 Pick 13,United States,NBA 1975-1976 Players Information
Al Eberhard,F,6-6,225,23,DET,81,1,Missouri,1974 Rnd 1 Pick 15,United States,NBA 1975-1976 Players Information
Leroy Ellis,FC,6-10,210,35,PHI,29,13,St. John's,1962 Rnd 1 Pick 6,United States,NBA 1975-1976 Players Information
Keith Erickson,GF,6-5,195,31,PHX,74,10,UCLA,1965 Rnd 3 Pick 1,United States,NBA 1975-1976 Players Information
Eric Fernsten,FC,6-10,205,22,"CHI, CLE",38,0,San Francisco,1975 Rnd 4 Pick 8,United States,NBA 1975-1976 Players Information
Larry Fogle,SG,6-5,205,22,NYK,2,0,Canisius,1975 Rnd 2 Pick 16,United States,NBA 1975-1976 Players Information
Chris Ford,SG,6-5,190,27,DET,82,3,Villanova,1972 Rnd 2 Pick 4,United States,NBA 1975-1976 Players Information
Don Ford,F,6-9,215,23,LAL,76,0,UC Santa Barbara,1975 Rnd 6 Pick 2,United States,NBA 1975-1976 Players Information
Jim Fox,C,6-10,230,32,MIL,70,8,South Carolina,1965 Rnd 8 Pick 6,United States,NBA 1975-1976 Players Information
Walt Frazier,PG,6-4,200,30,NYK,59,8,Southern Illinois,1967 Rnd 1 Pick 5,United States,NBA 1975-1976 Players Information
World B. Free,G,6-2,185,22,PHI,71,0,Guilford,1975 Rnd 2 Pick 5,United States,NBA 1975-1976 Players Information
Donnie Freeman,G,6-3,185,31,LAL,63,1,Illinois,1966 Rnd 3 Pick 9,United States,NBA 1975-1976 Players Information
Rowland Garrett,SF,6-6,210,25,"CHI, CLE",55,3,Florida State,1972 Rnd 5 Pick 15,United States,NBA 1975-1976 Players Information
John Gianelli,FC,6-10,220,25,NYK,82,3,Pacific,1972 Rnd 2 Pick 7,United States,NBA 1975-1976 Players Information
Dick Gibbs,GF,6-5,210,27,BUF,72,4,UTEP,1971 Rnd 3 Pick 14,United States,NBA 1975-1976 Players Information
Herm Gilliam,G,6-3,190,29,SEA,81,6,Purdue,1968 Rnd 13 Pick 3,United States,NBA 1975-1976 Players Information
Gail Goodrich,G,6-1,170,32,LAL,75,10,UCLA,"1965 NBA Draft, Undrafted",United States,NBA 1975-1976 Players Information
Leonard Gray,FC,6-8,240,24,SEA,66,1,Long Beach State,1973 Rnd 3 Pick 10,United States,NBA 1975-1976 Players Information
Kevin Grevey,GF,6-5,210,22,WAS,56,0,Kentucky,1975 Rnd 1 Pick 18,United States,NBA 1975-1976 Players Information
Bob Gross,SF,6-6,200,22,POR,76,0,Long Beach State,1975 Rnd 2 Pick 7,United States,NBA 1975-1976 Players Information
Matt Guokas,GF,6-5,175,32,"CHI, KCK",55,9,Saint Joseph's,1966 Rnd 1 Pick 9,United States,NBA 1975-1976 Players Information
Lindsay Hairston,SF,6-7,180,24,DET,46,0,Michigan State,1975 Rnd 4 Pick 10,United States,NBA 1975-1976 Players Information
Glenn Hansen,SG,6-4,205,23,KCK,66,0,LSU,1975 Rnd 2 Pick 13,United States,NBA 1975-1976 Players Information
Clem Haskins,PG,6-3,195,32,WAS,55,8,Western Kentucky,1967 Rnd 1 Pick 3,United States,NBA 1975-1976 Players Information
John Havlicek,GF,6-5,200,35,BOS,76,11,Ohio State,1962 Rnd 1 Pick 7,United States,NBA 1975-1976 Players Information
Steve Hawes,C,6-9,220,25,"HOU, POR",71,1,Washington,1972 Rnd 2 Pick 11,United States,NBA 1975-1976 Players Information
Connie Hawkins,PF,6-8,210,33,ATL,74,7, ,"1964 NBA Draft, Undrafted",United States,NBA 1975-1976 Players Information
Robert Hawkins,G,6-4,190,21,GSW,32,0,Illinois State,1975 Rnd 3 Pick 15,United States,NBA 1975-1976 Players Information
Nate Hawthorne,SG,6-4,190,26,PHX,79,2,Southern Illinois,1973 Rnd 7 Pick 15,United States,NBA 1975-1976 Players Information
Elvin Hayes,FC,6-9,235,30,WAS,80,7,Houston,1968 Rnd 1 Pick 1,United States,NBA 1975-1976 Players Information
Spencer Haywood,PF,6-8,225,26,NYK,78,5,Detroit-Mercy,1971 Rnd 2 Pick 13,United States,NBA 1975-1976 Players Information
Gar Heard,PF,6-6,219,27,"BUF, PHX",86,5,Oklahoma,1970 Rnd 3 Pick 6,United States,NBA 1975-1976 Players Information
Tom Henderson,SG,6-3,190,24,ATL,81,1,Hawaii,1974 Rnd 1 Pick 7,United States,NBA 1975-1976 Players Information
Wilbur Holland,G,6-0,175,24,ATL,31,0,New Orleans,1975 Rnd 5 Pick 3,United States,NBA 1975-1976 Players Information
Lionel Hollins,G,6-3,185,22,POR,74,0,Arizona State,1975 Rnd 1 Pick 6,United States,NBA 1975-1976 Players Information
Lou Hudson,GF,6-5,210,31,ATL,81,9,Minnesota,1966 Rnd 1 Pick 4,United States,NBA 1975-1976 Players Information
John Hummer,FC,6-9,230,27,SEA,29,5,Princeton,1970 Rnd 1 Pick 15,United States,NBA 1975-1976 Players Information
Phil Jackson,PF,6-8,220,30,NYK,80,8,North Dakota,1967 Rnd 2 Pick 5,United States,NBA 1975-1976 Players Information
Aaron James,SF,6-8,210,23,NOJ,75,1,Grambling State,1974 Rnd 2 Pick 10,United States,NBA 1975-1976 Players Information
Charles Johnson,PG,6-0,170,26,GSW,82,3,California,1971 Rnd 6 Pick 8,United States,NBA 1975-1976 Players Information
George Johnson,FC,6-11,205,27,GSW,81,4,Dillard,1970 Rnd 5 Pick 11,United States,NBA 1975-1976 Players Information
John Johnson,SF,6-7,200,28,"HOU, POR",76,5,Iowa,1970 Rnd 1 Pick 7,United States,NBA 1975-1976 Players Information
Mickey Johnson,PF,6-10,190,23,CHI,81,1,Aurora,1974 Rnd 4 Pick 2,United States,NBA 1975-1976 Players Information
Ollie Johnson,SF,6-6,200,26,KCK,81,3,Temple,1972 Rnd 2 Pick 17,United States,NBA 1975-1976 Players Information
Dwight Jones,FC,6-10,210,24,ATL,66,2,Houston,1973 Rnd 1 Pick 9,United States,NBA 1975-1976 Players Information
Jimmy Jones,GF,6-4,188,31,WAS,64,1,Grambling State,1967 Rnd 2 Pick 1,United States,NBA 1975-1976 Players Information
Snapper Jones,G,6-5,205,33,POR,64,0,Oregon,"1964 NBA Draft, Undrafted",United States,NBA 1975-1976 Players Information
Wali Jones,G,6-2,180,34,"DET, PHL",17,9,Villanova,1964 Rnd 3 Pick 2,United States,NBA 1975-1976 Players Information
Rich Kelley,C,7-0,235,22,NOJ,75,0,Stanford,1975 Rnd 1 Pick 7,United States,NBA 1975-1976 Players Information
Len Kosmalski,C,7-0,245,24,KCK,9,1,Tennessee,1974 Rnd 2 Pick 6,United States,NBA 1975-1976 Players Information
Tom Kozelko,PF,6-8,220,24,WAS,67,2,Toledo,1973 Rnd 3 Pick 13,United States,NBA 1975-1976 Players Information
Tom Kropp,SG,6-3,205,23,WAS,25,0,Nebraska-Kearney,1975 Rnd 3 Pick 12,United States,NBA 1975-1976 Players Information
Steve Kuberski,FC,6-8,215,28,"BOS, BUF",70,6,Bradley,1969 Rnd 4 Pick 9,United States,NBA 1975-1976 Players Information
Kevin Kunnert,FC,7-0,230,24,HOU,80,2,Iowa,1973 Rnd 1 Pick 12,United States,NBA 1975-1976 Players Information
C.J. Kupec,FC,6-6,220,23,LAL,16,0,Michigan,1975 Rnd 4 Pick 2,United States,NBA 1975-1976 Players Information
Sam Lacey,C,6-10,235,27,KCK,81,5,New Mexico State,1970 Rnd 1 Pick 5,United States,NBA 1975-1976 Players Information
John Lambert,C,6-10,225,23,CLE,53,0,USC,1975 Rnd 1 Pick 15,United States,NBA 1975-1976 Players Information
Bob Lanier,C,6-11,250,27,DET,64,5,St. Bonaventure,1970 Rnd 1 Pick 1,United States,NBA 1975-1976 Players Information
Stu Lantz,G,6-3,175,29,LAL,53,7,Nebraska,1968 Rnd 3 Pick 1,United States,NBA 1975-1976 Players Information
John Laskowski,SG,6-6,185,22,CHI,71,0,Indiana,1975 Rnd 2 Pick 14,United States,NBA 1975-1976 Players Information
Clyde Lee,FC,6-10,205,31,PHI,79,9,Vanderbilt,1966 Rnd 1 Pick 3,United States,NBA 1975-1976 Players Information
Greg Lee,SG,6-3,190,24,POR,5,0,UCLA,1974 Rnd 7 Pick 7,United States,NBA 1975-1976 Players Information
