Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Quincy Acy,F,6-7,240,22,TOR,29,0,Baylor,2012 Rnd 2 Pick 7,United States,NBA 2012-2013 Players Information
Jeff Adrien,SF,6-7,245,27,CHA,52,2,UConn,"2009 NBA Draft, Undrafted",United States,NBA 2012-2013 Players Information
Arron Afflalo,SG,6-5,210,27,ORL,64,5,UCLA,2007 Rnd 1 Pick 27,United States,NBA 2012-2013 Players Information
Josh Akognon,PG,5-11,175,27,DAL,3,0,Cal State Fullerton,"2009 NBA Draft, Undrafted",United StatesNigeria,NBA 2012-2013 Players Information
Cole Aldrich,C,6-11,253,24,"HOU, SAC",45,2,Kansas,2010 Rnd 1 Pick 11,United States,NBA 2012-2013 Players Information
LaMarcus Aldridge,FC,6-11,265,27,POR,74,6,Texas,2006 Rnd 1 Pick 2,United States,NBA 2012-2013 Players Information
Lavoy Allen,PF,6-9,260,24,PHI,79,1,Temple,2011 Rnd 2 Pick 20,United States,NBA 2012-2013 Players Information
Ray Allen,SG,6-5,205,37,MIA,79,16,UConn,1996 Rnd 1 Pick 5,United States,NBA 2012-2013 Players Information
Tony Allen,SG,6-4,213,31,MEM,79,8,Oklahoma State,2004 Rnd 1 Pick 25,United States,NBA 2012-2013 Players Information
Al-Farouq Aminu,F,6-9,220,22,NOP,76,2,Wake Forest,2010 Rnd 1 Pick 8,United StatesNigeria,NBA 2012-2013 Players Information
Lou Amundson,PF,6-9,220,30,"CHI, MIN, NOP",39,6,UNLV,"2006 NBA Draft, Undrafted",United States,NBA 2012-2013 Players Information
Chris Andersen,FC,6-10,245,34,MIA,42,9,Blinn,"1999 NBA Draft, Undrafted",United States,NBA 2012-2013 Players Information
Alan Anderson,GF,6-6,220,30,TOR,65,3,Michigan State,"2005 NBA Draft, Undrafted",United States,NBA 2012-2013 Players Information
James Anderson,GF,6-6,210,23,"HOU, SAN",39,2,Oklahoma State,2010 Rnd 1 Pick 20,United States,NBA 2012-2013 Players Information
Ryan Anderson,PF,6-10,240,24,NOP,81,4,California,2008 Rnd 1 Pick 21,United States,NBA 2012-2013 Players Information
Carmelo Anthony,F,6-8,240,28,NYK,67,9,Syracuse,2003 Rnd 1 Pick 3,United States,NBA 2012-2013 Players Information
Joel Anthony,C,6-9,245,30,MIA,62,5,UNLV,"2007 NBA Draft, Undrafted",Canada,NBA 2012-2013 Players Information
Trevor Ariza,SF,6-8,215,27,WAS,56,8,UCLA,2004 Rnd 2 Pick 14,United States,NBA 2012-2013 Players Information
Darrell Arthur,PF,6-9,235,24,MEM,59,4,Kansas,2008 Rnd 1 Pick 27,United States,NBA 2012-2013 Players Information
