Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Mark Acres,FC,6-11,220,27,ORL,80,2,Oral Roberts,1985 Rnd 2 Pick 16,United States,NBA 1989-1990 Players Information
Michael Adams,PG,5-10,163,27,DEN,79,4,Boston College,1985 Rnd 3 Pick 19,United States,NBA 1989-1990 Players Information
Mark Aguirre,SF,6-6,232,30,DET,78,8,DePaul,1981 Rnd 1 Pick 1,United States,NBA 1989-1990 Players Information
Danny Ainge,G,6-4,175,30,SAC,75,8,Brigham Young,1981 Rnd 2 Pick 8,United States,NBA 1989-1990 Players Information
Mark Alarie,F,6-8,217,26,WAS,82,3,Duke,1986 Rnd 1 Pick 18,United States,NBA 1989-1990 Players Information
Steve Alford,G,6-2,183,25,DAL,41,2,Indiana,1987 Rnd 2 Pick 3,United States,NBA 1989-1990 Players Information
Randy Allen,F,6-8,220,25,SAC,63,1,Florida State,"1987 NBA Draft, Undrafted",United States,NBA 1989-1990 Players Information
Cadillac Anderson,PF,6-10,230,25,MIL,60,2,Houston,1987 Rnd 1 Pick 23,United States,NBA 1989-1990 Players Information
Nick Anderson,GF,6-6,228,22,ORL,81,0,Illinois,1989 Rnd 1 Pick 11,United States,NBA 1989-1990 Players Information
Richard Anderson,FC,6-10,240,29,CHA,54,5,UC Santa Barbara,1982 Rnd 2 Pick 9,United States,NBA 1989-1990 Players Information
Ron Anderson,GF,6-7,215,31,PHI,78,5,Fresno State,1984 Rnd 2 Pick 3,United States,NBA 1989-1990 Players Information
Willie Anderson,SF,6-7,190,23,SAS,82,1,Georgia,1988 Rnd 1 Pick 10,United States,NBA 1989-1990 Players Information
Michael Ansley,F,6-7,225,23,ORL,72,0,Alabama,1989 Rnd 2 Pick 10,United States,NBA 1989-1990 Players Information
B.J. Armstrong,G,6-2,175,22,CHI,81,0,Iowa,1989 Rnd 1 Pick 18,United States,NBA 1989-1990 Players Information
John Bagley,G,6-0,185,29,BOS,54,7,Boston College,1982 Rnd 1 Pick 12,United States,NBA 1989-1990 Players Information
Thurl Bailey,PF,6-11,215,28,UTA,82,6,NC State,1983 Rnd 1 Pick 7,United States,NBA 1989-1990 Players Information
Ken Bannister,FC,6-9,235,29,LAC,52,3,St. Augustine's,1984 Rnd 7 Pick 17,United States,NBA 1989-1990 Players Information
Charles Barkley,PF,6-6,252,27,PHI,79,5,Auburn,1984 Rnd 1 Pick 5,United States,NBA 1989-1990 Players Information
Dana Barros,PG,5-11,165,22,SEA,81,0,Boston College,1989 Rnd 1 Pick 16,United States,NBA 1989-1990 Players Information
John Battle,G,6-2,175,27,ATL,60,4,Rutgers,1985 Rnd 4 Pick 14,United States,NBA 1989-1990 Players Information
Kenny Battle,SF,6-6,210,25,PHX,59,0,Illinois,1989 Rnd 1 Pick 27,United States,NBA 1989-1990 Players Information
William Bedford,C,7-0,225,27,DET,42,3,Memphis,1986 Rnd 1 Pick 6,United States,NBA 1989-1990 Players Information
Benoit Benjamin,C,7-0,250,25,LAC,71,4,Creighton,1985 Rnd 1 Pick 3,United States,NBA 1989-1990 Players Information
Winston Bennett,F,6-7,210,25,CLE,55,0,Kentucky,1988 Rnd 3 Pick 14,United States,NBA 1989-1990 Players Information
Larry Bird,SF,6-9,220,33,BOS,75,10,Indiana State,1978 Rnd 1 Pick 6,United States,NBA 1989-1990 Players Information
Uwe Blab,C,7-2,243,27,"GOS, SAN",47,4,Indiana,1985 Rnd 1 Pick 17,Germany,NBA 1989-1990 Players Information
Rolando Blackman,G,6-6,190,31,DAL,80,8,Kansas State,1981 Rnd 1 Pick 9,PanamaUnited States,NBA 1989-1990 Players Information
Mookie Blaylock,PG,6-1,190,22,NJN,50,0,Oklahoma,1989 Rnd 1 Pick 12,United States,NBA 1989-1990 Players Information
Muggsy Bogues,PG,5-3,136,25,CHA,81,2,Wake Forest,1987 Rnd 1 Pick 12,United States,NBA 1989-1990 Players Information
Manute Bol,C,7-7,200,27,GSW,75,4,Bridgeport,1983 Rnd 5 Pick 4,South Sudan,NBA 1989-1990 Players Information
