Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Curly Armstrong,G,5-11,170,31,FWP,63,1,Indiana,"1947 NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Cliff Barker,G,6-2,185,29,IND,46,0,Kentucky,1949 Rnd 5 Pick 8,United States,NBA 1949-1950 Players Information
Leo Barnhorst,SF,6-4,190,25,CHI,67,0,Notre Dame,1949 Rnd 2 Pick 2,United States,NBA 1949-1950 Players Information
Ed Bartels,GF,6-5,195,24,"DEN, NYK",15,0,NC State,"1949 NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Ralph Beard,G,5-10,175,22,IND,60,0,Kentucky,1949 Rnd 2 Pick 10,United States,NBA 1949-1950 Players Information
Gene Berce,G,5-11,175,23,TCB,3,0,Marquette,1948 Rnd 6 Pick 4,United States,NBA 1949-1950 Players Information
Charlie Black,FC,6-5,200,28,"AND, FWP",65,1,Kansas,"1948 NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Nelson Bobb,G,6-0,170,26,PHI,52,0,Temple,1949 Rnd 3 Pick 6,United States,NBA 1949-1950 Players Information
Jake Bornheimer,F,6-5,200,22,PHI,58,1,Muhlenberg College,"1948 NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Vince Boryla,SF,6-5,210,22,NYK,59,0,Denver,"1949 NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Don Boven,GF,6-4,210,24,WAT,62,0,Western Michigan,1949 Rnd 6 Pick 2,United States,NBA 1949-1950 Players Information
Harry Boykoff,C,6-10,225,27,WAT,61,0,St. John's,"1947 NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Joe Bradley,G,6-3,175,21,CHI,43,0,Oklahoma State,"1949 NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Bob Brannum,FC,6-5,215,24,SRS,59,0,Michigan State,"1948 NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Carl Braun,SG,6-5,180,22,NYK,67,2,," NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Frankie Brian,G,6-1,180,26,AND,64,0,," NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Price Brookfield,GF,6-4,185,29,ROR,6,1,Iowa State,"1947 NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Bob Brown,GF,6-4,205,26,DEN,62,1,Miami (OH),"1948 NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Jim Browne,C,6-10,235,20,DEN,30,1, ,"1948 NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Walt Budko,GF,6-5,220,24,BAL,65,1,Columbia,1948 Rnd 1 Pick 6,United States,NBA 1949-1950 Players Information
Jack Burmaster,GF,6-3,190,23,SRS,61,0,Illinois,1948 Rnd 2 Pick 7,United States,NBA 1949-1950 Players Information
Tommy Byrnes,GF,6-3,175,27,BAL,51,3,," NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Bill Calhoun,GF,6-3,180,22,ROR,61,1,City College of San Francisco,"1947 NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Don Carlson,G,6-0,170,30,MIN,55,2,," NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Bob Carpenter,FC,6-5,200,32,FWP,64,0,Texas A&M Commerce,"1947 NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Jake Carter,G,6-4,195,25,"AND, DEN",24,0, ,1948 Rnd 4 Pick 6,United States,NBA 1949-1950 Players Information
Al Cervi,PG,5-11,170,33,SYR,56,0,," NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
John Chaney,FC,6-3,185,30,"SRS, TCB",15,0,LSU,"1947 NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Leroy Chollet,G,6-2,190,24,SYR,46,0,Loyola (NO),"1949 NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Bill Closs,F,6-5,195,28,AND,64,0,Rice,"1949 NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Paul Cloyd,G,6-2,181,29,"BAL, WAT",6,0,Wisconsin,1947 Rnd 8 Pick 5,United States,NBA 1949-1950 Players Information
Jack Coleman,PF,6-7,195,25,ROR,67,0,Louisville,1948 Rnd 3 Pick 1,United States,NBA 1949-1950 Players Information
Bobby Cook,G,6-0,155,26,SRS,49,0,Wisconsin,1948 Rnd 2 Pick 8,United States,NBA 1949-1950 Players Information
Ray Corley,G,6-0,180,22,SYR,59,0,Georgetown,1949 Rnd 5 Pick 1,United States,NBA 1949-1950 Players Information
Jack Cotton,FC,6-7,200,25,DEN,54,0,Wyoming,"1947 NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Dillard Crocker,GF,6-4,205,25,DEN,54,1,Western Michigan,"1948 NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Chink Crossin,G,6-1,165,25,PHI,60,2,Pennsylvania,1947 Rnd 1 Pick 6,United States,NBA 1949-1950 Players Information
Fran Curran,G,6-0,175,24,ROR,66,1,Notre Dame,"1948 NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Jimmy Darden,G,6-1,170,27,DEN,24,0, ,1947 Rnd 3 Pick 8,United States,NBA 1949-1950 Players Information
Bob Davies,G,6-1,175,30,ROR,64,1,," NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Hook Dillon,G,6-3,180,26,WAS,20,0,North Carolina,1948 Rnd 2 Pick 5,United States,NBA 1949-1950 Players Information
Earl Dodd,GF,6-5,175,25,DEN,9,0,Truman State,1949 Rnd 5 Pick 5,United States,NBA 1949-1950 Players Information
Joe Dolhon,G,6-0,175,22,BAL,63,0,NYU,"1949 NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Bob Doll,F,6-5,195,30,BOS,47,3,," NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Harry Donovan,G,6-2,180,23,NYK,44,0,Muhlenberg College,1949 Rnd 2 Pick 8,United States,NBA 1949-1950 Players Information
Andy Duncan,GF,6-6,195,27,ROR,65,2,William & Mary,1947 Rnd 6 Pick 4,United States,NBA 1949-1950 Players Information
Dike Eddleman,SF,6-3,189,27,TCB,64,0,Illinois,1949 Rnd 3 Pick 10,United States,NBA 1949-1950 Players Information
Gene Englund,GF,6-5,205,32,"BOS, TCB",46,0,Wisconsin,"1947 NBA Draft, Undrafted",United States,NBA 1949-1950 Players Information
Bob Evans,G,6-2,175,24,IND,45,0,Butler,1949 Rnd 4 Pick 2,United States,NBA 1949-1950 Players Information
