Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Alex Abrines,GF,6-6,190,23,OKC,68,0,Barca (Spain),2013 Rnd 2 Pick 2,Spain,NBA 2016-2017 Players Information
Quincy Acy,F,6-7,240,26,"BRK, DAL",38,4,Baylor,2012 Rnd 2 Pick 7,United States,NBA 2016-2017 Players Information
Steven Adams,C,6-11,265,23,OKC,80,3,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand,NBA 2016-2017 Players Information
Arron Afflalo,SG,6-5,210,31,SAC,61,9,UCLA,2007 Rnd 1 Pick 27,United States,NBA 2016-2017 Players Information
Alexis Ajinca,C,7-2,248,28,NOP,39,6,Hyeres-Toulon (France),2008 Rnd 1 Pick 20,France,NBA 2016-2017 Players Information
Cole Aldrich,C,6-11,253,28,MIN,62,6,Kansas,2010 Rnd 1 Pick 11,United States,NBA 2016-2017 Players Information
LaMarcus Aldridge,FC,6-11,265,31,SAS,72,10,Texas,2006 Rnd 1 Pick 2,United States,NBA 2016-2017 Players Information
Lavoy Allen,PF,6-9,260,28,IND,61,5,Temple,2011 Rnd 2 Pick 20,United States,NBA 2016-2017 Players Information
Tony Allen,SG,6-4,213,35,MEM,71,12,Oklahoma State,2004 Rnd 1 Pick 25,United States,NBA 2016-2017 Players Information
Al-Farouq Aminu,F,6-9,220,26,POR,61,6,Wake Forest,2010 Rnd 1 Pick 8,United StatesNigeria,NBA 2016-2017 Players Information
Chris Andersen,FC,6-10,245,38,CLE,12,14,Blinn,"1999 NBA Draft, Undrafted",United States,NBA 2016-2017 Players Information
Alan Anderson,GF,6-6,220,34,LAC,30,7,Michigan State,"2005 NBA Draft, Undrafted",United States,NBA 2016-2017 Players Information
Justin Anderson,F,6-6,230,23,"DAL, PHL",75,1,Virginia,2015 Rnd 1 Pick 21,United States,NBA 2016-2017 Players Information
Kyle Anderson,PF,6-9,230,23,SAS,72,2,UCLA,2014 Rnd 1 Pick 30,United StatesChina,NBA 2016-2017 Players Information
Ryan Anderson,PF,6-10,240,28,HOU,72,8,California,2008 Rnd 1 Pick 21,United States,NBA 2016-2017 Players Information
Giannis Antetokounmpo,F,6-11,243,22,MIL,80,3,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,GreeceNigeria,NBA 2016-2017 Players Information
Carmelo Anthony,F,6-8,240,32,NYK,74,13,Syracuse,2003 Rnd 1 Pick 3,United States,NBA 2016-2017 Players Information
Joel Anthony,C,6-9,245,34,SAS,19,9,UNLV,"2007 NBA Draft, Undrafted",Canada,NBA 2016-2017 Players Information
Trevor Ariza,SF,6-8,215,31,HOU,80,12,UCLA,2004 Rnd 2 Pick 14,United States,NBA 2016-2017 Players Information
