Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Paul Arizin,GF,6-4,190,30,PHI,70,6,Villanova,1950 Rnd 1 Pick 3,United States,NBA 1958-1959 Players Information
Elgin Baylor,F,6-5,225,24,MIN,70,0,Seattle,1956 Rnd 14 Pick 2,United States,NBA 1958-1959 Players Information
Ernie Beck,GF,6-4,190,27,PHI,70,4,Pennsylvania,"1953 NBA Draft, Undrafted",United States,NBA 1958-1959 Players Information
Al Bianchi,G,6-3,185,26,SYR,72,2,Bowling Green,1954 Rnd 2 Pick 9,United States,NBA 1958-1959 Players Information
Jerry Bird,F,6-6,200,24,NYK,11,0,Kentucky,1956 Rnd 3 Pick 3,United States,NBA 1958-1959 Players Information
Bucky Bockhorn,G,6-4,195,25,CIN,71,0,Dayton,1958 Rnd 3 Pick 2,United States,NBA 1958-1959 Players Information
Carl Braun,SG,6-5,180,31,NYK,72,9,," NBA Draft, Undrafted",United States,NBA 1958-1959 Players Information
Pete Brennan,F,6-6,205,22,NYK,16,0,North Carolina,1958 Rnd 1 Pick 4,United States,NBA 1958-1959 Players Information
Barney Cable,F,6-7,175,23,DET,32,0,Bradley,1958 Rnd 2 Pick 3,United States,NBA 1958-1959 Players Information
Gene Conley,PF,6-8,225,28,BOS,50,1,Washington State,1952 Rnd 10 Pick 4,United States,NBA 1958-1959 Players Information
Ed Conlin,F,6-5,200,25,"DET, SYR",72,3,Fordham,1955 Rnd 1 Pick 5,United States,NBA 1958-1959 Players Information
Larry Costello,PG,6-1,186,27,SYR,70,3,Niagara,1954 Rnd 2 Pick 3,United States,NBA 1958-1959 Players Information
Bob Cousy,PG,6-1,175,30,BOS,65,8,Holy Cross,"1950 NBA Draft, Undrafted",United States,NBA 1958-1959 Players Information
Archie Dees,FC,6-8,205,23,CIN,68,0,Indiana,1958 Rnd 1 Pick 2,United States,NBA 1958-1959 Players Information
George Dempsey,PG,6-2,190,29,"PHI, SYR",57,4,King's College (NY),1951 Rnd 7 Pick 9,United States,NBA 1958-1959 Players Information
Connie Dierking,C,6-9,222,22,SYR,64,0,Cincinnati,1958 Rnd 1 Pick 5,United States,NBA 1958-1959 Players Information
