Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Jim Baechtold,F,6-4,205,25,BAL,64,0,Eastern Kentucky,1952 Rnd 1 Pick 2,United States,NBA 1952-1953 Players Information
Don Barksdale,F,6-6,200,29,BAL,65,1,," NBA Draft, Undrafted",United States,NBA 1952-1953 Players Information
Leo Barnhorst,SF,6-4,190,28,IND,71,3,Notre Dame,1949 Rnd 2 Pick 2,United States,NBA 1952-1953 Players Information
Nelson Bobb,G,6-0,170,29,PHI,53,3,Temple,1949 Rnd 3 Pick 6,United States,NBA 1952-1953 Players Information
Vince Boryla,SF,6-5,210,25,NYK,66,3,Denver,"1949 NBA Draft, Undrafted",United States,NBA 1952-1953 Players Information
Don Boven,GF,6-4,210,27,"BAL, FWP, MIL",68,2,Western Michigan,1949 Rnd 6 Pick 2,United States,NBA 1952-1953 Players Information
Bob Brannum,FC,6-5,215,27,BOS,71,2,Michigan State,"1948 NBA Draft, Undrafted",United States,NBA 1952-1953 Players Information
Jim Brasco,G,6-1,170,22,"MIL, SYR",20,0,NYU,1952 Rnd 2 Pick 8,United States,NBA 1952-1953 Players Information
Carl Braun,SG,6-5,180,25,NYK,70,3,," NBA Draft, Undrafted",United States,NBA 1952-1953 Players Information
Frankie Brian,G,6-1,180,29,FWP,68,3,," NBA Draft, Undrafted",United States,NBA 1952-1953 Players Information
Dick Bunt,G,6-0,170,22,"BAL, NYK",26,0,NYU,1952 Rnd 3 Pick 6,United States,NBA 1952-1953 Players Information
Bill Calhoun,GF,6-3,180,25,"MIL, SYR",62,4,City College of San Francisco,"1947 NBA Draft, Undrafted",United States,NBA 1952-1953 Players Information
Al Cervi,PG,5-11,170,36,SYR,38,3,," NBA Draft, Undrafted",United States,NBA 1952-1953 Players Information
Cal Christensen,F,6-5,210,25,ROR,59,2,Toledo,1950 Rnd 5 Pick 4,United States,NBA 1952-1953 Players Information
Nat Clifton,PF,6-6,220,30,NYK,70,2,," NBA Draft, Undrafted",United States,NBA 1952-1953 Players Information
Jack Coleman,PF,6-7,195,28,ROR,70,3,Louisville,1948 Rnd 3 Pick 1,United States,NBA 1952-1953 Players Information
Gene Conley,PF,6-8,225,22,BOS,38,0,Washington State,1952 Rnd 10 Pick 4,United States,NBA 1952-1953 Players Information
Chuck Cooper,GF,6-5,210,26,BOS,70,2,Duquesne,1950 Rnd 2 Pick 1,United States,NBA 1952-1953 Players Information
Ray Corley,G,6-0,180,25,FWP,8,2,Georgetown,1949 Rnd 5 Pick 1,United States,NBA 1952-1953 Players Information
