Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Kareem Abdul-Jabbar,C,7-2,225,41,LAL,74,19,UCLA,1969 Rnd 1 Pick 1,United States,NBA 1988-1989 Players Information
Mark Acres,FC,6-11,220,26,BOS,62,1,Oral Roberts,1985 Rnd 2 Pick 16,United States,NBA 1988-1989 Players Information
Michael Adams,PG,5-10,163,26,DEN,77,3,Boston College,1985 Rnd 3 Pick 19,United States,NBA 1988-1989 Players Information
Mark Aguirre,SF,6-6,232,29,"DAL, DET",80,7,DePaul,1981 Rnd 1 Pick 1,United States,NBA 1988-1989 Players Information
Danny Ainge,G,6-4,175,29,"BOS, SAC",73,7,Brigham Young,1981 Rnd 2 Pick 8,United States,NBA 1988-1989 Players Information
Mark Alarie,F,6-8,217,25,WAS,74,2,Duke,1986 Rnd 1 Pick 18,United States,NBA 1988-1989 Players Information
Steve Alford,G,6-2,183,24,"DAL, GOS",66,1,Indiana,1987 Rnd 2 Pick 3,United States,NBA 1988-1989 Players Information
Randy Allen,F,6-8,220,24,SAC,7,0,Florida State,"1987 NBA Draft, Undrafted",United States,NBA 1988-1989 Players Information
Cadillac Anderson,PF,6-10,230,24,SAS,82,1,Houston,1987 Rnd 1 Pick 23,United States,NBA 1988-1989 Players Information
Michael Anderson,G,5-11,184,22,SAS,36,0,Drexel,1988 Rnd 3 Pick 23,United States,NBA 1988-1989 Players Information
Richard Anderson,FC,6-10,240,28,POR,72,4,UC Santa Barbara,1982 Rnd 2 Pick 9,United States,NBA 1988-1989 Players Information
Ron Anderson,GF,6-7,215,30,PHI,82,4,Fresno State,1984 Rnd 2 Pick 3,United States,NBA 1988-1989 Players Information
Willie Anderson,SF,6-7,190,22,SAS,81,0,Georgia,1988 Rnd 1 Pick 10,United States,NBA 1988-1989 Players Information
John Bagley,G,6-0,185,28,NJN,68,6,Boston College,1982 Rnd 1 Pick 12,United States,NBA 1988-1989 Players Information
Thurl Bailey,PF,6-11,215,27,UTA,82,5,NC State,1983 Rnd 1 Pick 7,United States,NBA 1988-1989 Players Information
Greg Ballard,F,6-7,215,34,SEA,2,10,Oregon,1977 Rnd 1 Pick 4,United States,NBA 1988-1989 Players Information
Ken Bannister,FC,6-9,235,28,LAC,9,2,St. Augustine's,1984 Rnd 7 Pick 17,United States,NBA 1988-1989 Players Information
Charles Barkley,PF,6-6,252,26,PHI,79,4,Auburn,1984 Rnd 1 Pick 5,United States,NBA 1988-1989 Players Information
John Battle,G,6-2,175,26,ATL,82,3,Rutgers,1985 Rnd 4 Pick 14,United States,NBA 1988-1989 Players Information
Benoit Benjamin,C,7-0,250,24,LAC,79,3,Creighton,1985 Rnd 1 Pick 3,United States,NBA 1988-1989 Players Information
Ricky Berry,F,6-8,205,24,SAC,64,0,San Jose State,1988 Rnd 1 Pick 18,United States,NBA 1988-1989 Players Information
Walter Berry,F,6-8,215,24,"HOU, NJN",69,2,St. John's,1986 Rnd 1 Pick 14,United States,NBA 1988-1989 Players Information
Larry Bird,SF,6-9,220,32,BOS,6,9,Indiana State,1978 Rnd 1 Pick 6,United States,NBA 1988-1989 Players Information
Otis Birdsong,GF,6-3,190,33,BOS,13,11,Houston,1977 Rnd 1 Pick 2,United States,NBA 1988-1989 Players Information
Uwe Blab,C,7-2,243,26,DAL,37,3,Indiana,1985 Rnd 1 Pick 17,Germany,NBA 1988-1989 Players Information
Rolando Blackman,G,6-6,190,30,DAL,78,7,Kansas State,1981 Rnd 1 Pick 9,PanamaUnited States,NBA 1988-1989 Players Information
Muggsy Bogues,PG,5-3,136,24,CHA,79,1,Wake Forest,1987 Rnd 1 Pick 12,United States,NBA 1988-1989 Players Information
Manute Bol,C,7-7,200,26,GSW,80,3,Bridgeport,1983 Rnd 5 Pick 4,South Sudan,NBA 1988-1989 Players Information
Anthony Bowie,GF,6-6,190,25,SAS,18,2,Oklahoma,1986 Rnd 3 Pick 19,United States,NBA 1988-1989 Players Information
Sam Bowie,C,7-1,235,27,POR,20,4,Kentucky,1984 Rnd 1 Pick 2,United States,NBA 1988-1989 Players Information
Dudley Bradley,GF,6-6,195,31,ATL,38,9,North Carolina,1979 Rnd 1 Pick 13,United States,NBA 1988-1989 Players Information
Adrian Branch,GF,6-7,185,25,POR,67,3,Maryland,1985 Rnd 2 Pick 22,United States,NBA 1988-1989 Players Information
Randy Breuer,C,7-3,230,28,MIL,48,5,Minnesota,1983 Rnd 1 Pick 18,United States,NBA 1988-1989 Players Information
Frank Brickowski,PF,6-9,240,29,SAS,64,4,Penn State,1981 Rnd 3 Pick 11,United States,NBA 1988-1989 Players Information
Scott Brooks,PG,5-11,165,23,PHI,82,1,UC Irvine,"1987 NBA Draft, Undrafted",United States,NBA 1988-1989 Players Information
Mike Brown,PF,6-9,257,25,UTA,66,2,Georgetown,1985 Rnd 3 Pick 22,United States,NBA 1988-1989 Players Information
Tony Brown,GF,6-6,185,28,"HOU, MIL",43,6,Arkansas,1982 Rnd 4 Pick 13,United States,NBA 1988-1989 Players Information
Mark Bryant,PF,6-9,245,23,POR,56,0,Seton Hall,1988 Rnd 1 Pick 21,United States,NBA 1988-1989 Players Information
Greg Butler,C,6-11,240,22,NYK,33,0,Stanford,1988 Rnd 2 Pick 12,United States,NBA 1988-1989 Players Information
Michael Cage,PF,6-9,224,27,SEA,80,4,San Diego State,1984 Rnd 1 Pick 14,United States,NBA 1988-1989 Players Information
Tony Campbell,GF,6-7,215,26,LAL,63,4,Ohio State,1984 Rnd 1 Pick 20,United States,NBA 1988-1989 Players Information
Antoine Carr,PF,6-9,225,27,ATL,78,4,Wichita State,1983 Rnd 1 Pick 8,United States,NBA 1988-1989 Players Information
Joe Barry Carroll,FC,7-0,225,30,NJN,64,7,Purdue,1980 Rnd 1 Pick 1,United States,NBA 1988-1989 Players Information
Bill Cartwright,C,7-1,245,31,CHI,78,9,San Francisco,1979 Rnd 1 Pick 3,United States,NBA 1988-1989 Players Information
