Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Mahdi Abdul-Rahman,G,6-2,185,24,LAL,79,2,UCLA,"1964 NBA Draft, Undrafted",United States,NBA 1966-1967 Players Information
Henry Akin,FC,6-10,225,22,NYK,50,0,Morehead State,1966 Rnd 2 Pick 1,United States,NBA 1966-1967 Players Information
Al Attles,PG,6-0,175,30,GSW,69,6,North Carolina A&T,1960 Rnd 5 Pick 7,United States,NBA 1966-1967 Players Information
Johnny Austin,G,6-0,170,22,WAS,4,0,Boston College,1966 Rnd 4 Pick 8,United States,NBA 1966-1967 Players Information
Jim Barnes,FC,6-8,210,25,LAL,79,2,UTEP,1964 Rnd 1 Pick 1,United States,NBA 1966-1967 Players Information
Dick Barnett,SG,6-4,190,30,NYK,67,6,Tennessee State,1959 Rnd 1 Pick 4,United States,NBA 1966-1967 Players Information
Jim Barnett,GF,6-4,170,22,BOS,47,0,Oregon,1966 Rnd 1 Pick 8,United States,NBA 1966-1967 Players Information
John Barnhill,G,6-1,180,28,WAS,52,4,Tennessee State,1959 Rnd 11 Pick 6,United States,NBA 1966-1967 Players Information
Rick Barry,F,6-7,205,22,GSW,78,1,Miami (FL),1965 Rnd 1 Pick 2,United States,NBA 1966-1967 Players Information
Elgin Baylor,F,6-5,225,32,LAL,70,8,Seattle,1956 Rnd 14 Pick 2,United States,NBA 1966-1967 Players Information
Zelmo Beaty,FC,6-9,225,27,STH,47,4,Prairie View A&M,1962 Rnd 1 Pick 3,United States,NBA 1966-1967 Players Information
Walt Bellamy,C,6-11,225,27,NYK,79,5,Indiana,1961 Rnd 1 Pick 1,United States,NBA 1966-1967 Players Information
Dave Bing,G,6-3,180,23,DET,80,0,Syracuse,1966 Rnd 1 Pick 2,United States,NBA 1966-1967 Players Information
John Block,FC,6-9,207,22,LAL,21,0,USC,1966 Rnd 3 Pick 7,United States,NBA 1966-1967 Players Information
Bob Boozer,PF,6-8,215,29,CHI,80,6,Kansas State,1959 Rnd 1 Pick 1,United States,NBA 1966-1967 Players Information
Nate Bowman,C,6-10,230,23,CHI,9,0,Wichita State,1965 Rnd 1 Pick 7,United States,NBA 1966-1967 Players Information
Bill Bridges,FC,6-6,228,27,STH,79,4,Kansas,1961 Rnd 3 Pick 9,United States,NBA 1966-1967 Players Information
Emmette Bryant,PG,6-1,175,28,NYK,63,2,DePaul,1964 Rnd 7 Pick 1,United States,NBA 1966-1967 Players Information
Joe Caldwell,GF,6-5,195,25,STH,81,2,Arizona State,1964 Rnd 1 Pick 2,United States,NBA 1966-1967 Players Information
Wilt Chamberlain,C,7-1,265,30,PHI,81,7,Kansas,"1959 NBA Draft, Undrafted",United States,NBA 1966-1967 Players Information
Jerry Chambers,SF,6-5,185,23,LAL,68,0,Utah,1966 Rnd 1 Pick 7,United States,NBA 1966-1967 Players Information
Len Chappell,PF,6-8,240,26,"CHI, CIN",70,4,Wake Forest,1962 Rnd 1 Pick 4,United States,NBA 1966-1967 Players Information
Archie Clark,G,6-2,175,25,LAL,75,0,Minnesota,1966 Rnd 4 Pick 7,United States,NBA 1966-1967 Players Information
Barry Clemens,PF,6-6,210,23,CHI,60,1,Ohio Wesleyan,1965 Rnd 3 Pick 2,United States,NBA 1966-1967 Players Information
Larry Costello,PG,6-1,186,35,PHI,49,10,Niagara,1954 Rnd 2 Pick 3,United States,NBA 1966-1967 Players Information
Mel Counts,FC,7-0,230,25,"LAL, WAS",56,2,Oregon State,1964 Rnd 1 Pick 7,United States,NBA 1966-1967 Players Information
Freddie Crawford,SG,6-4,189,25,NYK,19,0,St. Bonaventure,1963 Rnd 8 Pick 1,United States,NBA 1966-1967 Players Information
Billy Cunningham,FC,6-7,210,23,PHI,81,1,North Carolina,1965 Rnd 1 Pick 5,United States,NBA 1966-1967 Players Information
Dave DeBusschere,F,6-6,220,26,DET,78,4,Detroit-Mercy,"1962 NBA Draft, Undrafted",United States,NBA 1966-1967 Players Information
Dave Deutsch,G,6-1,170,21,NYK,19,0,Rochester (NY),1966 Rnd 12 Pick 1,United States,NBA 1966-1967 Players Information
Connie Dierking,C,6-9,222,30,CIN,77,5,Cincinnati,1958 Rnd 1 Pick 5,United States,NBA 1966-1967 Players Information
Johnny Egan,PG,5-11,180,28,WAS,71,5,Providence,1961 Rnd 2 Pick 3,United States,NBA 1966-1967 Players Information
