Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Kareem Abdul-Jabbar,C,7-2,225,36,LAL,80,14,UCLA,1969 Rnd 1 Pick 1,United States,NBA 1983-1984 Players Information
Alvan Adams,FC,6-9,210,29,PHX,70,8,Oklahoma,1975 Rnd 1 Pick 4,United States,NBA 1983-1984 Players Information
Mark Aguirre,SF,6-6,232,24,DAL,79,2,DePaul,1981 Rnd 1 Pick 1,United States,NBA 1983-1984 Players Information
Danny Ainge,G,6-4,175,24,BOS,71,2,Brigham Young,1981 Rnd 2 Pick 8,United States,NBA 1983-1984 Players Information
J.J. Anderson,F,6-8,195,23,UTA,48,1,Bradley,1982 Rnd 2 Pick 13,United States,NBA 1983-1984 Players Information
Richard Anderson,FC,6-10,240,23,DEN,78,1,UC Santa Barbara,1982 Rnd 2 Pick 9,United States,NBA 1983-1984 Players Information
Tiny Archibald,PG,6-1,150,35,MIL,46,13,UTEP,1970 Rnd 2 Pick 2,United States,NBA 1983-1984 Players Information
Ken Austin,SF,6-9,205,22,DET,6,0,Rice,1983 Rnd 5 Pick 8,United States,NBA 1983-1984 Players Information
John Bagley,G,6-0,185,23,CLE,76,1,Boston College,1982 Rnd 1 Pick 12,United States,NBA 1983-1984 Players Information
James Bailey,FC,6-9,220,26,HOU,73,4,Rutgers,1979 Rnd 1 Pick 6,United States,NBA 1983-1984 Players Information
Thurl Bailey,PF,6-11,215,22,UTA,81,0,NC State,1983 Rnd 1 Pick 7,United States,NBA 1983-1984 Players Information
Greg Ballard,F,6-7,215,29,WAS,82,6,Oregon,1977 Rnd 1 Pick 4,United States,NBA 1983-1984 Players Information
Gene Banks,GF,6-7,215,24,SAS,80,2,Duke,1981 Rnd 2 Pick 5,United States,NBA 1983-1984 Players Information
Dave Batton,C,6-10,240,27,SAS,4,1,Notre Dame,1978 Rnd 3 Pick 18,United States,NBA 1983-1984 Players Information
Kent Benson,C,6-10,235,29,DET,82,6,Indiana,1977 Rnd 1 Pick 1,United States,NBA 1983-1984 Players Information
Larry Bird,SF,6-9,220,27,BOS,79,4,Indiana State,1978 Rnd 1 Pick 6,United States,NBA 1983-1984 Players Information
Otis Birdsong,GF,6-3,190,28,NJN,69,6,Houston,1977 Rnd 1 Pick 2,United States,NBA 1983-1984 Players Information
Rolando Blackman,G,6-6,190,25,DAL,81,2,Kansas State,1981 Rnd 1 Pick 9,PanamaUnited States,NBA 1983-1984 Players Information
Tom Boswell,FC,6-9,220,30,UTA,38,5,South Carolina,1975 Rnd 1 Pick 17,United States,NBA 1983-1984 Players Information
Charles Bradley,SG,6-5,215,24,SEA,8,2,Wyoming,1981 Rnd 1 Pick 23,United States,NBA 1983-1984 Players Information
Mike Bratz,G,6-2,185,28,GSW,81,6,Stanford,1977 Rnd 3 Pick 22,United States,NBA 1983-1984 Players Information
Randy Breuer,C,7-3,230,23,MIL,57,0,Minnesota,1983 Rnd 1 Pick 18,United States,NBA 1983-1984 Players Information
Ron Brewer,G,6-4,180,28,"GOS, SAN",52,5,Arkansas,1978 Rnd 1 Pick 7,United States,NBA 1983-1984 Players Information
Junior Bridgeman,GF,6-5,210,30,MIL,81,8,Louisville,1975 Rnd 1 Pick 8,United States,NBA 1983-1984 Players Information
Michael Brooks,F,6-7,220,25,SDC,47,3,La Salle,1980 Rnd 1 Pick 9,United States,NBA 1983-1984 Players Information
Fred Brown,G,6-3,182,35,SEA,71,12,Iowa,1971 Rnd 1 Pick 6,United States,NBA 1983-1984 Players Information
Rickey Brown,FC,6-10,215,25,ATL,68,3,Mississippi State,1980 Rnd 1 Pick 13,United States,NBA 1983-1984 Players Information
Wallace Bryant,C,7-0,245,24,CHI,29,0,San Francisco,1982 Rnd 2 Pick 7,United States,NBA 1983-1984 Players Information
Quinn Buckner,G,6-3,190,29,BOS,78,7,Indiana,1976 Rnd 1 Pick 7,United States,NBA 1983-1984 Players Information
Don Buse,G,6-4,190,33,KCK,76,7,Evansville,1972 Rnd 3 Pick 4,United States,NBA 1983-1984 Players Information
Kenny Carr,GF,6-7,220,28,POR,82,6,NC State,1977 Rnd 1 Pick 6,United States,NBA 1983-1984 Players Information
M.L. Carr,GF,6-6,205,33,BOS,60,9,Guilford,1973 Rnd 5 Pick 7,United States,NBA 1983-1984 Players Information
Joe Barry Carroll,FC,7-0,225,25,GSW,80,3,Purdue,1980 Rnd 1 Pick 1,United States,NBA 1983-1984 Players Information
Butch Carter,G,6-5,180,25,IND,73,3,Indiana,1980 Rnd 2 Pick 14,United States,NBA 1983-1984 Players Information
Howard Carter,GF,6-5,215,22,DEN,55,0,LSU,1983 Rnd 1 Pick 15,United States,NBA 1983-1984 Players Information
Bill Cartwright,C,7-1,245,26,NYK,77,4,San Francisco,1979 Rnd 1 Pick 3,United States,NBA 1983-1984 Players Information
Harvey Catchings,FC,6-9,218,32,MIL,69,9,Hardin-Simmons,1973 Rnd 9 Pick 1,United States,NBA 1983-1984 Players Information
Tom Chambers,PF,6-10,220,24,SEA,82,2,Utah,1981 Rnd 1 Pick 8,United States,NBA 1983-1984 Players Information
