Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Zaid Abdul-Aziz,FC,6-9,235,24,SEA,61,2,Iowa State,1968 Rnd 1 Pick 5,United States,NBA 1970-1971 Players Information
Kareem Abdul-Jabbar,C,7-2,225,23,MIL,82,1,UCLA,1969 Rnd 1 Pick 1,United States,NBA 1970-1971 Players Information
Mahdi Abdul-Rahman,G,6-2,185,28,ATL,82,6,UCLA,"1964 NBA Draft, Undrafted",United States,NBA 1970-1971 Players Information
Don Adams,SF,6-6,210,23,SDR,82,0,Northwestern,1970 Rnd 8 Pick 1,United States,NBA 1970-1971 Players Information
Rick Adelman,PG,6-1,175,24,POR,81,2,Loyola Marymount,1968 Rnd 7 Pick 1,United States,NBA 1970-1971 Players Information
Lucius Allen,PG,6-2,175,23,MIL,61,1,UCLA,1969 Rnd 1 Pick 3,United States,NBA 1970-1971 Players Information
Cliff Anderson,G,6-2,200,26,"CLE, PHL",24,2,Saint Joseph's,1967 Rnd 4 Pick 4,United States,NBA 1970-1971 Players Information
Tiny Archibald,PG,6-1,150,22,CIN,82,0,UTEP,1970 Rnd 2 Pick 2,United States,NBA 1970-1971 Players Information
Bob Arnzen,G,6-5,205,23,CIN,54,0,Notre Dame,1969 Rnd 8 Pick 4,United States,NBA 1970-1971 Players Information
Al Attles,PG,6-0,175,34,GSW,32,10,North Carolina A&T,1960 Rnd 5 Pick 7,United States,NBA 1970-1971 Players Information
Dennis Awtrey,C,6-10,235,23,PHI,70,0,Santa Clara,1970 Rnd 3 Pick 12,United States,NBA 1970-1971 Players Information
Jim Barnes,FC,6-8,210,29,WAS,11,6,UTEP,1964 Rnd 1 Pick 1,United States,NBA 1970-1971 Players Information
Dick Barnett,SG,6-4,190,34,NYK,82,10,Tennessee State,1959 Rnd 1 Pick 4,United States,NBA 1970-1971 Players Information
Jim Barnett,GF,6-4,170,26,POR,78,4,Oregon,1966 Rnd 1 Pick 8,United States,NBA 1970-1971 Players Information
Moe Barr,G,6-4,195,26,CIN,31,0,Duquesne,"1969 NBA Draft, Undrafted",United States,NBA 1970-1971 Players Information
Johnny Baum,F,6-5,200,24,CHI,60,1,Temple,1968 Rnd 15 Pick 6,United States,NBA 1970-1971 Players Information
Elgin Baylor,F,6-5,225,36,LAL,2,12,Seattle,1956 Rnd 14 Pick 2,United States,NBA 1970-1971 Players Information
Walt Bellamy,C,6-11,225,31,ATL,82,9,Indiana,1961 Rnd 1 Pick 1,United States,NBA 1970-1971 Players Information
Dave Bing,G,6-3,180,27,DET,82,4,Syracuse,1966 Rnd 1 Pick 2,United States,NBA 1970-1971 Players Information
Tom Black,C,6-10,220,29,"CIN, SEA",70,0,South Dakota State,1964 Rnd 9 Pick 2,United States,NBA 1970-1971 Players Information
John Block,FC,6-9,207,26,SDR,73,4,USC,1966 Rnd 3 Pick 7,United States,NBA 1970-1971 Players Information
Tom Boerwinkle,C,7-0,265,25,CHI,82,2,Tennessee,1968 Rnd 1 Pick 4,United States,NBA 1970-1971 Players Information
Bob Boozer,PF,6-8,215,33,MIL,80,10,Kansas State,1959 Rnd 1 Pick 1,United States,NBA 1970-1971 Players Information
Nate Bowman,C,6-10,230,27,BUF,43,4,Wichita State,1965 Rnd 1 Pick 7,United States,NBA 1970-1971 Players Information
Bill Bradley,GF,6-5,205,27,NYK,78,3,Princeton,"1965 NBA Draft, Undrafted",United States,NBA 1970-1971 Players Information
Bill Bridges,FC,6-6,228,31,ATL,82,8,Kansas,1961 Rnd 3 Pick 9,United States,NBA 1970-1971 Players Information
Emmette Bryant,PG,6-1,175,32,BUF,73,6,DePaul,1964 Rnd 7 Pick 1,United States,NBA 1970-1971 Players Information
Fred Carter,G,6-3,185,26,WAS,77,1,Mount St. Mary's,1969 Rnd 3 Pick 14,United States,NBA 1970-1971 Players Information
Wilt Chamberlain,C,7-1,265,34,LAL,82,11,Kansas,"1959 NBA Draft, Undrafted",United States,NBA 1970-1971 Players Information
Jerry Chambers,SF,6-5,185,27,ATL,65,2,Utah,1966 Rnd 1 Pick 7,United States,NBA 1970-1971 Players Information
Don Chaney,G,6-5,210,24,BOS,81,2,Houston,1968 Rnd 1 Pick 12,United States,NBA 1970-1971 Players Information
Len Chappell,PF,6-8,240,30,"ATL, CLE",48,8,Wake Forest,1962 Rnd 1 Pick 4,United States,NBA 1970-1971 Players Information
Bob Christian,C,6-10,255,24,ATL,53,0,Grambling State,1969 Rnd 8 Pick 10,United States,NBA 1970-1971 Players Information
Archie Clark,G,6-2,175,29,PHI,82,4,Minnesota,1966 Rnd 4 Pick 7,United States,NBA 1970-1971 Players Information
Barry Clemens,PF,6-6,210,27,SEA,77,5,Ohio Wesleyan,1965 Rnd 3 Pick 2,United States,NBA 1970-1971 Players Information
Jimmy Collins,SG,6-2,175,24,CHI,53,0,New Mexico State,1970 Rnd 1 Pick 11,United States,NBA 1970-1971 Players Information
Joe Cooke,G,6-3,175,22,CLE,70,0,Indiana,1970 Rnd 6 Pick 9,United States,NBA 1970-1971 Players Information
Mel Counts,FC,7-0,230,29,PHX,80,6,Oregon State,1964 Rnd 1 Pick 7,United States,NBA 1970-1971 Players Information
Dave Cowens,FC,6-9,230,22,BOS,81,0,Florida State,1970 Rnd 1 Pick 4,United States,NBA 1970-1971 Players Information
Freddie Crawford,SG,6-4,189,29,"BUF, PHL",51,4,St. Bonaventure,1963 Rnd 8 Pick 1,United States,NBA 1970-1971 Players Information
Pete Cross,FC,6-9,230,22,SEA,79,0,San Francisco,1970 Rnd 2 Pick 6,United States,NBA 1970-1971 Players Information
Billy Cunningham,FC,6-7,210,27,PHI,81,5,North Carolina,1965 Rnd 1 Pick 5,United States,NBA 1970-1971 Players Information
Dick Cunningham,C,6-10,245,24,MIL,75,2,Murray State,1968 Rnd 2 Pick 7,United States,NBA 1970-1971 Players Information
Bob Dandridge,SF,6-6,195,23,MIL,79,1,Norfolk State,1969 Rnd 4 Pick 2,United States,NBA 1970-1971 Players Information
Jim Davis,C,6-9,225,29,ATL,82,4,Colorado,1964 Rnd 4 Pick 2,United States,NBA 1970-1971 Players Information
Mike Davis,G,6-3,185,24,BUF,73,0,Virginia Union,1969 Rnd 1 Pick 14,United States,NBA 1970-1971 Players Information
Dave DeBusschere,F,6-6,220,30,NYK,81,8,Detroit-Mercy,"1962 NBA Draft, Undrafted",United States,NBA 1970-1971 Players Information
Connie Dierking,C,6-9,222,34,"CIN, PHL",53,9,Cincinnati,1958 Rnd 1 Pick 5,United States,NBA 1970-1971 Players Information
Bill Dinwiddie,F,6-7,220,27,BOS,61,3,New Mexico Highlands,"1966 NBA Draft, Undrafted",United States,NBA 1970-1971 Players Information
Terry Dischinger,GF,6-7,189,30,DET,64,6,Purdue,1962 Rnd 2 Pick 1,United States,NBA 1970-1971 Players Information
Terry Driscoll,PF,6-7,215,23,DET,70,0,Boston College,1969 Rnd 1 Pick 4,United States,NBA 1970-1971 Players Information
Johnny Egan,PG,5-11,180,32,"CLE, SDR",58,9,Providence,1961 Rnd 2 Pick 3,United States,NBA 1970-1971 Players Information
Joe Ellis,F,6-6,175,26,GSW,80,4,San Francisco,1966 Rnd 2 Pick 3,United States,NBA 1970-1971 Players Information
Leroy Ellis,FC,6-10,210,30,POR,74,8,St. John's,1962 Rnd 1 Pick 6,United States,NBA 1970-1971 Players Information
Claude English,,-,-,24,POR,15,0,Rhode Island,1970 Rnd 7 Pick 8,United States,NBA 1970-1971 Players Information
Keith Erickson,GF,6-5,195,26,LAL,72,5,UCLA,1965 Rnd 3 Pick 1,United States,NBA 1970-1971 Players Information
Greg Fillmore,C,7-1,240,23,NYK,39,0,Cheyney (PA),1970 Rnd 8 Pick 17,United States,NBA 1970-1971 Players Information
Hank Finkel,C,7-0,240,28,BOS,80,4,Dayton,1964 Rnd 4 Pick 5,United States,NBA 1970-1971 Players Information
Levi Fontaine,SG,6-4,190,22,GSW,33,0,Maryland-Eastern Shore,1970 Rnd 5 Pick 2,United States,NBA 1970-1971 Players Information
Jake Ford,PG,6-3,180,24,SEA,5,1,Maryland-Eastern Shore,1969 Rnd 5 Pick 8,United States,NBA 1970-1971 Players Information
Fred Foster,SF,6-5,210,24,"CIN, PHL",67,2,Miami (OH),1968 Rnd 3 Pick 6,United States,NBA 1970-1971 Players Information
Jim Fox,C,6-10,230,27,CHI,82,3,South Carolina,1965 Rnd 8 Pick 6,United States,NBA 1970-1971 Players Information
Walt Frazier,PG,6-4,200,25,NYK,80,3,Southern Illinois,1967 Rnd 1 Pick 5,United States,NBA 1970-1971 Players Information
Gary Freeman,PF,6-9,210,22,"CLE, MIL",50,0,Oregon State,1970 Rnd 1 Pick 16,United States,NBA 1970-1971 Players Information
Dick Garrett,G,6-3,185,24,BUF,74,1,Southern Illinois,1969 Rnd 2 Pick 12,United States,NBA 1970-1971 Players Information
Herm Gilliam,G,6-3,190,24,BUF,80,1,Purdue,1968 Rnd 13 Pick 3,United States,NBA 1970-1971 Players Information
Walt Gilmore,PF,6-6,225,24,POR,22,0,Fort Valley State,1970 Rnd 2 Pick 8,United States,NBA 1970-1971 Players Information
Gail Goodrich,G,6-1,170,27,LAL,79,5,UCLA,"1965 NBA Draft, Undrafted",United States,NBA 1970-1971 Players Information
Bob Greacen,F,6-7,205,23,MIL,2,1,Rutgers,1969 Rnd 2 Pick 2,United States,NBA 1970-1971 Players Information
Johnny Green,SF,6-5,200,37,CIN,75,11,Michigan State,1959 Rnd 1 Pick 5,United States,NBA 1970-1971 Players Information
Lamar Green,FC,6-7,210,23,PHX,68,1,Morehead State,1969 Rnd 3 Pick 4,United States,NBA 1970-1971 Players Information
Hal Greer,G,6-2,175,34,PHI,81,12,Marshall,1958 Rnd 2 Pick 6,United States,NBA 1970-1971 Players Information
Gary Gregor,F,6-7,225,25,POR,44,2,South Carolina,1967 Rnd 3 Pick 5,United States,NBA 1970-1971 Players Information
Matt Guokas,GF,6-5,175,27,"CHI, PHL",79,4,Saint Joseph's,1966 Rnd 1 Pick 9,United States,NBA 1970-1971 Players Information
Happy Hairston,F,6-7,225,28,LAL,80,6,NYU,1964 Rnd 4 Pick 8,United States,NBA 1970-1971 Players Information
Shaler Halimon,F,6-5,199,25,"CHI, POR",79,2,Utah State,1968 Rnd 1 Pick 14,United States,NBA 1970-1971 Players Information
Art Harris,G,6-4,185,24,PHX,55,2,Stanford,1968 Rnd 2 Pick 2,United States,NBA 1970-1971 Players Information
Clem Haskins,PG,6-3,195,27,PHX,82,3,Western Kentucky,1967 Rnd 1 Pick 3,United States,NBA 1970-1971 Players Information
