Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Precious Achiuwa,SF,6-8,243,23,TOR,55,2,Memphis,2020 Rnd 1 Pick 20,Nigeria,NBA 2022-2023 Players Information
Steven Adams,C,6-11,265,29,MEM,42,9,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand,NBA 2022-2023 Players Information
Bam Adebayo,C,6-9,255,25,MIA,75,5,Kentucky,2017 Rnd 1 Pick 14,United States,NBA 2022-2023 Players Information
Ochai Agbaji,SF,6-5,215,22,UTA,59,0,Kansas,2022 Rnd 1 Pick 14,United States,NBA 2022-2023 Players Information
Santi Aldama,C,7-0,215,22,MEM,77,1,Loyola (MD),2021 Rnd 1 Pick 30,Spain,NBA 2022-2023 Players Information
Nickeil Alexander-Walker,SG,6-5,205,24,"MIN, UTH",59,3,Virginia Tech,2019 Rnd 1 Pick 17,Canada,NBA 2022-2023 Players Information
Grayson Allen,SG,6-4,198,27,MIL,72,4,Duke,2018 Rnd 1 Pick 21,United States,NBA 2022-2023 Players Information
Jarrett Allen,C,6-9,243,24,CLE,68,5,Texas,2017 Rnd 1 Pick 22,United States,NBA 2022-2023 Players Information
Jose Alvarado,G,6-0,179,24,NOP,61,1,Georgia Tech,"2021 NBA Draft, Undrafted",United StatesPuerto Rico,NBA 2022-2023 Players Information
Kyle Anderson,PF,6-9,230,29,MIN,69,8,UCLA,2014 Rnd 1 Pick 30,United StatesChina,NBA 2022-2023 Players Information
Giannis Antetokounmpo,F,6-11,243,28,MIL,63,9,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,GreeceNigeria,NBA 2022-2023 Players Information
Thanasis Antetokounmpo,SF,6-7,219,30,MIL,37,4,Delaware 87ers,2014 Rnd 2 Pick 21,GreeceNigeria,NBA 2022-2023 Players Information
Cole Anthony,PG,6-2,185,22,ORL,60,2,North Carolina,2020 Rnd 1 Pick 15,United States,NBA 2022-2023 Players Information
OG Anunoby,SF,6-7,240,25,TOR,67,5,Indiana,2017 Rnd 1 Pick 23,EnglandUnited States,NBA 2022-2023 Players Information
Ryan Arcidiacono,G,6-3,195,28,"NYK, POR",20,5,Villanova,"2016 NBA Draft, Undrafted",United States,NBA 2022-2023 Players Information
Deni Avdija,SG,6-9,210,22,WAS,76,2,Maccabi Tel Aviv U18 (Israel),2020 Rnd 1 Pick 9,Israel,NBA 2022-2023 Players Information
Deandre Ayton,C,7-0,247,24,PHX,67,4,Arizona,2018 Rnd 1 Pick 1,Bahamas,NBA 2022-2023 Players Information
Udoka Azubuike,C,6-11,270,23,UTA,36,2,Kansas,2020 Rnd 1 Pick 27,Nigeria,NBA 2022-2023 Players Information
Marvin Bagley III,PF,6-10,235,23,DET,42,4,Duke,2018 Rnd 1 Pick 2,United States,NBA 2022-2023 Players Information
"Patrick Baldwin, Jr.",SG,6-9,220,20,GSW,31,0,Milwaukee,2022 Rnd 1 Pick 28,United States,NBA 2022-2023 Players Information
