Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Zaid Abdul-Aziz,FC,6-9,235,22,"CIN, MIL",48,0,Iowa State,1968 Rnd 1 Pick 5,United States,NBA 1968-1969 Players Information
Mahdi Abdul-Rahman,G,6-2,185,26,ATL,80,4,UCLA,"1964 NBA Draft, Undrafted",United States,NBA 1968-1969 Players Information
Rick Adelman,PG,6-1,175,22,SDR,75,0,Loyola Marymount,1968 Rnd 7 Pick 1,United States,NBA 1968-1969 Players Information
Bob Allen,F,6-9,205,22,GSW,26,0,Marshall,1968 Rnd 6 Pick 7,United States,NBA 1968-1969 Players Information
Cliff Anderson,G,6-2,200,24,LAL,33,1,Saint Joseph's,1967 Rnd 4 Pick 4,United States,NBA 1968-1969 Players Information
Al Attles,PG,6-0,175,32,GSW,52,8,North Carolina A&T,1960 Rnd 5 Pick 7,United States,NBA 1968-1969 Players Information
Harry Barnes,G,6-3,205,23,SDR,22,0,Northeastern,1968 Rnd 4 Pick 1,United States,NBA 1968-1969 Players Information
Jim Barnes,FC,6-8,210,27,"BOS, CHI",59,4,UTEP,1964 Rnd 1 Pick 1,United States,NBA 1968-1969 Players Information
Dick Barnett,SG,6-4,190,32,NYK,82,8,Tennessee State,1959 Rnd 1 Pick 4,United States,NBA 1968-1969 Players Information
Jim Barnett,GF,6-4,170,24,SDR,80,2,Oregon,1966 Rnd 1 Pick 8,United States,NBA 1968-1969 Players Information
John Barnhill,G,6-1,180,30,WAS,30,6,Tennessee State,1959 Rnd 11 Pick 6,United States,NBA 1968-1969 Players Information
Elgin Baylor,F,6-5,225,34,LAL,76,10,Seattle,1956 Rnd 14 Pick 2,United States,NBA 1968-1969 Players Information
Zelmo Beaty,FC,6-9,225,29,ATL,72,6,Prairie View A&M,1962 Rnd 1 Pick 3,United States,NBA 1968-1969 Players Information
Walt Bellamy,C,6-11,225,29,"DET, NYK",88,7,Indiana,1961 Rnd 1 Pick 1,United States,NBA 1968-1969 Players Information
Eddie Biedenbach,G,6-1,175,23,PHX,7,0,NC State,1967 Rnd 9 Pick 5,United States,NBA 1968-1969 Players Information
Dave Bing,G,6-3,180,25,DET,77,2,Syracuse,1966 Rnd 1 Pick 2,United States,NBA 1968-1969 Players Information
John Block,FC,6-9,207,24,SDR,78,2,USC,1966 Rnd 3 Pick 7,United States,NBA 1968-1969 Players Information
Tom Boerwinkle,C,7-0,265,23,CHI,81,0,Tennessee,1968 Rnd 1 Pick 4,United States,NBA 1968-1969 Players Information
Bob Boozer,PF,6-8,215,31,CHI,79,8,Kansas State,1959 Rnd 1 Pick 1,United States,NBA 1968-1969 Players Information
Nate Bowman,C,6-10,230,25,NYK,67,2,Wichita State,1965 Rnd 1 Pick 7,United States,NBA 1968-1969 Players Information
Bill Bradley,GF,6-5,205,25,NYK,82,1,Princeton,"1965 NBA Draft, Undrafted",United States,NBA 1968-1969 Players Information
Bill Bridges,FC,6-6,228,29,ATL,80,6,Kansas,1961 Rnd 3 Pick 9,United States,NBA 1968-1969 Players Information
Emmette Bryant,PG,6-1,175,30,BOS,80,4,DePaul,1964 Rnd 7 Pick 1,United States,NBA 1968-1969 Players Information
Joe Caldwell,GF,6-5,195,27,ATL,81,4,Arizona State,1964 Rnd 1 Pick 2,United States,NBA 1968-1969 Players Information
