Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Precious Achiuwa,SF,6-8,243,21,MIA,61,0,Memphis,2020 Rnd 1 Pick 20,Nigeria,NBA 2020-2021 Players Information
Jaylen Adams,PG,6-0,225,24,MIL,7,1,St. Bonaventure,"2018 NBA Draft, Undrafted",United States,NBA 2020-2021 Players Information
Steven Adams,C,6-11,265,27,NOP,58,7,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand,NBA 2020-2021 Players Information
Bam Adebayo,C,6-9,255,23,MIA,64,3,Kentucky,2017 Rnd 1 Pick 14,United States,NBA 2020-2021 Players Information
LaMarcus Aldridge,FC,6-11,265,35,"BRK, SAN",26,14,Texas,2006 Rnd 1 Pick 2,United States,NBA 2020-2021 Players Information
Ty-Shon Alexander,SG,6-3,195,22,PHX,15,0,Creighton,"2020 NBA Draft, Undrafted",United States,NBA 2020-2021 Players Information
Nickeil Alexander-Walker,SG,6-5,205,22,NOP,46,1,Virginia Tech,2019 Rnd 1 Pick 17,Canada,NBA 2020-2021 Players Information
Grayson Allen,SG,6-4,198,25,MEM,50,2,Duke,2018 Rnd 1 Pick 21,United States,NBA 2020-2021 Players Information
Jarrett Allen,C,6-9,243,22,"BRK, CLE",63,3,Texas,2017 Rnd 1 Pick 22,United States,NBA 2020-2021 Players Information
Al-Farouq Aminu,F,6-9,220,30,"CHI, ORL",23,10,Wake Forest,2010 Rnd 1 Pick 8,United StatesNigeria,NBA 2020-2021 Players Information
Kyle Anderson,PF,6-9,230,27,MEM,69,6,UCLA,2014 Rnd 1 Pick 30,United StatesChina,NBA 2020-2021 Players Information
Giannis Antetokounmpo,F,6-11,243,26,MIL,61,7,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,GreeceNigeria,NBA 2020-2021 Players Information
Kostas Antetokounmpo,PF,6-10,200,23,LAL,15,2,Dayton,2018 Rnd 2 Pick 30,GreeceUnited States,NBA 2020-2021 Players Information
Thanasis Antetokounmpo,SF,6-7,219,28,MIL,57,2,Delaware 87ers,2014 Rnd 2 Pick 21,GreeceNigeria,NBA 2020-2021 Players Information
Carmelo Anthony,F,6-8,240,36,POR,69,17,Syracuse,2003 Rnd 1 Pick 3,United States,NBA 2020-2021 Players Information
Cole Anthony,PG,6-2,185,20,ORL,47,0,North Carolina,2020 Rnd 1 Pick 15,United States,NBA 2020-2021 Players Information
OG Anunoby,SF,6-7,240,23,TOR,43,3,Indiana,2017 Rnd 1 Pick 23,EnglandUnited States,NBA 2020-2021 Players Information
Ryan Arcidiacono,G,6-3,195,26,CHI,44,3,Villanova,"2016 NBA Draft, Undrafted",United States,NBA 2020-2021 Players Information
Trevor Ariza,SF,6-8,215,35,MIA,30,16,UCLA,2004 Rnd 2 Pick 14,United States,NBA 2020-2021 Players Information
D.J. Augustin,G,6-0,183,33,"HOU, MIL",57,12,Texas,2008 Rnd 1 Pick 9,United States,NBA 2020-2021 Players Information
Deni Avdija,SG,6-9,210,20,WAS,54,0,Maccabi Tel Aviv U18 (Israel),2020 Rnd 1 Pick 9,Israel,NBA 2020-2021 Players Information
Deandre Ayton,C,7-0,247,22,PHX,69,2,Arizona,2018 Rnd 1 Pick 1,Bahamas,NBA 2020-2021 Players Information
Udoka Azubuike,C,6-11,270,21,UTA,15,0,Kansas,2020 Rnd 1 Pick 27,Nigeria,NBA 2020-2021 Players Information
Dwayne Bacon,SF,6-6,221,25,ORL,72,3,Florida State,2017 Rnd 2 Pick 10,United States,NBA 2020-2021 Players Information
Marvin Bagley III,PF,6-10,235,21,SAC,43,2,Duke,2018 Rnd 1 Pick 2,United States,NBA 2020-2021 Players Information
LaMelo Ball,G,6-7,180,19,CHA,51,0,Illawarra (Australia),2020 Rnd 1 Pick 3,United States,NBA 2020-2021 Players Information
