Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Tariq Abdul-Wahad,SF,6-6,223,24,SAC,49,1,San Jose State,1997 Rnd 1 Pick 11,France,NBA 1998-1999 Players Information
Shareef Abdur-Rahim,F,6-9,225,22,VAN,50,2,California,1996 Rnd 1 Pick 3,United States,NBA 1998-1999 Players Information
Cory Alexander,G,6-1,185,25,DEN,36,3,Virginia,1995 Rnd 1 Pick 29,United States,NBA 1998-1999 Players Information
Ray Allen,SG,6-5,205,23,MIL,50,2,UConn,1996 Rnd 1 Pick 5,United States,NBA 1998-1999 Players Information
Peter Aluma,C,6-10,260,25,SAC,2,0,Liberty,"1997 NBA Draft, Undrafted",Nigeria,NBA 1998-1999 Players Information
Derek Anderson,G,6-5,194,24,CLE,38,1,Kentucky,1997 Rnd 1 Pick 13,United States,NBA 1998-1999 Players Information
Kenny Anderson,PG,6-0,168,28,BOS,34,7,Georgia Tech,1991 Rnd 1 Pick 2,United States,NBA 1998-1999 Players Information
Nick Anderson,GF,6-6,228,31,ORL,47,9,Illinois,1989 Rnd 1 Pick 11,United States,NBA 1998-1999 Players Information
Shandon Anderson,GF,6-6,208,25,UTA,50,2,Georgia,1996 Rnd 2 Pick 25,United States,NBA 1998-1999 Players Information
Chris Anstey,C,7-0,253,24,DAL,41,1,South East Melbourne (Australia),1997 Rnd 1 Pick 18,Australia,NBA 1998-1999 Players Information
Greg Anthony,PG,6-0,176,31,POR,50,7,UNLV,1991 Rnd 1 Pick 12,United States,NBA 1998-1999 Players Information
B.J. Armstrong,G,6-2,175,31,"CHA, ORL",32,9,Iowa,1989 Rnd 1 Pick 18,United States,NBA 1998-1999 Players Information
Darrell Armstrong,PG,6-0,170,30,ORL,50,4,Fayetteville State,"1991 NBA Draft, Undrafted",United States,NBA 1998-1999 Players Information
Keith Askins,F,6-7,197,31,MIA,33,8,Alabama,"1990 NBA Draft, Undrafted",United States,NBA 1998-1999 Players Information
Stacey Augmon,SF,6-6,205,30,POR,48,7,UNLV,1991 Rnd 1 Pick 9,United States,NBA 1998-1999 Players Information
Ike Austin,C,6-10,255,29,ORL,49,5,Arizona State,1991 Rnd 2 Pick 21,United States,NBA 1998-1999 Players Information
Anthony Avent,F,6-9,235,29,UTA,5,5,Seton Hall,1991 Rnd 1 Pick 15,United States,NBA 1998-1999 Players Information
Thurl Bailey,PF,6-11,215,37,UTA,43,11,NC State,1983 Rnd 1 Pick 7,United States,NBA 1998-1999 Players Information
Toby Bailey,G,6-6,213,23,PHX,27,0,UCLA,1998 Rnd 2 Pick 16,United States,NBA 1998-1999 Players Information
Mark Baker,G,6-1,175,29,TOR,1,0,Ohio State,"1992 NBA Draft, Undrafted",United States,NBA 1998-1999 Players Information
Vin Baker,PF,6-11,240,27,SEA,34,5,Hartford,1993 Rnd 1 Pick 8,United States,NBA 1998-1999 Players Information
Charles Barkley,PF,6-6,252,36,HOU,42,14,Auburn,1984 Rnd 1 Pick 5,United States,NBA 1998-1999 Players Information
Dana Barros,PG,5-11,165,31,BOS,50,9,Boston College,1989 Rnd 1 Pick 16,United States,NBA 1998-1999 Players Information
Brent Barry,G,6-7,210,27,CHI,37,3,Oregon State,1995 Rnd 1 Pick 15,United States,NBA 1998-1999 Players Information
Drew Barry,G,6-5,191,26,SEA,17,2,Georgia Tech,1996 Rnd 2 Pick 28,United States,NBA 1998-1999 Players Information
Jon Barry,SG,6-4,195,29,SAC,43,6,Georgia Tech,1992 Rnd 1 Pick 21,United States,NBA 1998-1999 Players Information
Tony Battie,PF,6-11,230,23,BOS,50,1,Texas Tech,1997 Rnd 1 Pick 5,United States,NBA 1998-1999 Players Information
Corey Beck,G,6-1,190,27,"CHA, DET",24,3,Arkansas,"1995 NBA Draft, Undrafted",United States,NBA 1998-1999 Players Information
Benoit Benjamin,C,7-0,250,34,PHI,6,13,Creighton,1985 Rnd 1 Pick 3,United States,NBA 1998-1999 Players Information
Corey Benjamin,SG,6-6,200,21,CHI,31,0,Oregon State,1998 Rnd 1 Pick 28,United States,NBA 1998-1999 Players Information
Mario Bennett,C-F,6-6,235,25,CHI,3,2,Arizona State,1995 Rnd 1 Pick 27,United States,NBA 1998-1999 Players Information
Travis Best,PG,5-11,182,26,IND,49,3,Georgia Tech,1995 Rnd 1 Pick 23,United States,NBA 1998-1999 Players Information
Mike Bibby,G,6-2,195,20,VAN,50,0,Arizona,1998 Rnd 1 Pick 2,United States,NBA 1998-1999 Players Information
Chauncey Billups,G,6-3,210,22,DEN,45,1,Colorado,1997 Rnd 1 Pick 3,United States,NBA 1998-1999 Players Information
Mookie Blaylock,PG,6-1,190,31,ATL,48,9,Oklahoma,1989 Rnd 1 Pick 12,United States,NBA 1998-1999 Players Information
Corie Blount,PF,6-9,240,30,"CLE, LAL",34,5,Cincinnati,1993 Rnd 1 Pick 25,United States,NBA 1998-1999 Players Information
Muggsy Bogues,PG,5-3,136,34,GSW,36,11,Wake Forest,1987 Rnd 1 Pick 12,United States,NBA 1998-1999 Players Information
Etdrick Bohannon,F,6-9,220,25,WAS,2,1,Auburn-Montgomery,"1997 NBA Draft, Undrafted",United States,NBA 1998-1999 Players Information
Keith Booth,F,6-6,226,24,CHI,39,1,Maryland,1997 Rnd 1 Pick 28,United States,NBA 1998-1999 Players Information
Bruce Bowen,F,6-7,200,27,BOS,30,3,Cal State Fullerton,"1993 NBA Draft, Undrafted",United States,NBA 1998-1999 Players Information
Earl Boykins,G,5-5,135,22,"CLE, NJN",22,0,Eastern Michigan,"1998 NBA Draft, Undrafted",United States,NBA 1998-1999 Players Information
Shawn Bradley,C,7-6,235,26,DAL,49,5,Brigham Young,1993 Rnd 1 Pick 2,United StatesGermany,NBA 1998-1999 Players Information
Terrell Brandon,PG,5-11,180,28,"MIL, MIN",36,7,Oregon,1991 Rnd 1 Pick 11,United States,NBA 1998-1999 Players Information
Chucky Brown,SF,6-7,214,31,CHA,48,9,NC State,1989 Rnd 2 Pick 16,United States,NBA 1998-1999 Players Information
Dee Brown,PG,6-1,160,30,TOR,49,8,Jacksonville,1990 Rnd 1 Pick 19,United States,NBA 1998-1999 Players Information
Gerald Brown,G,6-4,210,23,PHX,33,0,Pepperdine,"1998 NBA Draft, Undrafted",United States,NBA 1998-1999 Players Information
P.J. Brown,C,6-11,225,29,MIA,50,5,Louisiana Tech,1992 Rnd 2 Pick 2,United States,NBA 1998-1999 Players Information
