Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Precious Achiuwa,SF,6-8,243,22,TOR,73,1,Memphis,2020 Rnd 1 Pick 20,Nigeria,NBA 2021-2022 Players Information
Steven Adams,C,6-11,265,28,MEM,76,8,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand,NBA 2021-2022 Players Information
Bam Adebayo,C,6-9,255,24,MIA,56,4,Kentucky,2017 Rnd 1 Pick 14,United States,NBA 2021-2022 Players Information
Santi Aldama,C,7-0,215,21,MEM,32,0,Loyola (MD),2021 Rnd 1 Pick 30,Spain,NBA 2021-2022 Players Information
LaMarcus Aldridge,FC,6-11,265,36,BRK,47,15,Texas,2006 Rnd 1 Pick 2,United States,NBA 2021-2022 Players Information
Nickeil Alexander-Walker,SG,6-5,205,23,"NOP, UTH",65,2,Virginia Tech,2019 Rnd 1 Pick 17,Canada,NBA 2021-2022 Players Information
Grayson Allen,SG,6-4,198,26,MIL,66,3,Duke,2018 Rnd 1 Pick 21,United States,NBA 2021-2022 Players Information
Jarrett Allen,C,6-9,243,23,CLE,56,4,Texas,2017 Rnd 1 Pick 22,United States,NBA 2021-2022 Players Information
Jose Alvarado,G,6-0,179,23,NOP,54,0,Georgia Tech,"2021 NBA Draft, Undrafted",United StatesPuerto Rico,NBA 2021-2022 Players Information
Justin Anderson,F,6-6,230,28,"CLE, IND",16,5,Virginia,2015 Rnd 1 Pick 21,United States,NBA 2021-2022 Players Information
Kyle Anderson,PF,6-9,230,28,MEM,69,7,UCLA,2014 Rnd 1 Pick 30,United StatesChina,NBA 2021-2022 Players Information
Giannis Antetokounmpo,F,6-11,243,27,MIL,67,8,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,GreeceNigeria,NBA 2021-2022 Players Information
Thanasis Antetokounmpo,SF,6-7,219,29,MIL,48,3,Delaware 87ers,2014 Rnd 2 Pick 21,GreeceNigeria,NBA 2021-2022 Players Information
Carmelo Anthony,F,6-8,240,37,LAL,69,18,Syracuse,2003 Rnd 1 Pick 3,United States,NBA 2021-2022 Players Information
Cole Anthony,PG,6-2,185,21,ORL,65,1,North Carolina,2020 Rnd 1 Pick 15,United States,NBA 2021-2022 Players Information
OG Anunoby,SF,6-7,240,24,TOR,48,4,Indiana,2017 Rnd 1 Pick 23,EnglandUnited States,NBA 2021-2022 Players Information
Ryan Arcidiacono,G,6-3,195,27,NYK,10,4,Villanova,"2016 NBA Draft, Undrafted",United States,NBA 2021-2022 Players Information
Trevor Ariza,SF,6-8,215,36,LAL,24,17,UCLA,2004 Rnd 2 Pick 14,United States,NBA 2021-2022 Players Information
D.J. Augustin,G,6-0,183,34,"HOU, LAL",55,13,Texas,2008 Rnd 1 Pick 9,United States,NBA 2021-2022 Players Information
Deni Avdija,SG,6-9,210,21,WAS,82,1,Maccabi Tel Aviv U18 (Israel),2020 Rnd 1 Pick 9,Israel,NBA 2021-2022 Players Information
Joel Ayayi,G,6-4,180,21,WAS,7,0,Gonzaga,"2021 NBA Draft, Undrafted",France,NBA 2021-2022 Players Information
Deandre Ayton,C,7-0,247,23,PHX,58,3,Arizona,2018 Rnd 1 Pick 1,Bahamas,NBA 2021-2022 Players Information
Udoka Azubuike,C,6-11,270,22,UTA,17,1,Kansas,2020 Rnd 1 Pick 27,Nigeria,NBA 2021-2022 Players Information
Marvin Bagley III,PF,6-10,235,22,"DET, SAC",48,3,Duke,2018 Rnd 1 Pick 2,United States,NBA 2021-2022 Players Information
LaMelo Ball,G,6-7,180,20,CHA,75,1,Illawarra (Australia),2020 Rnd 1 Pick 3,United States,NBA 2021-2022 Players Information
Lonzo Ball,PG,6-6,190,24,CHI,35,4,UCLA,2017 Rnd 1 Pick 2,United States,NBA 2021-2022 Players Information
Mohamed Bamba,C,7-0,231,23,ORL,71,3,Texas,2018 Rnd 1 Pick 6,United States,NBA 2021-2022 Players Information
Desmond Bane,SG,6-5,215,23,MEM,76,1,TCU,2020 Rnd 1 Pick 30,United States,NBA 2021-2022 Players Information
Dalano Banton,PG,6-8,204,22,TOR,64,0,Nebraska,2021 Rnd 2 Pick 16,Canada,NBA 2021-2022 Players Information
Cat Barber,G,6-1,173,27,ATL,3,0,NC State,"2016 NBA Draft, Undrafted",United States,NBA 2021-2022 Players Information
Harrison Barnes,SF,6-8,225,29,SAC,77,9,North Carolina,2012 Rnd 1 Pick 7,United States,NBA 2021-2022 Players Information
Scottie Barnes,SF,6-7,237,20,TOR,74,0,Florida State,2021 Rnd 1 Pick 4,United States,NBA 2021-2022 Players Information
R.J. Barrett,SG,6-6,214,21,NYK,70,2,Duke,2019 Rnd 1 Pick 3,Canada,NBA 2021-2022 Players Information
Will Barton,GF,6-5,181,31,DEN,71,9,Memphis,2012 Rnd 2 Pick 10,United States,NBA 2021-2022 Players Information
Paris Bass,GF,6-7,187,26,PHX,2,0,Detroit-Mercy,"2017 NBA Draft, Undrafted",United States,NBA 2021-2022 Players Information
Charles Bassey,PF,6-10,230,21,PHI,23,0,Western Kentucky,2021 Rnd 2 Pick 23,NigeriaUnited States,NBA 2021-2022 Players Information
Keita Bates-Diop,SF,6-8,229,26,SAS,59,3,Ohio State,2018 Rnd 2 Pick 18,United States,NBA 2021-2022 Players Information
Nicolas Batum,F,6-8,230,33,LAC,59,13,Le Mans Sarthe Basket (France),2008 Rnd 1 Pick 25,France,NBA 2021-2022 Players Information
Kent Bazemore,GF,6-4,195,32,LAL,39,9,Old Dominion,"2012 NBA Draft, Undrafted",United States,NBA 2021-2022 Players Information
Darius Bazley,PF,6-9,216,21,OKC,69,2, ,2019 Rnd 1 Pick 23,United States,NBA 2021-2022 Players Information
Bradley Beal,SG,6-4,207,28,WAS,40,9,Florida,2012 Rnd 1 Pick 3,United States,NBA 2021-2022 Players Information
Malik Beasley,SG,6-4,187,25,MIN,79,5,Florida State,2016 Rnd 1 Pick 19,United States,NBA 2021-2022 Players Information
Jordan Bell,PF,6-7,216,27,CHI,1,4,Oregon,2017 Rnd 2 Pick 8,United States,NBA 2021-2022 Players Information
DeAndre' Bembry,GF,6-5,210,27,"BRK, MIL",56,5,Saint Joseph's,2016 Rnd 1 Pick 21,United States,NBA 2021-2022 Players Information
Davis Bertans,SF,6-10,225,29,"DAL, WAS",56,5,Union Olimpija (Slovenia),2011 Rnd 2 Pick 12,Latvia,NBA 2021-2022 Players Information
Patrick Beverley,PG,6-2,180,33,MIN,58,9,Dnipro Dnipropetrovsk (Ukraine),2009 Rnd 2 Pick 12,United States,NBA 2021-2022 Players Information
Saddiq Bey,F,6-7,215,22,DET,82,1,Villanova,2020 Rnd 1 Pick 19,United States,NBA 2021-2022 Players Information
Khem Birch,PF,6-8,233,29,TOR,55,4,UNLV,"2014 NBA Draft, Undrafted",Canada,NBA 2021-2022 Players Information
Goga Bitadze,C,6-10,250,22,IND,50,2,KK Mega Bemax (Serbia),2019 Rnd 1 Pick 18,Georgia,NBA 2021-2022 Players Information
Bismack Biyombo,PF,6-8,255,29,PHX,36,10,Urbas Fuenlabrada (Spain),2011 Rnd 1 Pick 7,Democratic Republic of the Congo,NBA 2021-2022 Players Information
Nemanja Bjelica,PF,6-10,235,33,GSW,71,6,KK Crvena Zvezda (Serbia),2010 Rnd 2 Pick 5,Serbia,NBA 2021-2022 Players Information
Eric Bledsoe,PG,6-1,214,32,LAC,54,11,Kentucky,2010 Rnd 1 Pick 18,United States,NBA 2021-2022 Players Information
Keljin Blevins,G,6-4,200,26,POR,31,1,Montana State,"2019 NBA Draft, Undrafted",United States,NBA 2021-2022 Players Information
Bogdan Bogdanovic,SG,6-5,225,29,ATL,63,4,KK Partizan (Serbia),2014 Rnd 1 Pick 27,Serbia,NBA 2021-2022 Players Information
Bojan Bogdanovic,F,6-7,226,32,UTA,69,7,KK Cibona (Croatia),2011 Rnd 2 Pick 1,Bosnia and HerzegovinaCroatia,NBA 2021-2022 Players Information
Bol Bol,C,7-3,220,22,DEN,14,2,Oregon,2019 Rnd 2 Pick 14,United States,NBA 2021-2022 Players Information
Leandro Bolmaro,SG,6-6,200,21,MIN,35,0,FC Barcelona II (Spain),2020 Rnd 1 Pick 23,Argentina,NBA 2021-2022 Players Information
Isaac Bonga,SG,6-8,180,22,TOR,15,3,Fraport Skyliners (Germany),2018 Rnd 2 Pick 9,Germany,NBA 2021-2022 Players Information
Devin Booker,SG,6-6,206,25,PHX,68,6,Kentucky,2015 Rnd 1 Pick 13,United States,NBA 2021-2022 Players Information
"B.J. Boston, Jr.",SG,6-6,188,20,LAC,51,0,Kentucky,2021 Rnd 2 Pick 21,United States,NBA 2021-2022 Players Information
Chris Boucher,PF,6-9,200,29,TOR,80,4,Oregon,"2017 NBA Draft, Undrafted",Saint LuciaCanada,NBA 2021-2022 Players Information
James Bouknight,G,6-4,190,21,CHA,31,0,UConn,2021 Rnd 1 Pick 11,United States,NBA 2021-2022 Players Information
Avery Bradley,PG,6-3,180,31,LAL,62,11,Texas,2010 Rnd 1 Pick 19,United States,NBA 2021-2022 Players Information
Tony Bradley,C,6-11,248,24,CHI,55,4,North Carolina,2017 Rnd 1 Pick 28,United States,NBA 2021-2022 Players Information
Ignas Brazdeikis,SF,6-7,221,23,ORL,42,2,Michigan,2019 Rnd 2 Pick 17,LithuaniaCanada,NBA 2021-2022 Players Information
Mikal Bridges,SG,6-6,209,25,PHX,82,3,Villanova,2018 Rnd 1 Pick 10,United States,NBA 2021-2022 Players Information
Miles Bridges,SF,6-7,225,23,CHA,80,3,Michigan State,2018 Rnd 1 Pick 12,United States,NBA 2021-2022 Players Information
Oshae Brissett,PF,6-7,210,23,IND,67,2,Syracuse,"2019 NBA Draft, Undrafted",Canada,NBA 2021-2022 Players Information
Malcolm Brogdon,SG,6-4,229,29,IND,36,5,Virginia,2016 Rnd 2 Pick 6,United States,NBA 2021-2022 Players Information
Armoni Brooks,SG,6-3,195,23,"HOU, TOR",54,1,Houston,"2019 NBA Draft, Undrafted",United States,NBA 2021-2022 Players Information
Dillon Brooks,F,6-6,225,26,MEM,32,4,Oregon,2017 Rnd 2 Pick 15,Canada,NBA 2021-2022 Players Information
Greg Brown III,SF,6-7,206,20,POR,48,0,Texas,2021 Rnd 2 Pick 13,United States,NBA 2021-2022 Players Information
Jaylen Brown,SF,6-6,223,25,BOS,66,5,California,2016 Rnd 1 Pick 3,United States,NBA 2021-2022 Players Information
"Bruce Brown, Jr.",SG,6-4,202,25,BRK,72,3,Miami (FL),2018 Rnd 2 Pick 12,United States,NBA 2021-2022 Players Information
"Charlie Brown, Jr.",SG,6-6,199,25,"DAL, PHL",22,2,Saint Joseph's,"2019 NBA Draft, Undrafted",United States,NBA 2021-2022 Players Information
"Chaundee Brown, Jr.",SF,6-6,215,23,"ATL, LAL",5,0,Michigan,"2021 NBA Draft, Undrafted",United States,NBA 2021-2022 Players Information
"Troy Brown, Jr.",SF,6-7,215,22,CHI,66,3,Oregon,2018 Rnd 1 Pick 15,United States,NBA 2021-2022 Players Information
Moses Brown,C,7-2,258,22,"CLE, DAL",40,2,UCLA,"2019 NBA Draft, Undrafted",United States,NBA 2021-2022 Players Information
Sterling Brown,G,6-5,219,27,DAL,49,4,Southern Methodist,2017 Rnd 2 Pick 16,United States,NBA 2021-2022 Players Information
Jalen Brunson,PG,6-2,190,25,DAL,79,3,Villanova,2018 Rnd 2 Pick 3,United States,NBA 2021-2022 Players Information
Thomas Bryant,C,6-10,248,24,WAS,27,4,Indiana,2017 Rnd 2 Pick 12,United States,NBA 2021-2022 Players Information
Shaq Buchanan,G,6-3,190,25,MEM,2,0,Murray State,"2019 NBA Draft, Undrafted",United States,NBA 2021-2022 Players Information
Reggie Bullock,SG,6-6,205,30,DAL,68,8,North Carolina,2013 Rnd 1 Pick 25,United States,NBA 2021-2022 Players Information
Trey Burke,G,6-0,185,29,DAL,42,8,Michigan,2013 Rnd 1 Pick 9,United States,NBA 2021-2022 Players Information
Alec Burks,SG,6-5,214,30,NYK,81,10,Colorado,2011 Rnd 1 Pick 12,United States,NBA 2021-2022 Players Information
Jared Butler,PG,6-3,193,21,UTA,42,0,Baylor,2021 Rnd 2 Pick 10,United States,NBA 2021-2022 Players Information
Jimmy Butler,GF,6-7,230,32,MIA,57,10,Marquette,2011 Rnd 1 Pick 30,United States,NBA 2021-2022 Players Information
Devontae Cacok,PF,6-7,240,25,SAS,15,2,UNC Wilmington,"2019 NBA Draft, Undrafted",United States,NBA 2021-2022 Players Information
Kentavious Caldwell-Pope,SG,6-5,204,29,WAS,77,8,Georgia,2013 Rnd 1 Pick 8,United States,NBA 2021-2022 Players Information
Facundo Campazzo,PG,5-11,165,30,DEN,65,1,Penarol (Argentina),"2013 NBA Draft, Undrafted",Argentina,NBA 2021-2022 Players Information
Vlatko Cancar,SF,6-8,236,24,DEN,15,2,KK Mega Bemax (Serbia),2017 Rnd 2 Pick 19,Slovenia,NBA 2021-2022 Players Information
Devin Cannady,PG,6-2,183,25,ORL,5,1,Princeton,"2019 NBA Draft, Undrafted",United States,NBA 2021-2022 Players Information
Clint Capela,PF,6-10,256,27,ATL,74,7,Chalon-Sur-Saone (France),2014 Rnd 1 Pick 25,Switzerland,NBA 2021-2022 Players Information
"Vernon Carey, Jr.",PF,6-9,270,21,"CHA, WAS",7,1,Duke,2020 Rnd 2 Pick 2,United States,NBA 2021-2022 Players Information
Jevon Carter,PG,6-1,200,26,"BRK, MIL",66,3,West Virginia,2018 Rnd 2 Pick 2,United States,NBA 2021-2022 Players Information
"Wendell Carter, Jr.",PF,6-10,270,22,ORL,62,3,Duke,2018 Rnd 1 Pick 7,United States,NBA 2021-2022 Players Information
Alex Caruso,G,6-5,186,28,CHI,41,4,Texas A&M,"2016 NBA Draft, Undrafted",United States,NBA 2021-2022 Players Information
Willie Cauley-Stein,C,7-0,240,28,"DAL, PHL",20,6,Kentucky,2015 Rnd 1 Pick 6,United States,NBA 2021-2022 Players Information
Ahmad Caver,PG,6-2,175,25,IND,1,0,Old Dominion,"2019 NBA Draft, Undrafted",United States,NBA 2021-2022 Players Information
Justin Champagnie,F,6-6,206,20,TOR,36,0,Pittsburgh,"2021 NBA Draft, Undrafted",United States,NBA 2021-2022 Players Information
Zylan Cheatham,SF,6-5,220,26,UTA,1,1,Arizona State,"2019 NBA Draft, Undrafted",United States,NBA 2021-2022 Players Information
Chris Chiozza,PG,5-11,179,26,GSW,34,3,Florida,"2018 NBA Draft, Undrafted",United States,NBA 2021-2022 Players Information
Marquese Chriss,PF,6-9,240,24,DAL,34,5,Washington,2016 Rnd 1 Pick 8,United States,NBA 2021-2022 Players Information
Josh Christopher,G,6-4,215,20,HOU,74,0,Arizona State,2021 Rnd 1 Pick 24,United States,NBA 2021-2022 Players Information
Gary Clark,SF,6-6,225,27,NOP,38,3,Cincinnati,"2018 NBA Draft, Undrafted",United States,NBA 2021-2022 Players Information
