Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Tariq Abdul-Wahad,SF,6-6,223,25,"DEN, ORL",61,2,San Jose State,1997 Rnd 1 Pick 11,France,NBA 1999-2000 Players Information
Shareef Abdur-Rahim,F,6-9,225,23,VAN,82,3,California,1996 Rnd 1 Pick 3,United States,NBA 1999-2000 Players Information
Cory Alexander,G,6-1,185,26,DEN,29,4,Virginia,1995 Rnd 1 Pick 29,United States,NBA 1999-2000 Players Information
Ray Allen,SG,6-5,205,24,MIL,82,3,UConn,1996 Rnd 1 Pick 5,United States,NBA 1999-2000 Players Information
Rafer Alston,G,6-2,175,23,MIL,27,0,Fresno State,1998 Rnd 2 Pick 10,United States,NBA 1999-2000 Players Information
John Amaechi,C,6-10,270,29,ORL,80,1,Penn State,"1995 NBA Draft, Undrafted",United States,NBA 1999-2000 Players Information
Derek Anderson,G,6-5,194,25,LAC,64,2,Kentucky,1997 Rnd 1 Pick 13,United States,NBA 1999-2000 Players Information
Kenny Anderson,PG,6-0,168,29,BOS,82,8,Georgia Tech,1991 Rnd 1 Pick 2,United States,NBA 1999-2000 Players Information
Nick Anderson,GF,6-6,228,32,SAC,72,10,Illinois,1989 Rnd 1 Pick 11,United States,NBA 1999-2000 Players Information
Shandon Anderson,GF,6-6,208,26,HOU,82,3,Georgia,1996 Rnd 2 Pick 25,United States,NBA 1999-2000 Players Information
Chris Anstey,C,7-0,253,25,CHI,73,2,South East Melbourne (Australia),1997 Rnd 1 Pick 18,Australia,NBA 1999-2000 Players Information
Greg Anthony,PG,6-0,176,32,POR,82,8,UNLV,1991 Rnd 1 Pick 12,United States,NBA 1999-2000 Players Information
B.J. Armstrong,G,6-2,175,32,CHI,27,10,Iowa,1989 Rnd 1 Pick 18,United States,NBA 1999-2000 Players Information
Darrell Armstrong,PG,6-0,170,31,ORL,82,5,Fayetteville State,"1991 NBA Draft, Undrafted",United States,NBA 1999-2000 Players Information
Chucky Atkins,G,5-11,185,25,ORL,82,1,South Florida,"1996 NBA Draft, Undrafted",United States,NBA 1999-2000 Players Information
Stacey Augmon,SF,6-6,205,31,POR,59,8,UNLV,1991 Rnd 1 Pick 9,United States,NBA 1999-2000 Players Information
Ike Austin,C,6-10,255,30,WAS,59,6,Arizona State,1991 Rnd 2 Pick 21,United States,NBA 1999-2000 Players Information
Anthony Avent,F,6-9,235,30,LAC,49,6,Seton Hall,1991 Rnd 1 Pick 15,United States,NBA 1999-2000 Players Information
William Avery,PG,6-2,197,20,MIN,59,0,Duke,1999 Rnd 1 Pick 14,United States,NBA 1999-2000 Players Information
Toby Bailey,G,6-6,213,24,PHX,46,1,UCLA,1998 Rnd 2 Pick 16,United States,NBA 1999-2000 Players Information
Vin Baker,PF,6-11,240,28,SEA,79,6,Hartford,1993 Rnd 1 Pick 8,United States,NBA 1999-2000 Players Information
Charles Barkley,PF,6-6,252,37,HOU,20,15,Auburn,1984 Rnd 1 Pick 5,United States,NBA 1999-2000 Players Information
Dana Barros,PG,5-11,165,32,BOS,72,10,Boston College,1989 Rnd 1 Pick 16,United States,NBA 1999-2000 Players Information
Brent Barry,G,6-7,210,28,SEA,80,4,Oregon State,1995 Rnd 1 Pick 15,United States,NBA 1999-2000 Players Information
Drew Barry,G,6-5,191,27,"ATL, GOS",16,3,Georgia Tech,1996 Rnd 2 Pick 28,United States,NBA 1999-2000 Players Information
Jon Barry,SG,6-4,195,30,SAC,62,7,Georgia Tech,1992 Rnd 1 Pick 21,United States,NBA 1999-2000 Players Information
Tony Battie,PF,6-11,230,24,BOS,82,2,Texas Tech,1997 Rnd 1 Pick 5,United States,NBA 1999-2000 Players Information
Jonathan Bender,F,6-11,202,19,IND,24,0,Picayune High School (Mississippi),1999 Rnd 1 Pick 5,United States,NBA 1999-2000 Players Information
Benoit Benjamin,C,7-0,250,35,CLE,3,14,Creighton,1985 Rnd 1 Pick 3,United States,NBA 1999-2000 Players Information
Corey Benjamin,SG,6-6,200,22,CHI,48,1,Oregon State,1998 Rnd 1 Pick 28,United States,NBA 1999-2000 Players Information
Mario Bennett,C-F,6-6,235,26,LAC,1,3,Arizona State,1995 Rnd 1 Pick 27,United States,NBA 1999-2000 Players Information
Travis Best,PG,5-11,182,27,IND,82,4,Georgia Tech,1995 Rnd 1 Pick 23,United States,NBA 1999-2000 Players Information
Mike Bibby,G,6-2,195,21,VAN,82,1,Arizona,1998 Rnd 1 Pick 2,United States,NBA 1999-2000 Players Information
Chauncey Billups,G,6-3,210,23,DEN,13,2,Colorado,1997 Rnd 1 Pick 3,United States,NBA 1999-2000 Players Information
Mookie Blaylock,PG,6-1,190,32,GSW,73,10,Oklahoma,1989 Rnd 1 Pick 12,United States,NBA 1999-2000 Players Information
Corie Blount,PF,6-9,240,31,PHX,38,6,Cincinnati,1993 Rnd 1 Pick 25,United States,NBA 1999-2000 Players Information
Muggsy Bogues,PG,5-3,136,35,TOR,80,12,Wake Forest,1987 Rnd 1 Pick 12,United States,NBA 1999-2000 Players Information
Etdrick Bohannon,F,6-9,220,26,"LAC, NYK",13,2,Auburn-Montgomery,"1997 NBA Draft, Undrafted",United States,NBA 1999-2000 Players Information
Calvin Booth,C,6-11,230,23,WAS,11,0,Penn State,1999 Rnd 2 Pick 6,United States,NBA 1999-2000 Players Information
Lazaro Borrell,F,6-8,220,27,SEA,17,0,Lobos de Villa Clara (Cuba),"1994 NBA Draft, Undrafted",United StatesCuba,NBA 1999-2000 Players Information
Cal Bowdler,PF,6-10,245,22,ATL,46,0,Old Dominion,1999 Rnd 1 Pick 17,United States,NBA 1999-2000 Players Information
Bruce Bowen,F,6-7,200,28,"MIA, PHL",69,4,Cal State Fullerton,"1993 NBA Draft, Undrafted",United States,NBA 1999-2000 Players Information
Ryan Bowen,F,6-9,218,24,DEN,52,0,Iowa,1998 Rnd 2 Pick 26,United States,NBA 1999-2000 Players Information
Ira Bowman,SG,6-5,195,26,PHI,11,1,Pennsylvania,"1996 NBA Draft, Undrafted",United States,NBA 1999-2000 Players Information
Earl Boykins,G,5-5,135,23,"CLE, ORL",26,1,Eastern Michigan,"1998 NBA Draft, Undrafted",United States,NBA 1999-2000 Players Information
Shawn Bradley,C,7-6,235,27,DAL,77,6,Brigham Young,1993 Rnd 1 Pick 2,United StatesGermany,NBA 1999-2000 Players Information
A.J. Bramlett,F,6-10,227,23,CLE,8,0,Arizona,1999 Rnd 2 Pick 10,United States,NBA 1999-2000 Players Information
Elton Brand,PF,6-9,254,20,CHI,81,0,Duke,1999 Rnd 1 Pick 1,United States,NBA 1999-2000 Players Information
Terrell Brandon,PG,5-11,180,29,MIN,71,8,Oregon,1991 Rnd 1 Pick 11,United States,NBA 1999-2000 Players Information
