Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Tom Meschery,F,6-6,215,26,GSW,79,3,Saint Mary's,1961 Rnd 1 Pick 7,China,NBA 1964-1965 Players Information
Eddie Miles,SG,6-4,195,24,DET,75,1,Seattle,1963 Rnd 1 Pick 4,United States,NBA 1964-1965 Players Information
Jackie Moreland,F,6-7,215,26,DET,53,4,LSU,1960 Rnd 1 Pick 4,United States,NBA 1964-1965 Players Information
Jeff Mullins,GF,6-4,190,22,STH,42,0,Duke,1964 Rnd 1 Pick 5,United States,NBA 1964-1965 Players Information
Cotton Nash,F,6-5,220,22,"GOS, LAL",40,0,Kentucky,1964 Rnd 2 Pick 5,United States,NBA 1964-1965 Players Information
Willie Naulls,F,6-6,225,30,BOS,72,8,UCLA,1956 Rnd 2 Pick 2,United States,NBA 1964-1965 Players Information
Don Nelson,F,6-6,210,24,LAL,33,2,Iowa,1962 Rnd 3 Pick 1,United States,NBA 1964-1965 Players Information
Paul Neumann,PG,6-1,170,27,"GOS, PHL",76,3,Stanford,1959 Rnd 4 Pick 5,United States,NBA 1964-1965 Players Information
Bevo Nordmann,C,6-10,230,25,BOS,3,3,Saint Louis,1961 Rnd 3 Pick 2,United States,NBA 1964-1965 Players Information
Don Ohl,SG,6-3,190,28,WAS,77,4,Illinois,1958 Rnd 5 Pick 5,United States,NBA 1964-1965 Players Information
Bud Olsen,PF,6-8,220,24,CIN,79,2,Louisville,1962 Rnd 2 Pick 6,United States,NBA 1964-1965 Players Information
Bob Pettit,FC,6-9,205,32,STH,50,10,LSU,1954 Rnd 1 Pick 2,United States,NBA 1964-1965 Players Information
Gary Phillips,G,6-3,189,25,GSW,73,3,Houston,1961 Rnd 1 Pick 9,United States,NBA 1964-1965 Players Information
Hub Reed,C,6-9,215,28,DET,60,6,Oklahoma City,1958 Rnd 2 Pick 7,United States,NBA 1964-1965 Players Information
