Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Rich Yonakor,SAS,2,4.0,2,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,1,NBA 1981-1982 Playoffs Players Statistic
Garry Witts,WAS,4,28.0,5,2,2,1.0,0,0,0.0,1,2,0.5,2,1,3,2,1,0,0,6,NBA 1981-1982 Playoffs Players Statistic
Brian Winters,MIL,6,232.0,101,38,77,0.494,5,10,0.5,20,24,0.833,4,11,15,28,8,1,22,23,NBA 1981-1982 Playoffs Players Statistic
Bill Willoughby,HOU,2,17.0,4,1,2,0.5,0,0,0.0,2,2,1.0,2,4,6,1,0,0,1,1,NBA 1981-1982 Playoffs Players Statistic
Ray Williams,NJN,2,77.0,34,14,47,0.298,2,5,0.4,4,5,0.8,8,4,12,14,4,0,6,10,NBA 1981-1982 Playoffs Players Statistic
Gus Williams,SEA,8,315.0,210,82,186,0.441,2,6,0.333,44,56,0.786,12,14,26,65,13,5,18,13,NBA 1981-1982 Playoffs Players Statistic
Freeman Williams,ATL,1,4.0,0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,NBA 1981-1982 Playoffs Players Statistic
Buck Williams,NJN,2,79.0,35,14,26,0.538,0,0,0.0,7,15,0.467,11,10,21,3,1,2,4,7,NBA 1981-1982 Playoffs Players Statistic
Jamaal Wilkes,LAL,14,535.0,280,121,241,0.502,0,1,0.0,38,49,0.776,40,30,70,37,16,3,40,43,NBA 1981-1982 Playoffs Players Statistic
Wally Walker,SEA,8,157.0,39,19,45,0.422,0,0,0.0,1,4,0.25,12,20,32,15,4,4,7,26,NBA 1981-1982 Playoffs Players Statistic
Danny Vranes,SEA,6,29.0,3,1,5,0.2,0,0,0.0,1,2,0.5,1,1,2,0,1,0,2,2,NBA 1981-1982 Playoffs Players Statistic
Kiki Vandeweghe,DEN,3,109.0,68,25,43,0.581,0,0,0.0,18,18,1.0,4,14,18,9,2,4,6,7,NBA 1981-1982 Playoffs Players Statistic
Jan Van Breda Kolff,NJN,2,16.0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,0,2,1,1,0,NBA 1981-1982 Playoffs Players Statistic
Andrew Toney,PHI,21,707.0,457,185,365,0.507,5,15,0.333,82,103,0.796,20,31,51,102,18,2,67,86,NBA 1981-1982 Playoffs Players Statistic
Ray Tolbert,SEA,4,31.0,10,3,5,0.6,0,0,0.0,4,8,0.5,1,4,5,1,4,0,0,7,NBA 1981-1982 Playoffs Players Statistic
David Thompson,DEN,3,66.0,35,15,33,0.455,1,3,0.333,4,7,0.571,4,6,10,6,1,0,8,8,NBA 1981-1982 Playoffs Players Statistic
Carlos Terry,WAS,3,5.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,NBA 1981-1982 Playoffs Players Statistic
Larry Spriggs,HOU,2,9.0,6,3,4,0.75,0,0,0.0,0,1,0.0,0,1,1,2,0,0,0,3,NBA 1981-1982 Playoffs Players Statistic
Rory Sparrow,ATL,2,69.0,14,5,12,0.417,0,1,0.0,4,4,1.0,2,6,8,11,2,0,7,7,NBA 1981-1982 Playoffs Players Statistic
Robert Smith,MIL,6,68.0,29,10,26,0.385,2,7,0.286,7,8,0.875,1,6,7,12,1,0,1,8,NBA 1981-1982 Playoffs Players Statistic
Phil Smith,SEA,8,92.0,25,12,30,0.4,0,1,0.0,1,3,0.333,3,5,8,7,5,1,4,11,NBA 1981-1982 Playoffs Players Statistic
Jack Sikma,SEA,8,315.0,164,57,128,0.445,0,0,0.0,50,58,0.862,21,76,97,24,9,8,16,34,NBA 1981-1982 Playoffs Players Statistic
Ed Sherod,NJN,2,8.0,0,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,1,1,0,0,1,NBA 1981-1982 Playoffs Players Statistic
Lonnie Shelton,SEA,8,266.0,102,40,85,0.471,0,0,0.0,22,32,0.688,24,35,59,16,5,7,20,38,NBA 1981-1982 Playoffs Players Statistic
Alvin Scott,PHX,7,127.0,32,14,32,0.438,0,4,0.0,4,8,0.5,8,8,16,14,8,13,5,12,NBA 1981-1982 Playoffs Players Statistic
Jeff Ruland,WAS,7,237.0,119,38,79,0.481,0,1,0.0,43,56,0.768,29,37,66,5,3,4,23,24,NBA 1981-1982 Playoffs Players Statistic
Dan Roundfield,ATL,2,85.0,42,17,36,0.472,0,0,0.0,8,14,0.571,6,16,22,2,2,4,6,8,NBA 1981-1982 Playoffs Players Statistic
Tree Rollins,ATL,2,65.0,7,2,6,0.333,0,0,0.0,3,4,0.75,5,3,8,2,0,6,5,8,NBA 1981-1982 Playoffs Players Statistic
Truck Robinson,PHX,7,213.0,93,45,80,0.563,0,0,0.0,3,10,0.3,14,39,53,19,5,1,10,17,NBA 1981-1982 Playoffs Players Statistic
Rick Robey,BOS,12,122.0,55,21,40,0.525,0,0,0.0,13,17,0.765,13,16,29,4,2,3,11,27,NBA 1981-1982 Playoffs Players Statistic
