Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Lorenzen Wright,ATL,67,1035.4,173.0,82,183.0,0.448,0,0,0.0,9,32,0.281,85,131,216.0,40,28,28,39,204,NBA 2006-2007 Regular_Season Players Statistic
Dorell Wright,MIA,66,1292.4,393.0,162,364.0,0.445,5,34,0.147,64,86,0.744,40,232,272.0,95,41,46,65,112,NBA 2006-2007 Regular_Season Players Statistic
Bracey Wright,MIN,19,190.1,67.0,24,60.0,0.4,6,20,0.3,13,18,0.722,7,14,21.0,15,9,1,6,6,NBA 2006-2007 Regular_Season Players Statistic
Antoine Wright,NJN,63,1137.4,283.0,110,251.0,0.438,19,59,0.322,44,73,0.603,38,137,175.0,55,30,10,43,120,NBA 2006-2007 Regular_Season Players Statistic
Metta World Peace,SAC,70,2641.0,1.316,458,1.04,0.44,93,260,0.358,307,415,0.74,102,352,454.0,235,149,43,146,205,NBA 2006-2007 Regular_Season Players Statistic
Kevin Willis,DAL,5,42.6,12.0,5,13.0,0.385,0,0,0.0,2,2,1.0,2,6,8.0,1,2,1,2,11,NBA 2006-2007 Regular_Season Players Statistic
Corliss Williamson,SAC,68,1337.3,620.0,236,463.0,0.51,0,2,0.0,148,207,0.715,63,158,221.0,39,29,15,97,183,NBA 2006-2007 Regular_Season Players Statistic
Shelden Williams,ATL,81,1513.5,444.0,166,365.0,0.455,2,4,0.5,110,144,0.764,131,304,435.0,44,52,39,96,199,NBA 2006-2007 Regular_Season Players Statistic
Shawne Williams,IND,46,556.3,180.0,75,160.0,0.469,19,52,0.365,11,20,0.55,33,50,83.0,22,6,8,24,69,NBA 2006-2007 Regular_Season Players Statistic
Shammond Williams,LAL,30,345.0,94.0,35,86.0,0.407,20,50,0.4,4,6,0.667,11,29,40.0,31,12,0,13,20,NBA 2006-2007 Regular_Season Players Statistic
Mo Williams,MIL,68,2471.4,1.174,468,1.049,0.446,79,228,0.346,159,186,0.855,54,275,329.0,416,85,6,203,201,NBA 2006-2007 Regular_Season Players Statistic
Marvin Williams,ATL,64,2177.0,839.0,306,706.0,0.433,11,45,0.244,216,265,0.815,84,253,337.0,121,52,30,127,191,NBA 2006-2007 Regular_Season Players Statistic
Marcus D. Williams,NJN,79,1314.5,534.0,208,526.0,0.395,46,163,0.282,72,85,0.847,29,134,163.0,260,29,2,142,96,NBA 2006-2007 Regular_Season Players Statistic
Lou Williams,PHI,61,688.5,262.0,93,211.0,0.441,12,37,0.324,64,92,0.696,17,53,70.0,110,22,1,46,42,NBA 2006-2007 Regular_Season Players Statistic
Justin Williams,SAC,26,333.3,131.0,54,88.0,0.614,0,1,0.0,23,63,0.365,51,64,115.0,2,5,16,15,51,NBA 2006-2007 Regular_Season Players Statistic
Jason Williams,MIA,61,1865.1,664.0,235,569.0,0.413,100,295,0.339,94,103,0.913,18,123,141.0,322,58,1,100,68,NBA 2006-2007 Regular_Season Players Statistic
Eric Williams,CHA,21,121.2,54.0,19,47.0,0.404,8,19,0.421,8,14,0.571,3,14,17.0,7,3,0,7,12,NBA 2006-2007 Regular_Season Players Statistic
