Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Rodney Buford,NJN,3,4.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,NBA 2004-2005 Playoffs Players Statistic
Greg Buckner,DEN,5,100.0,10,4,18,0.222,2,9,0.222,0,0,0.0,1,15,16,5,2,1,3,14,NBA 2004-2005 Playoffs Players Statistic
Kwame Brown,WAS,3,61.0,15,5,13,0.385,0,0,0.0,5,9,0.556,4,11,15,3,0,2,2,5,NBA 2004-2005 Playoffs Players Statistic
Devin Brown,SAS,12,60.0,21,7,20,0.35,3,7,0.429,4,7,0.571,1,6,7,3,1,0,1,3,NBA 2004-2005 Playoffs Players Statistic
Shawn Bradley,DAL,7,27.0,9,4,6,0.667,0,0,0.0,1,2,0.5,4,2,6,0,0,2,0,7,NBA 2004-2005 Playoffs Players Statistic
Earl Boykins,DEN,5,152.0,71,27,68,0.397,0,7,0.0,17,19,0.895,2,3,5,19,4,1,9,13,NBA 2004-2005 Playoffs Players Statistic
Ryan Bowen,HOU,7,125.0,18,8,25,0.32,0,0,0.0,2,3,0.667,7,7,14,6,6,0,6,23,NBA 2004-2005 Playoffs Players Statistic
Bruce Bowen,SAS,23,814.0,132,46,128,0.359,29,67,0.433,11,17,0.647,9,57,66,36,11,13,15,77,NBA 2004-2005 Playoffs Players Statistic
Mark Blount,BOS,4,43.0,8,4,14,0.286,0,0,0.0,0,2,0.0,3,3,6,1,0,0,5,6,NBA 2004-2005 Playoffs Players Statistic
Steve Blake,WAS,4,17.0,2,1,4,0.25,0,1,0.0,0,0,0.0,0,3,3,2,0,0,1,3,NBA 2004-2005 Playoffs Players Statistic
Chauncey Billups,DET,25,985.0,467,145,339,0.428,44,126,0.349,133,149,0.893,23,85,108,162,25,5,49,71,NBA 2004-2005 Playoffs Players Statistic
Mike Bibby,SAC,5,200.0,98,36,92,0.391,5,23,0.217,21,27,0.778,5,17,22,33,7,2,13,11,NBA 2004-2005 Playoffs Players Statistic
Travis Best,NJN,4,82.0,27,9,22,0.409,1,9,0.111,8,9,0.889,2,4,6,9,1,0,3,9,NBA 2004-2005 Playoffs Players Statistic
Shane Battier,MEM,4,119.0,29,13,31,0.419,1,7,0.143,2,5,0.4,10,17,27,6,2,4,4,14,NBA 2004-2005 Playoffs Players Statistic
Jon Barry,HOU,7,183.0,60,21,48,0.438,11,23,0.478,7,8,0.875,1,28,29,9,5,0,6,13,NBA 2004-2005 Playoffs Players Statistic
Brent Barry,SAS,23,554.0,141,48,105,0.457,28,66,0.424,17,21,0.81,13,43,56,44,15,4,27,44,NBA 2004-2005 Playoffs Players Statistic
Leandro Barbosa,PHX,12,116.0,30,12,35,0.343,4,10,0.4,2,4,0.5,5,12,17,12,3,0,5,8,NBA 2004-2005 Playoffs Players Statistic
Marcus Banks,BOS,7,106.0,32,13,29,0.448,3,6,0.5,3,6,0.5,1,10,11,7,4,0,6,16,NBA 2004-2005 Playoffs Players Statistic
Carlos Arroyo,DET,19,150.0,40,16,45,0.356,0,1,0.0,8,12,0.667,1,9,10,39,4,2,10,19,NBA 2004-2005 Playoffs Players Statistic
Darrell Armstrong,DAL,9,66.0,18,8,16,0.5,2,8,0.25,0,0,0.0,3,1,4,9,3,2,2,9,NBA 2004-2005 Playoffs Players Statistic
Gilbert Arenas,WAS,10,450.0,236,73,194,0.376,18,77,0.234,72,94,0.766,8,44,52,62,21,6,39,34,NBA 2004-2005 Playoffs Players Statistic
Carmelo Anthony,DEN,5,180.0,96,35,83,0.422,0,1,0.0,26,32,0.813,14,13,27,10,3,1,13,20,NBA 2004-2005 Playoffs Players Statistic
Shandon Anderson,MIA,8,97.0,8,3,12,0.25,0,1,0.0,2,2,1.0,3,16,19,8,5,0,6,10,NBA 2004-2005 Playoffs Players Statistic
Tony Allen,BOS,7,90.0,19,8,18,0.444,0,0,0.0,3,7,0.429,4,8,12,2,3,2,5,17,NBA 2004-2005 Playoffs Players Statistic
Ray Allen,SEA,11,436.0,291,102,215,0.474,31,82,0.378,56,63,0.889,12,35,47,43,14,4,34,22,NBA 2004-2005 Playoffs Players Statistic
