Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Mark Pope,MIL,63,942.0,151,62,142,0.437,5,24,0.208,22,35,0.629,56,91,147,38,16,26,17,140,NBA 2000-2001 Regular_Season Players Statistic
Olden Polynice,UTA,81,"1,619.0",429,206,415,0.496,0,1,0.0,17,65,0.262,157,221,378,31,27,77,78,241,NBA 2000-2001 Regular_Season Players Statistic
Scot Pollard,SAC,77,"1,658.0",498,185,395,0.468,0,2,0.0,128,171,0.749,173,292,465,47,48,97,66,206,NBA 2000-2001 Regular_Season Players Statistic
Scottie Pippen,POR,64,"2,133.0",721,269,596,0.451,64,186,0.344,119,161,0.739,70,263,333,294,94,35,154,158,NBA 2000-2001 Regular_Season Players Statistic
Paul Pierce,BOS,82,"3,120.0","2,071",687,"1,513",0.454,147,384,0.383,550,738,0.745,94,428,522,253,138,69,262,251,NBA 2000-2001 Regular_Season Players Statistic
Eric Piatkowski,LAC,81,"2,146.0",860,291,672,0.433,120,297,0.404,158,181,0.873,54,187,241,96,46,19,76,123,NBA 2000-2001 Regular_Season Players Statistic
Morris Peterson,TOR,80,"1,809.0",747,290,673,0.431,63,165,0.382,104,145,0.717,112,147,259,105,63,20,78,164,NBA 2000-2001 Regular_Season Players Statistic
Wesley Person,CLE,44,958.0,314,128,292,0.438,34,84,0.405,24,30,0.8,11,119,130,64,27,11,40,62,NBA 2000-2001 Regular_Season Players Statistic
Elliot Perry,PHX,49,499.0,147,65,140,0.464,1,5,0.2,16,22,0.727,9,37,46,79,22,1,38,29,NBA 2000-2001 Regular_Season Players Statistic
Sam Perkins,IND,64,"1,001.0",242,86,226,0.381,38,110,0.345,32,38,0.842,32,136,168,41,33,18,19,61,NBA 2000-2001 Regular_Season Players Statistic
Will Perdue,POR,13,58.0,14,6,9,0.667,0,0,0.0,2,4,0.5,6,12,18,2,3,2,0,8,NBA 2000-2001 Regular_Season Players Statistic
Mike Penberthy,LAL,53,851.0,267,92,222,0.414,55,139,0.396,28,31,0.903,10,53,63,71,22,2,34,57,NBA 2000-2001 Regular_Season Players Statistic
Anthony Peeler,MIN,75,"2,126.0",791,308,732,0.421,100,256,0.391,75,87,0.862,44,148,192,192,91,18,105,166,NBA 2000-2001 Regular_Season Players Statistic
Gary Payton,SEA,79,"3,244.0","1,823",725,"1,591",0.456,102,272,0.375,271,354,0.766,73,288,361,642,127,26,209,184,NBA 2000-2001 Regular_Season Players Statistic
Ruben Patterson,SEA,76,"2,059.0",988,370,749,0.494,2,36,0.056,246,361,0.681,183,199,382,161,103,45,155,176,NBA 2000-2001 Regular_Season Players Statistic
Cherokee Parks,LAC,65,"1,054.0",299,134,274,0.489,0,6,0.0,31,44,0.705,71,158,229,46,25,36,41,122,NBA 2000-2001 Regular_Season Players Statistic
Andy Panko,ATL,1,1.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,NBA 2000-2001 Regular_Season Players Statistic
Milt Palacio,BOS,58,"1,141.0",342,126,267,0.472,12,36,0.333,78,92,0.848,25,77,102,151,48,0,80,83,NBA 2000-2001 Regular_Season Players Statistic
Scott Padgett,UTA,27,127.0,56,18,43,0.419,5,9,0.556,15,20,0.75,19,20,39,5,6,3,10,21,NBA 2000-2001 Regular_Season Players Statistic
