Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Mike Dunleavy,CHI,6,147.3,58,17,40,0.425,11,25,0.44,13,14,0.929,2,24,26,2,4,1,5,19,NBA 2014-2015 Preseason Players Statistic
Tim Duncan,SAS,5,128.0,65,25,43,0.581,0,0,0.0,15,19,0.789,10,30,40,9,2,5,18,11,NBA 2014-2015 Preseason Players Statistic
Jared Dudley,MIL,6,126.0,58,18,31,0.581,13,19,0.684,9,11,0.818,2,11,13,7,1,0,8,10,NBA 2014-2015 Preseason Players Statistic
Andre Drummond,DET,7,215.9,104,44,83,0.53,0,2,0.0,16,43,0.372,25,52,77,6,7,15,18,30,NBA 2014-2015 Preseason Players Statistic
Zoran Dragic,PHX,2,9.7,3,1,5,0.2,1,3,0.333,0,0,0.0,0,1,1,0,0,0,0,0,NBA 2014-2015 Preseason Players Statistic
Goran Dragic,PHX,7,164.9,87,38,72,0.528,5,18,0.278,6,13,0.462,2,8,10,19,9,0,11,14,NBA 2014-2015 Preseason Players Statistic
Chris Douglas-Roberts,LAC,6,130.6,27,8,22,0.364,2,11,0.182,9,11,0.818,1,7,8,6,6,0,10,8,NBA 2014-2015 Preseason Players Statistic
Joey Dorsey,HOU,5,63.8,11,5,12,0.417,0,0,0.0,1,7,0.143,6,14,20,2,2,5,8,10,NBA 2014-2015 Preseason Players Statistic
Spencer Dinwiddie,DET,1,15.6,8,2,4,0.5,2,3,0.667,2,2,1.0,0,0,0,6,0,0,2,2,NBA 2014-2015 Preseason Players Statistic
Gorgui Dieng,MIN,7,186.2,69,24,46,0.522,0,1,0.0,21,29,0.724,14,31,45,8,4,11,10,22,NBA 2014-2015 Preseason Players Statistic
Boris Diaw,SAS,7,147.3,43,17,31,0.548,3,10,0.3,6,10,0.6,2,16,18,17,4,2,11,17,NBA 2014-2015 Preseason Players Statistic
