Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Brian Zoubek,NJN,5,96.2,17,6,12,0.5,0,0,0.0,5,8,0.625,10,20,30,6,1,3,6,19,NBA 2010-2011 Summer_League Players Statistic
Sam Young,MEM,5,137.7,97,33,61,0.541,5,13,0.385,26,36,0.722,6,13,19,7,6,4,13,10,NBA 2010-2011 Summer_League Players Statistic
Nick Young,WAS,1,27.8,18,6,11,0.545,4,7,0.571,2,2,1.0,0,1,1,0,2,1,2,2,NBA 2010-2011 Summer_League Players Statistic
Brandan Wright,GSW,2,46.2,31,9,21,0.429,0,0,0.0,13,19,0.684,2,6,8,0,0,3,7,6,NBA 2010-2011 Summer_League Players Statistic
Ben Woodside,GSW,4,60.7,21,4,12,0.333,3,6,0.5,10,13,0.769,0,3,3,3,2,0,5,4,NBA 2010-2011 Summer_League Players Statistic
DaShaun Wood,LAC,1,9.1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,2,NBA 2010-2011 Summer_League Players Statistic
Terrence Williams,NJN,5,143.4,94,35,79,0.443,4,8,0.5,20,31,0.645,4,11,15,25,5,0,21,10,NBA 2010-2011 Summer_League Players Statistic
Shawne Williams,CHA,4,63.7,22,9,21,0.429,2,5,0.4,2,2,1.0,3,2,5,0,2,3,4,13,NBA 2010-2011 Summer_League Players Statistic
Sean Williams,MIL,5,75.6,36,13,24,0.542,0,0,0.0,10,14,0.714,12,10,22,0,1,2,13,21,NBA 2010-2011 Summer_League Players Statistic
Reggie Williams,GSW,5,156.5,113,37,90,0.411,11,26,0.423,28,34,0.824,4,18,22,14,2,1,8,12,NBA 2010-2011 Summer_League Players Statistic
Marcus E. Williams,IND,5,123.0,32,10,31,0.323,3,9,0.333,9,11,0.818,3,16,19,4,1,2,7,12,NBA 2010-2011 Summer_League Players Statistic
