Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Ivica Zubac,LAC,3,59.6,14,6,18,0.333,0,0,0.0,2,4,0.5,10,13,23,4,1,2,2,5,NBA 2020-2021 Preseason Players Statistic
Cody Zeller,CHA,4,73.8,40,12,23,0.522,3,5,0.6,13,14,0.929,6,12,18,4,1,1,3,10,NBA 2020-2021 Preseason Players Statistic
Trae Young,ATL,4,102.8,55,16,49,0.327,6,23,0.261,17,21,0.81,2,12,14,21,7,2,19,14,NBA 2020-2021 Preseason Players Statistic
Delon Wright,DET,4,67.7,28,10,17,0.588,4,6,0.667,4,4,1.0,1,10,11,7,6,0,0,2,NBA 2020-2021 Preseason Players Statistic
Kenny Wooten,HOU,2,16.4,3,1,4,0.25,1,3,0.333,0,0,0.0,1,2,3,1,0,1,1,1,NBA 2020-2021 Preseason Players Statistic
Robert Woodard II,SAC,3,27.0,6,2,6,0.333,0,2,0.0,2,2,1.0,3,6,9,0,1,1,0,2,NBA 2020-2021 Preseason Players Statistic
Christian Wood,HOU,1,23.9,27,10,18,0.556,2,6,0.333,5,5,1.0,0,10,10,2,1,1,0,1,NBA 2020-2021 Preseason Players Statistic
Cassius Winston,WAS,3,30.3,10,4,12,0.333,1,6,0.167,1,2,0.5,0,3,3,6,1,0,5,4,NBA 2020-2021 Preseason Players Statistic
Dylan Windler,CLE,4,80.1,28,9,21,0.429,3,12,0.25,7,10,0.7,2,11,13,6,1,0,8,9,NBA 2020-2021 Preseason Players Statistic
D.J. Wilson,MIL,3,40.9,22,9,18,0.5,3,9,0.333,1,1,1.0,4,9,13,5,0,1,0,5,NBA 2020-2021 Preseason Players Statistic
Zion Williamson,NOP,2,67.1,57,20,35,0.571,0,3,0.0,17,22,0.773,6,14,20,4,1,1,7,3,NBA 2020-2021 Preseason Players Statistic
Nigel Williams-Goss,UTA,2,18.2,17,3,4,0.75,2,2,1.0,9,9,1.0,0,2,2,1,2,0,3,1,NBA 2020-2021 Preseason Players Statistic
Robert Williams,BOS,2,37.6,16,8,10,0.8,0,0,0.0,0,2,0.0,4,6,10,1,1,4,5,9,NBA 2020-2021 Preseason Players Statistic
Patrick Williams,CHI,4,108.5,45,18,37,0.486,3,7,0.429,6,11,0.545,5,11,16,2,3,2,12,11,NBA 2020-2021 Preseason Players Statistic
Lou Williams,LAC,3,25.1,31,12,15,0.8,3,3,1.0,4,4,1.0,0,2,2,2,0,0,5,2,NBA 2020-2021 Preseason Players Statistic
Kenrich Williams,OKC,3,50.2,8,2,11,0.182,1,4,0.25,3,4,0.75,3,6,9,8,3,0,7,5,NBA 2020-2021 Preseason Players Statistic
Grant Williams,BOS,2,39.6,5,2,10,0.2,1,6,0.167,0,0,0.0,4,6,10,3,0,1,3,6,NBA 2020-2021 Preseason Players Statistic
Andrew Wiggins,GSW,3,75.8,39,14,35,0.4,6,18,0.333,5,8,0.625,2,3,5,8,3,6,7,12,NBA 2020-2021 Preseason Players Statistic
Kahlil Whitney,CHA,1,1.8,2,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,NBA 2020-2021 Preseason Players Statistic
Hassan Whiteside,SAC,2,34.0,23,9,15,0.6,0,0,0.0,5,10,0.5,4,14,18,1,1,6,6,6,NBA 2020-2021 Preseason Players Statistic
Coby White,CHI,4,113.1,66,24,53,0.453,12,25,0.48,6,7,0.857,1,17,18,17,1,1,12,12,NBA 2020-2021 Preseason Players Statistic
Russell Westbrook,WAS,1,17.4,8,4,10,0.4,0,3,0.0,0,0,0.0,2,5,7,3,0,0,1,1,NBA 2020-2021 Preseason Players Statistic
Kaleb Wesson,GSW,3,18.3,5,2,3,0.667,0,1,0.0,1,2,0.5,2,4,6,0,1,0,1,6,NBA 2020-2021 Preseason Players Statistic
Paul Watson,TOR,3,29.0,11,4,11,0.364,3,8,0.375,0,0,0.0,1,4,5,3,1,3,1,4,NBA 2020-2021 Preseason Players Statistic
Tremont Waters,BOS,2,24.0,13,4,9,0.444,1,4,0.25,4,4,1.0,0,3,3,8,3,0,1,2,NBA 2020-2021 Preseason Players Statistic
Yuta Watanabe,TOR,3,29.8,14,4,7,0.571,3,5,0.6,3,4,0.75,0,10,10,3,1,0,3,1,NBA 2020-2021 Preseason Players Statistic
P.J. Washington,CHA,4,96.1,31,13,44,0.295,2,14,0.143,3,6,0.5,6,13,19,13,5,6,12,11,NBA 2020-2021 Preseason Players Statistic
