Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Sergei Karaulov,SAS,5,36.0,4,2,8,0.25,0,0,0.0,0,2,0.0,3,6,9,0,2,3,4,11,NBA 2005-2006 Summer_League Players Statistic
Chris Kaman,LAC,5,159.0,101,39,72,0.542,0,1,0.0,23,28,0.821,12,31,43,1,2,8,22,22,NBA 2005-2006 Summer_League Players Statistic
Kenyon Jones,DEN,2,6.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,NBA 2005-2006 Summer_League Players Statistic
Dalron Johnson,POR,4,25.0,2,1,6,0.167,0,0,0.0,0,0,0.0,4,6,10,1,2,0,1,6,NBA 2005-2006 Summer_League Players Statistic
Amir Johnson,DET,5,97.0,44,18,26,0.692,1,1,1.0,7,12,0.583,3,13,16,2,2,2,7,27,NBA 2005-2006 Summer_League Players Statistic
Britton Johnsen,SAS,5,139.0,66,22,59,0.373,9,25,0.36,13,18,0.722,6,32,38,6,4,3,9,16,NBA 2005-2006 Summer_League Players Statistic
Al Jefferson,BOS,6,141.0,45,20,45,0.444,0,1,0.0,5,14,0.357,12,24,36,3,1,4,11,33,NBA 2005-2006 Summer_League Players Statistic
Harold Jamison,PHX,6,91.0,4,2,6,0.333,0,0,0.0,0,6,0.0,6,12,18,0,0,2,7,19,NBA 2005-2006 Summer_League Players Statistic
Nick Jacobson,PHX,5,41.0,2,1,9,0.111,0,4,0.0,0,0,0.0,1,2,3,4,0,0,1,7,NBA 2005-2006 Summer_League Players Statistic
Luke Jackson,CLE,6,196.0,69,22,71,0.31,7,22,0.318,18,22,0.818,5,27,32,24,3,0,15,18,NBA 2005-2006 Summer_League Players Statistic
Royal Ivey,ATL,3,45.0,12,4,11,0.364,0,2,0.0,4,4,1.0,0,1,1,4,3,0,5,7,NBA 2005-2006 Summer_League Players Statistic
Jack Ingram,UTA,6,75.0,14,7,22,0.318,0,1,0.0,0,0,0.0,4,6,10,1,5,3,4,14,NBA 2005-2006 Summer_League Players Statistic
Kris Humphries,UTA,6,147.0,81,28,59,0.475,1,3,0.333,24,39,0.615,10,22,32,9,6,5,13,13,NBA 2005-2006 Summer_League Players Statistic
Dwight Howard,ORL,4,99.0,76,30,47,0.638,0,0,0.0,16,25,0.64,15,15,30,3,3,6,12,23,NBA 2005-2006 Summer_League Players Statistic
Jared Homan,SAC,5,64.0,15,6,18,0.333,0,0,0.0,3,6,0.5,6,8,14,1,1,4,6,16,NBA 2005-2006 Summer_League Players Statistic
Jerry Holman,DET,2,17.0,8,3,5,0.6,0,0,0.0,2,3,0.667,2,1,3,0,0,0,1,3,NBA 2005-2006 Summer_League Players Statistic
Julius Hodge,DEN,6,198.0,80,28,64,0.438,2,11,0.182,22,35,0.629,10,25,35,23,5,3,15,16,NBA 2005-2006 Summer_League Players Statistic
Michael Haynes,PHX,6,106.0,19,8,28,0.286,1,10,0.1,2,3,0.667,1,4,5,4,0,0,9,12,NBA 2005-2006 Summer_League Players Statistic
David Hawkins,WAS,6,101.0,52,19,45,0.422,2,7,0.286,12,25,0.48,2,4,6,3,5,0,6,13,NBA 2005-2006 Summer_League Players Statistic
Cliff Hawkins,NJN,5,99.0,24,9,20,0.45,2,5,0.4,4,7,0.571,1,6,7,6,2,0,10,19,NBA 2005-2006 Summer_League Players Statistic
Devin Harris,DAL,2,51.0,11,2,13,0.154,1,4,0.25,6,9,0.667,0,4,4,7,2,0,10,4,NBA 2005-2006 Summer_League Players Statistic
Junior Harrington,DET,5,122.0,28,8,24,0.333,1,2,0.5,11,16,0.688,1,8,9,7,8,0,9,18,NBA 2005-2006 Summer_League Players Statistic
Justin Hamilton,SAS,4,47.0,19,6,13,0.462,0,1,0.0,7,10,0.7,0,3,3,4,4,0,5,12,NBA 2005-2006 Summer_League Players Statistic
Adam Hall,CHI,4,66.0,29,10,23,0.435,1,6,0.167,8,15,0.533,5,6,11,3,3,0,8,13,NBA 2005-2006 Summer_League Players Statistic
Marcus Haislip,DEN,4,78.0,14,5,15,0.333,0,0,0.0,4,6,0.667,6,9,15,0,2,0,6,17,NBA 2005-2006 Summer_League Players Statistic
