Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Detroit Pistons,23,+6.3,+1.9,+1.0,+1.9,-0.4,-3.0,+2.7,+3.0,+3.6,+1.3,+2.0,+2.2,+4.2,+0.8,0.0,+2.0,-0.6,-3.4,NBA Team Postseason Stats 2003-04
2,Indiana Pacers,16,+4.4,+1.8,+2.3,+1.1,+2.2,+5.8,+2.6,-1.4,-0.5,-4.2,0.0,-0.3,-0.2,+0.9,+2.1,0.0,-2.0,+0.5,NBA Team Postseason Stats 2003-04
3,San Antonio Spurs,10,+3.0,+1.5,+5.5,-1.2,+2.8,+6.1,+4.2,-2.7,-3.2,-2.3,+3.7,+0.3,+4.1,+1.5,-0.2,-1.0,+0.5,+0.1,NBA Team Postseason Stats 2003-04
4,New Jersey Nets,11,+2.4,-0.1,-6.3,+3.1,0.0,+1.6,-2.4,+2.7,+3.8,-0.2,-1.8,+2.6,+0.8,+1.0,-0.1,-0.4,+2.5,-0.4,NBA Team Postseason Stats 2003-04
5,Dallas Mavericks,5,+1.3,+1.0,+12.2,-4.5,-1.5,-0.6,-7.9,+1.0,-0.5,+6.0,+7.7,-3.4,+4.4,-1.5,-0.8,+2.0,-2.7,-0.1,NBA Team Postseason Stats 2003-04
6,Los Angeles Lakers,22,+0.9,+1.0,-1.3,+2.1,-0.1,-1.0,+0.9,-0.9,+2.9,-10.7,-1.3,-1.4,-2.8,+4.7,+0.7,+0.8,-1.9,-1.1,NBA Team Postseason Stats 2003-04
7,Miami Heat,13,+0.1,+0.9,+1.6,+0.3,-2.2,-4.2,-6.0,+0.5,+0.2,+1.4,0.0,0.0,0.0,-2.4,+1.2,-0.9,-1.6,+2.5,NBA Team Postseason Stats 2003-04
8,Sacramento Kings,12,0.0,-0.5,-3.4,+1.1,+0.1,+0.1,+0.6,+0.9,+1.5,-1.2,-3.7,0.0,-3.8,+3.0,+1.2,-2.6,-0.5,-1.5,NBA Team Postseason Stats 2003-04
9,Minnesota Timberwolves,18,0.0,-0.8,-3.9,+1.1,+0.5,-0.5,+4.5,+1.1,-1.5,+9.3,-2.1,+2.0,0.0,-3.8,-0.8,+1.7,+2.3,+2.5,NBA Team Postseason Stats 2003-04
10,New Orleans Hornets,7,-3.0,-1.1,+1.0,-2.0,+1.8,+2.8,+6.0,-2.5,-4.7,+4.3,+0.2,-0.8,-0.5,+3.0,-2.0,+0.5,+1.9,-2.5,NBA Team Postseason Stats 2003-04
11,Denver Nuggets,5,-4.0,+2.6,+12.0,-3.3,-2.0,0.0,-15.3,-7.2,-9.3,-2.2,+5.2,-2.1,+3.0,+0.3,+1.0,-3.2,-2.1,+2.5,NBA Team Postseason Stats 2003-04
12,Houston Rockets,5,-5.4,-1.9,-4.3,-0.1,0.0,+1.7,-4.0,-1.4,-5.1,+8.3,-0.4,+4.3,+4.0,-7.2,-4.8,-0.3,+6.4,+1.1,NBA Team Postseason Stats 2003-04
13,Milwaukee Bucks,5,-12.6,-4.3,-2.2,-4.3,-0.6,-2.4,+1.1,-3.1,-3.5,-2.1,-1.8,-4.2,-6.0,-3.3,-1.4,-3.8,+2.3,+1.7,NBA Team Postseason Stats 2003-04
14,New York Knicks,4,-12.7,-3.5,+8.0,-9.1,0.0,-1.2,+2.3,-5.7,-7.0,-2.1,+3.0,-8.0,-5.0,-2.7,-0.2,-1.0,-2.7,+5.5,NBA Team Postseason Stats 2003-04
15,Memphis Grizzlies,4,-14.0,-5.7,+0.5,-8.2,-4.0,-3.5,-18.2,+1.5,-1.7,+11.3,-2.0,-5.5,-7.5,-7.2,+2.0,-1.2,-2.0,+4.7,NBA Team Postseason Stats 2003-04
16,Boston Celtics,4,-16.7,-10.0,-14.0,-5.0,-2.0,-2.7,-5.8,+5.2,+4.2,+8.0,-3.0,+1.0,-2.0,-5.5,-6.2,-1.0,+7.0,-2.5,NBA Team Postseason Stats 2003-04
