Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Philadelphia 76ers,12,+7.5,+3.0,-2.0,+4.5,+2.0,-0.3,+7.4,-0.5,+2.5,-8.4,-0.5,+2.5,+1.9,+4.1,+2.0,+2.4,+0.2,-0.8,NBA Team Postseason Stats 2020-21
2,Brooklyn Nets,12,+6.3,+1.6,-2.7,+3.3,+2.3,+0.6,+5.9,+0.6,-2.2,+11.6,-3.1,+0.6,-2.5,+3.3,+0.5,-1.3,-1.3,+2.5,NBA Team Postseason Stats 2020-21
3,Milwaukee Bucks,23,+5.1,+2.4,+3.8,+0.7,-0.8,+0.7,-3.1,+1.0,+3.5,-9.0,+4.6,+2.8,+7.5,+1.9,+0.4,+0.4,-0.5,-2.1,NBA Team Postseason Stats 2020-21
4,Phoenix Suns,22,+4.4,+2.7,-1.5,+4.0,-0.3,-4.8,+4.3,-0.7,-3.8,+11.3,-2.9,+2.0,-0.9,+2.3,-0.1,+0.5,+0.3,+1.1,NBA Team Postseason Stats 2020-21
5,LA Clippers,19,+4.0,-0.2,-3.3,+1.6,-0.2,+0.3,-1.0,+4.7,+4.3,+5.9,-0.9,+0.3,-0.6,+0.2,+1.5,+1.5,-1.4,-1.8,NBA Team Postseason Stats 2020-21
6,Utah Jazz,11,-0.8,-3.1,-4.2,-1.3,+4.4,+8.9,+2.2,+1.0,+2.0,-2.2,-0.6,+2.8,+2.1,-1.7,-2.7,-0.1,+2.8,+0.4,NBA Team Postseason Stats 2020-21
7,Portland Trail Blazers,6,-1.3,-1.0,-2.8,+0.3,+0.9,+1.8,+0.6,-0.3,-1.6,+4.4,-2.3,-0.3,-2.6,-3.1,-1.0,+1.0,+1.1,+3.0,NBA Team Postseason Stats 2020-21
8,Atlanta Hawks,18,-1.5,-0.8,-0.2,-0.8,+0.7,+3.0,-0.8,-0.5,-2.8,+7.5,-2.0,-1.2,-3.2,-2.7,-0.9,+0.1,-0.2,+0.8,NBA Team Postseason Stats 2020-21
9,Dallas Mavericks,7,-5.1,+0.1,+6.0,-3.2,+0.1,-1.0,+1.4,-5.5,-3.4,-13.4,+1.4,-2.8,-1.4,-1.8,-1.2,-2.8,+0.1,-0.2,NBA Team Postseason Stats 2020-21
10,Denver Nuggets,10,-5.5,-0.8,+4.7,-3.4,-0.1,+3.0,-3.5,-3.6,-1.5,-10.9,+3.5,-3.1,+0.3,+1.0,+0.2,-0.6,-0.6,0.0,NBA Team Postseason Stats 2020-21
11,Los Angeles Lakers,6,-6.5,-3.1,+1.1,-4.4,-1.8,+0.3,-5.9,+1.6,+3.8,-6.3,+2.5,-1.1,+1.3,-5.0,-0.5,-1.0,+1.5,-0.5,NBA Team Postseason Stats 2020-21
12,New York Knicks,5,-7.0,-3.2,+1.6,-4.5,-2.4,-5.2,-1.7,+1.8,+2.6,-1.6,+3.8,-1.6,+2.1,-2.0,+1.0,-4.0,+1.2,+0.8,NBA Team Postseason Stats 2020-21
13,Memphis Grizzlies,5,-8.4,+2.0,+8.0,-2.0,-6.4,-9.7,-7.6,-6.0,-5.8,-5.3,+1.3,-5.7,-4.3,-1.0,+2.8,-2.2,-2.4,+1.4,NBA Team Postseason Stats 2020-21
14,Boston Celtics,5,-11.2,-3.6,+3.6,-6.1,-1.5,+2.8,-7.6,-2.3,0.0,-8.7,+2.1,-2.3,-0.2,-3.0,-0.7,+0.4,+2.0,-2.3,NBA Team Postseason Stats 2020-21
15,Washington Wizards,5,-14.0,-5.1,-1.0,-5.2,-4.4,-6.0,-8.8,+0.8,-0.8,+4.7,+1.0,-2.4,-1.3,-4.2,-3.8,-2.4,+1.6,+0.1,NBA Team Postseason Stats 2020-21
16,Miami Heat,4,-20.5,-9.0,-5.2,-7.3,-1.2,-4.7,+0.8,-1.2,-2.0,+1.2,-6.2,-10.5,-16.7,-5.2,-0.2,+0.5,-0.7,+0.5,NBA Team Postseason Stats 2020-21
