Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Boston Celtics,82,+10.2,+4.0,-0.6,+5.5,+1.3,+0.3,+6.5,+0.8,+0.1,+2.7,-0.8,+3.9,+3.1,+3.5,+1.2,-0.1,-0.7,+0.5,NBA Team Regular Season Stats 2007-08
2,Detroit Pistons,82,+7.3,+3.3,+3.8,+2.0,+0.9,+1.1,+3.4,-0.1,-1.0,+2.2,+1.3,+0.9,+2.2,+3.2,+1.2,+1.8,-1.8,+0.8,NBA Team Regular Season Stats 2007-08
3,Los Angeles Lakers,82,+7.2,+1.4,-2.4,+3.1,+1.3,+2.6,+1.6,+2.9,+3.3,+1.6,-1.0,+2.4,+1.3,+2.5,+0.2,+0.8,-0.1,-1.9,NBA Team Regular Season Stats 2007-08
4,Utah Jazz,82,+6.8,+4.6,+3.7,+3.6,-1.2,-3.9,+1.5,-1.2,-2.0,+1.0,+1.1,+1.8,+3.0,+6.5,+1.1,-0.7,-1.2,+0.9,NBA Team Regular Season Stats 2007-08
5,Orlando Magic,82,+5.4,0.0,-4.9,+2.8,+3.4,+7.7,+2.8,+1.9,+3.8,-3.2,-1.6,+1.9,+0.3,-0.7,-0.7,-0.1,+1.1,-2.5,NBA Team Regular Season Stats 2007-08
6,New Orleans Hornets,82,+5.2,+1.5,+2.3,+0.5,+1.0,+0.8,+3.8,+1.1,+1.5,-0.2,+1.4,-0.4,+1.0,0.0,+2.0,-0.1,-1.9,-0.5,NBA Team Regular Season Stats 2007-08
7,Phoenix Suns,82,+5.0,+0.2,-7.3,+4.4,+2.7,+5.3,+4.0,+1.7,+1.1,+3.4,-4.6,+2.2,-2.3,+7.0,-0.8,+2.5,+1.0,-1.1,NBA Team Regular Season Stats 2007-08
8,San Antonio Spurs,82,+4.7,+0.9,0.0,+1.3,+2.1,+4.6,+2.6,+0.6,+0.7,+0.4,0.0,+1.0,+0.9,+2.7,-0.5,-0.2,-0.2,-1.0,NBA Team Regular Season Stats 2007-08
9,Houston Rockets,82,+4.6,+1.8,+1.2,+1.5,+1.8,+6.3,-2.3,-0.8,-0.7,-1.1,+1.3,+2.6,+3.9,+2.5,-0.2,+0.5,+0.3,0.0,NBA Team Regular Season Stats 2007-08
10,Dallas Mavericks,82,+4.5,+1.4,-0.4,+2.1,+1.0,+2.8,+0.2,+0.5,-1.1,+5.4,0.0,+2.7,+2.7,+2.1,-0.5,+0.5,+0.4,+0.5,NBA Team Regular Season Stats 2007-08
11,Denver Nuggets,82,+3.7,-0.3,-3.2,+1.3,-0.6,-1.2,-0.8,+5.0,+5.9,+2.0,-1.5,+0.2,-1.2,-1.0,+1.3,+1.9,-1.7,-2.6,NBA Team Regular Season Stats 2007-08
12,Toronto Raptors,82,+2.9,+1.7,+1.9,+1.0,-0.5,-2.7,+2.4,0.0,-0.9,+3.6,-0.4,-1.0,-1.5,+1.9,+1.2,0.0,-2.3,+1.0,NBA Team Regular Season Stats 2007-08
13,Golden State Warriors,82,+2.2,+1.5,+4.9,-0.8,+2.3,+7.6,-1.9,-3.2,-4.0,-0.7,0.0,-3.7,-3.8,-1.2,+2.1,-0.4,-3.6,+1.6,NBA Team Regular Season Stats 2007-08
14,Philadelphia 76ers,82,+0.4,+0.6,+1.7,-0.1,-3.1,-7.2,-4.2,+2.1,+5.0,-6.5,+1.7,+0.9,+2.6,-2.8,+1.9,-0.2,-1.4,-1.0,NBA Team Regular Season Stats 2007-08
15,Washington Wizards,82,-0.3,-0.3,+1.9,-1.5,-1.3,-1.8,-3.0,+1.6,+1.3,+2.7,+1.3,-0.9,+0.4,-4.2,+1.2,+0.3,-0.8,-0.6,NBA Team Regular Season Stats 2007-08
16,Cleveland Cavaliers,82,-0.3,0.0,+2.8,-1.6,+0.5,+1.5,0.0,-0.8,-0.1,-3.1,+3.3,+0.7,+4.1,-0.9,+0.2,+0.4,+0.6,+0.5,NBA Team Regular Season Stats 2007-08
17,Portland Trail Blazers,82,-0.9,-0.5,-0.8,-0.2,0.0,-0.8,+2.1,+0.1,+0.1,0.0,-0.6,-0.3,-1.0,+0.2,-0.4,+0.7,+0.3,-0.1,NBA Team Regular Season Stats 2007-08
18,Indiana Pacers,82,-1.4,+0.1,+2.1,-1.0,+1.8,+5.4,-1.2,-3.4,-4.8,+1.0,-0.3,-2.0,-2.3,+0.5,-0.4,0.0,-0.7,+1.6,NBA Team Regular Season Stats 2007-08
19,Atlanta Hawks,82,-1.8,-1.7,-2.2,-0.8,-1.5,-4.0,-0.6,+3.1,+3.4,+2.0,+0.4,+0.8,+1.3,-0.2,-0.1,+0.3,+1.2,-1.4,NBA Team Regular Season Stats 2007-08
20,Sacramento Kings,82,-2.2,-1.1,-2.1,-0.1,-1.0,-2.8,0.0,+1.0,-0.1,+4.4,-1.7,-0.1,-1.8,-3.7,-0.1,-1.4,+0.8,-0.6,NBA Team Regular Season Stats 2007-08
21,Chicago Bulls,82,-3.0,0.0,+3.3,-1.7,-1.1,-2.6,-1.1,-2.0,-2.2,-1.0,+1.6,-1.2,+0.3,+0.2,-0.1,-0.4,-0.6,+0.4,NBA Team Regular Season Stats 2007-08
22,Charlotte Bobcats,82,-4.3,-1.8,-1.5,-1.4,+0.1,-0.1,+1.1,-0.7,+0.1,-3.3,-1.3,-1.8,-3.1,-0.4,-0.1,-0.9,+0.3,+0.6,NBA Team Regular Season Stats 2007-08
23,New Jersey Nets,82,-5.0,-1.5,-1.1,-1.2,-0.4,-0.2,-2.0,-1.5,-0.9,-3.1,+0.2,0.0,+0.2,+1.4,-1.7,+0.3,+1.5,+0.2,NBA Team Regular Season Stats 2007-08
24,Memphis Grizzlies,82,-6.2,-4.0,-4.1,-2.5,+0.3,+1.8,-1.5,+1.5,+3.7,-5.1,-1.0,-1.8,-2.9,-4.7,-2.5,-0.2,+1.8,-3.0,NBA Team Regular Season Stats 2007-08
25,New York Knicks,82,-6.6,-2.6,+0.5,-3.5,-1.1,-1.6,-3.1,-0.1,+0.2,-1.1,+1.2,-1.4,-0.1,-2.9,-1.2,-2.6,+1.7,+1.1,NBA Team Regular Season Stats 2007-08
26,Minnesota Timberwolves,82,-6.7,+0.2,+4.0,-2.0,-1.2,-3.1,-0.6,-6.0,-6.9,-3.2,+1.1,-1.4,-0.2,-3.2,0.0,-1.9,+1.0,+5.5,NBA Team Regular Season Stats 2007-08
27,Milwaukee Bucks,82,-6.8,-1.4,+2.2,-3.0,-1.6,-2.6,-4.0,-2.2,-1.9,-3.2,+2.2,-1.2,+1.0,-1.8,-1.2,-0.5,+1.0,+0.2,NBA Team Regular Season Stats 2007-08
28,LA Clippers,82,-7.2,-3.5,-2.7,-2.9,-1.6,-3.8,-2.4,+1.5,+1.0,+3.0,-1.4,-2.0,-3.4,-1.2,-0.4,+0.1,+0.8,-0.3,NBA Team Regular Season Stats 2007-08
29,Miami Heat,82,-8.6,-2.6,-1.7,-2.4,-0.7,-1.5,-1.1,-2.5,-2.4,-2.8,-2.1,-3.3,-5.4,-2.1,-0.5,+0.1,+0.4,+0.2,NBA Team Regular Season Stats 2007-08
30,Seattle SuperSonics,82,-8.7,-1.9,-1.2,-1.6,-3.5,-7.7,-5.1,-1.1,-2.2,+2.0,+0.1,+0.4,+0.5,-3.0,-2.1,-0.4,+2.7,+0.8,NBA Team Regular Season Stats 2007-08
